Size-Type;POL;POD;Revenue
20;CNTXG;KRPUS;143.5
40;CNTXG;KRPUS;220.5
40 HC;CNTXG;KRPUS;220.5
Reefer;CNTXG;KRPUS;754.6
20;CNTXG;CNNGB;29.75
40;CNTXG;CNNGB;35.35
40 HC;CNTXG;CNNGB;35.35
Reefer;CNTXG;CNNGB;761.6
20;CNTXG;CNSHA;29.75
40;CNTXG;CNSHA;35.35
40 HC;CNTXG;CNSHA;35.35
Reefer;CNTXG;CNSHA;761.6
20;CNTXG;CNYTN;29.75
40;CNTXG;CNYTN;35.35
40 HC;CNTXG;CNYTN;35.35
Reefer;CNTXG;CNYTN;768.6
20;CNTXG;SGSIN;140
40;CNTXG;SGSIN;218.75
40 HC;CNTXG;SGSIN;218.75
Reefer;CNTXG;SGSIN;711.2
20;CNTXG;FRDKK;576.1
40;CNTXG;FRDKK;1025.85
40 HC;CNTXG;FRDKK;1052.8
Reefer;CNTXG;FRDKK;4723.25
20;CNTXG;GBSOU;467.6
40;CNTXG;GBSOU;830.2
40 HC;CNTXG;GBSOU;865.2
Reefer;CNTXG;GBSOU;4678.8
20;CNTXG;DEHAM;438.9
40;CNTXG;DEHAM;779.1
40 HC;CNTXG;DEHAM;812
Reefer;CNTXG;DEHAM;4634
20;CNTXG;NLRTM;438.9
40;CNTXG;NLRTM;779.1
40 HC;CNTXG;NLRTM;812
Reefer;CNTXG;NLRTM;4589.55
20;CNTXG;GBSOU2;467.6
40;CNTXG;GBSOU2;830.2
40 HC;CNTXG;GBSOU2;865.2
Reefer;CNTXG;GBSOU2;4678.8
20;CNTXG;ESALG;627.9
40;CNTXG;ESALG;1117.9
40 HC;CNTXG;ESALG;1128.05
Reefer;CNTXG;ESALG;3843.35
20;KRPUS;CNNGB;199.5
40;KRPUS;CNNGB;319.2
40 HC;KRPUS;CNNGB;320.95
Reefer;KRPUS;CNNGB;747.25
20;KRPUS;CNSHA;199.5
40;KRPUS;CNSHA;319.2
40 HC;KRPUS;CNSHA;320.95
Reefer;KRPUS;CNSHA;747.25
20;KRPUS;CNYTN;186.2
40;KRPUS;CNYTN;250.95
40 HC;KRPUS;CNYTN;250.95
Reefer;KRPUS;CNYTN;754.6
20;KRPUS;SGSIN;108.5
40;KRPUS;SGSIN;210
40 HC;KRPUS;SGSIN;210
Reefer;KRPUS;SGSIN;711.2
20;KRPUS;FRDKK;510.3
40;KRPUS;FRDKK;903
40 HC;KRPUS;FRDKK;938
Reefer;KRPUS;FRDKK;4634.7
20;KRPUS;GBSOU;487.9
40;KRPUS;GBSOU;915.95
40 HC;KRPUS;GBSOU;933.45
Reefer;KRPUS;GBSOU;4592
20;KRPUS;DEHAM;458.5
40;KRPUS;DEHAM;808.5
40 HC;KRPUS;DEHAM;832.3
Reefer;KRPUS;DEHAM;4547.55
20;KRPUS;NLRTM;457.8
40;KRPUS;NLRTM;809.9
40 HC;KRPUS;NLRTM;833.35
Reefer;KRPUS;NLRTM;4503.8
20;KRPUS;GBSOU2;487.9
40;KRPUS;GBSOU2;915.95
40 HC;KRPUS;GBSOU2;933.45
Reefer;KRPUS;GBSOU2;4592
20;KRPUS;ESALG;538.3
40;KRPUS;ESALG;1002.05
40 HC;KRPUS;ESALG;1026.9
Reefer;KRPUS;ESALG;3771.95
20;CNNGB;CNSHA;84
40;CNNGB;CNSHA;105.35
40 HC;CNNGB;CNSHA;105.35
Reefer;CNNGB;CNSHA;754.25
20;CNNGB;CNYTN;147
40;CNNGB;CNYTN;210
40 HC;CNNGB;CNYTN;210
Reefer;CNNGB;CNYTN;761.25
20;CNNGB;SGSIN;86.1
40;CNNGB;SGSIN;136.15
40 HC;CNNGB;SGSIN;136.15
Reefer;CNNGB;SGSIN;711.2
20;CNNGB;FRDKK;461.65
40;CNNGB;FRDKK;818.3
40 HC;CNNGB;FRDKK;850.5
Reefer;CNNGB;FRDKK;4679.15
20;CNNGB;GBSOU;484.05
40;CNNGB;GBSOU;866.6
40 HC;CNNGB;GBSOU;901.6
Reefer;CNNGB;GBSOU;4634.7
20;CNNGB;DEHAM;449.75
40;CNNGB;DEHAM;795.9
40 HC;CNNGB;DEHAM;819.7
Reefer;CNNGB;DEHAM;4590.6
20;CNNGB;NLRTM;449.75
40;CNNGB;NLRTM;795.9
40 HC;CNNGB;NLRTM;819.7
Reefer;CNNGB;NLRTM;4546.5
20;CNNGB;GBSOU2;484.05
40;CNNGB;GBSOU2;866.6
40 HC;CNNGB;GBSOU2;901.6
Reefer;CNNGB;GBSOU2;4634.7
20;CNNGB;ESALG;529.2
40;CNNGB;ESALG;972.3
40 HC;CNNGB;ESALG;991.55
Reefer;CNNGB;ESALG;3808
20;CNSHA;CNYTN;147
40;CNSHA;CNYTN;210
40 HC;CNSHA;CNYTN;210
Reefer;CNSHA;CNYTN;761.25
20;CNSHA;SGSIN;97.3
40;CNSHA;SGSIN;163.1
40 HC;CNSHA;SGSIN;163.1
Reefer;CNSHA;SGSIN;711.2
20;CNSHA;FRDKK;461.65
40;CNSHA;FRDKK;818.3
40 HC;CNSHA;FRDKK;850.5
Reefer;CNSHA;FRDKK;4679.15
20;CNSHA;GBSOU;484.05
40;CNSHA;GBSOU;866.6
40 HC;CNSHA;GBSOU;901.6
Reefer;CNSHA;GBSOU;4634.7
20;CNSHA;DEHAM;449.4
40;CNSHA;DEHAM;794.15
40 HC;CNSHA;DEHAM;815.5
Reefer;CNSHA;DEHAM;4590.6
20;CNSHA;NLRTM;449.75
40;CNSHA;NLRTM;795.9
40 HC;CNSHA;NLRTM;819.7
Reefer;CNSHA;NLRTM;4546.5
20;CNSHA;GBSOU2;484.05
40;CNSHA;GBSOU2;866.6
40 HC;CNSHA;GBSOU2;901.6
Reefer;CNSHA;GBSOU2;4634.7
20;CNSHA;ESALG;529.2
40;CNSHA;ESALG;972.3
40 HC;CNSHA;ESALG;991.55
Reefer;CNSHA;ESALG;3808
20;CNYTN;SGSIN;140
40;CNYTN;SGSIN;218.75
40 HC;CNYTN;SGSIN;218.75
Reefer;CNYTN;SGSIN;1511.3
20;CNYTN;FRDKK;529.2
40;CNYTN;FRDKK;972.3
40 HC;CNYTN;FRDKK;991.55
Reefer;CNYTN;FRDKK;3843.35
20;CNYTN;GBSOU;479.15
40;CNYTN;GBSOU;853.3
40 HC;CNYTN;GBSOU;885.5
Reefer;CNYTN;GBSOU;4678.8
20;CNYTN;DEHAM;447.65
40;CNYTN;DEHAM;791
40 HC;CNYTN;DEHAM;816.9
Reefer;CNYTN;DEHAM;4634
20;CNYTN;NLRTM;447.65
40;CNYTN;NLRTM;791
40 HC;CNYTN;NLRTM;816.9
Reefer;CNYTN;NLRTM;4589.55
20;CNYTN;GBSOU2;479.15
40;CNYTN;GBSOU2;853.3
40 HC;CNYTN;GBSOU2;885.5
Reefer;CNYTN;GBSOU2;4678.8
20;CNYTN;ESALG;451.5
40;CNYTN;ESALG;798
40 HC;CNYTN;ESALG;833
Reefer;CNYTN;ESALG;4634
20;SGSIN;FRDKK;479.5
40;SGSIN;FRDKK;854
40 HC;SGSIN;FRDKK;871.5
Reefer;SGSIN;FRDKK;3587.85
20;SGSIN;GBSOU;485.45
40;SGSIN;GBSOU;870.8
