Type;Length;Width;height;Reefer
20G0;6,068;2,438;2,438;
20G1;6,068;2,438;2,438;
20G2;6,068;2,438;2,438;
20G3;6,068;2,438;2,438;
20G4;6,068;2,438;2,438;
20G5;6,068;2,438;2,438;
20G6;6,068;2,438;2,438;
20G7;6,068;2,438;2,438;
20G8;6,068;2,438;2,438;
20G9;6,068;2,438;2,438;
22G0;6,068;2,438;2,591;
22G1;6,068;2,438;2,591;
22G2;6,068;2,438;2,591;
22G3;6,068;2,438;2,591;
22G4;6,068;2,438;2,591;
22G5;6,068;2,438;2,591;
22G6;6,068;2,438;2,591;
22G7;6,068;2,438;2,591;
22G8;6,068;2,438;2,591;
22G9;6,068;2,438;2,591;
24G0;6,068;2,438;2,743;
24G1;6,068;2,438;2,743;
24G2;6,068;2,438;2,743;
24G3;6,068;2,438;2,743;
24G4;6,068;2,438;2,743;
24G5;6,068;2,438;2,743;
24G6;6,068;2,438;2,743;
24G7;6,068;2,438;2,743;
24G8;6,068;2,438;2,743;
24G9;6,068;2,438;2,743;
25G0;6,068;2,438;2,895;
25G1;6,068;2,438;2,895;
25G2;6,068;2,438;2,895;
25G3;6,068;2,438;2,895;
25G4;6,068;2,438;2,895;
25G5;6,068;2,438;2,895;
25G6;6,068;2,438;2,895;
25G7;6,068;2,438;2,895;
25G8;6,068;2,438;2,895;
25G9;6,068;2,438;2,895;
26G0;6,068;2,438;> 2.895;
26G1;6,068;2,438;> 2.895;
26G2;6,068;2,438;> 2.895;
26G3;6,068;2,438;> 2.895;
26G4;6,068;2,438;> 2.895;
26G5;6,068;2,438;> 2.895;
26G6;6,068;2,438;> 2.895;
26G7;6,068;2,438;> 2.895;
26G8;6,068;2,438;> 2.895;
26G9;6,068;2,438;> 2.895;
28G0;6,068;2,438;1,295;
28G1;6,068;2,438;1,295;
28G2;6,068;2,438;1,295;
28G3;6,068;2,438;1,295;
28G4;6,068;2,438;1,295;
28G5;6,068;2,438;1,295;
28G6;6,068;2,438;1,295;
28G7;6,068;2,438;1,295;
28G8;6,068;2,438;1,295;
28G9;6,068;2,438;1,295;
29G0;6,068;2,438;< 1220;
29G1;6,068;2,438;< 1220;
29G2;6,068;2,438;< 1220;
29G3;6,068;2,438;< 1220;
29G4;6,068;2,438;< 1220;
29G5;6,068;2,438;< 1220;
29G6;6,068;2,438;< 1220;
29G7;6,068;2,438;< 1220;
29G8;6,068;2,438;< 1220;
29G9;6,068;2,438;< 1220;
2LG0;6,068;>2.500;2,591;
2LG1;6,068;>2.500;2,591;
2LG2;6,068;>2.500;2,591;
2LG3;6,068;>2.500;2,591;
2LG4;6,068;>2.500;2,591;
2LG5;6,068;>2.500;2,591;
2LG6;6,068;>2.500;2,591;
2LG7;6,068;>2.500;2,591;
2LG8;6,068;>2.500;2,591;
2LG9;6,068;>2.500;2,591;
2MG0;6,068;>2.500;2,743;
2MG1;6,068;>2.500;2,743;
2MG2;6,068;>2.500;2,743;
2MG3;6,068;>2.500;2,743;
2MG4;6,068;>2.500;2,743;
2MG5;6,068;>2.500;2,743;
2MG6;6,068;>2.500;2,743;
2MG7;6,068;>2.500;2,743;
2MG8;6,068;>2.500;2,743;
2MG9;6,068;>2.500;2,743;
2NG0;6,068;>2.500;2,895;
2NG1;6,068;>2.500;2,895;
2NG2;6,068;>2.500;2,895;
2NG3;6,068;>2.500;2,895;
2NG4;6,068;>2.500;2,895;
2NG5;6,068;>2.500;2,895;
2NG6;6,068;>2.500;2,895;
2NG7;6,068;>2.500;2,895;
2NG8;6,068;>2.500;2,895;
2NG9;6,068;>2.500;2,895;
2PG0;6,068;>2.500;> 2.895;
2PG1;6,068;>2.500;> 2.895;
2PG2;6,068;>2.500;> 2.895;
2PG3;6,068;>2.500;> 2.895;
2PG4;6,068;>2.500;> 2.895;
2PG5;6,068;>2.500;> 2.895;
2PG6;6,068;>2.500;> 2.895;
2PG7;6,068;>2.500;> 2.895;
2PG8;6,068;>2.500;> 2.895;
2PG9;6,068;>2.500;> 2.895;
2CG0;6,068;2.439-2.499;2,591;
2CG1;6,068;2.439-2.499;2,591;
2CG2;6,068;2.439-2.499;2,591;
2CG3;6,068;2.439-2.499;2,591;
2CG4;6,068;2.439-2.499;2,591;
2CG5;6,068;2.439-2.499;2,591;
2CG6;6,068;2.439-2.499;2,591;
2CG7;6,068;2.439-2.499;2,591;
2CG8;6,068;2.439-2.499;2,591;
2CG9;6,068;2.439-2.499;2,591;
2DG0;6,068;2.439-2.499;2,743;
2DG1;6,068;2.439-2.499;2,743;
2DG2;6,068;2.439-2.499;2,743;
2DG3;6,068;2.439-2.499;2,743;
2DG4;6,068;2.439-2.499;2,743;
2DG5;6,068;2.439-2.499;2,743;
2DG6;6,068;2.439-2.499;2,743;
2DG7;6,068;2.439-2.499;2,743;
2DG8;6,068;2.439-2.499;2,743;
2DG9;6,068;2.439-2.499;2,743;
2EG0;6,068;2.439-2.499;2,895;
2EG1;6,068;2.439-2.499;2,895;
2EG2;6,068;2.439-2.499;2,895;
2EG3;6,068;2.439-2.499;2,895;
2EG4;6,068;2.439-2.499;2,895;
2EG5;6,068;2.439-2.499;2,895;
2EG6;6,068;2.439-2.499;2,895;
2EG7;6,068;2.439-2.499;2,895;
2EG8;6,068;2.439-2.499;2,895;
2EG9;6,068;2.439-2.499;2,895;
2FG0;6,068;2.439-2.499;> 2.895;
2FG1;6,068;2.439-2.499;> 2.895;
2FG2;6,068;2.439-2.499;> 2.895;
2FG3;6,068;2.439-2.499;> 2.895;
2FG4;6,068;2.439-2.499;> 2.895;
2FG5;6,068;2.439-2.499;> 2.895;
2FG6;6,068;2.439-2.499;> 2.895;
2FG7;6,068;2.439-2.499;> 2.895;
2FG8;6,068;2.439-2.499;> 2.895;
2FG9;6,068;2.439-2.499;> 2.895;
20V0;6,068;2,438;2,438;
20V1;6,068;2,438;2,438;
20V2;6,068;2,438;2,438;
20V3;6,068;2,438;2,438;
20V4;6,068;2,438;2,438;
20V5;6,068;2,438;2,438;
20V6;6,068;2,438;2,438;
20V7;6,068;2,438;2,438;
20V8;6,068;2,438;2,438;
20V9;6,068;2,438;2,438;
22V0;6,068;2,438;2,591;
22V1;6,068;2,438;2,591;
22V2;6,068;2,438;2,591;
22V3;6,068;2,438;2,591;
22V4;6,068;2,438;2,591;
22V5;6,068;2,438;2,591;
22V6;6,068;2,438;2,591;
22V7;6,068;2,438;2,591;
22V8;6,068;2,438;2,591;
22V9;6,068;2,438;2,591;
24V0;6,068;2,438;2,743;
24V1;6,068;2,438;2,743;
24V2;6,068;2,438;2,743;
24V3;6,068;2,438;2,743;
24V4;6,068;2,438;2,743;
24V5;6,068;2,438;2,743;
24V6;6,068;2,438;2,743;
24V7;6,068;2,438;2,743;
24V8;6,068;2,438;2,743;
24V9;6,068;2,438;2,743;
25V0;6,068;2,438;2,895;
25V1;6,068;2,438;2,895;
25V2;6,068;2,438;2,895;
25V3;6,068;2,438;2,895;
25V4;6,068;2,438;2,895;
25V5;6,068;2,438;2,895;
25V6;6,068;2,438;2,895;
25V7;6,068;2,438;2,895;
25V8;6,068;2,438;2,895;
25V9;6,068;2,438;2,895;
26V0;6,068;2,438;> 2.895;
26V1;6,068;2,438;> 2.895;
26V2;6,068;2,438;> 2.895;
26V3;6,068;2,438;> 2.895;
26V4;6,068;2,438;> 2.895;
26V5;6,068;2,438;> 2.895;
26V6;6,068;2,438;> 2.895;
26V7;6,068;2,438;> 2.895;
26V8;6,068;2,438;> 2.895;
26V9;6,068;2,438;> 2.895;
28V0;6,068;2,438;1,295;
28V1;6,068;2,438;1,295;
28V2;6,068;2,438;1,295;
28V3;6,068;2,438;1,295;
28V4;6,068;2,438;1,295;
28V5;6,068;2,438;1,295;
28V6;6,068;2,438;1,295;
28V7;6,068;2,438;1,295;
28V8;6,068;2,438;1,295;
28V9;6,068;2,438;1,295;
29V0;6,068;2,438;< 1220;
29V1;6,068;2,438;< 1220;
29V2;6,068;2,438;< 1220;
29V3;6,068;2,438;< 1220;
29V4;6,068;2,438;< 1220;
29V5;6,068;2,438;< 1220;
29V6;6,068;2,438;< 1220;
29V7;6,068;2,438;< 1220;
29V8;6,068;2,438;< 1220;
29V9;6,068;2,438;< 1220;
2LV0;6,068;>2.500;2,591;
2LV1;6,068;>2.500;2,591;
2LV2;6,068;>2.500;2,591;
2LV3;6,068;>2.500;2,591;
2LV4;6,068;>2.500;2,591;
2LV5;6,068;>2.500;2,591;
2LV6;6,068;>2.500;2,591;
2LV7;6,068;>2.500;2,591;
2LV8;6,068;>2.500;2,591;
2LV9;6,068;>2.500;2,591;
2MV0;6,068;>2.500;2,743;
2MV1;6,068;>2.500;2,743;
2MV2;6,068;>2.500;2,743;
2MV3;6,068;>2.500;2,743;
2MV4;6,068;>2.500;2,743;
2MV5;6,068;>2.500;2,743;
2MV6;6,068;>2.500;2,743;
2MV7;6,068;>2.500;2,743;
2MV8;6,068;>2.500;2,743;
2MV9;6,068;>2.500;2,743;
2NV0;6,068;>2.500;2,895;
2NV1;6,068;>2.500;2,895;
2NV2;6,068;>2.500;2,895;
2NV3;6,068;>2.500;2,895;
2NV4;6,068;>2.500;2,895;
2NV5;6,068;>2.500;2,895;
2NV6;6,068;>2.500;2,895;
2NV7;6,068;>2.500;2,895;
2NV8;6,068;>2.500;2,895;
2NV9;6,068;>2.500;2,895;
2PV0;6,068;>2.500;> 2.895;
2PV1;6,068;>2.500;> 2.895;
2PV2;6,068;>2.500;> 2.895;
2PV3;6,068;>2.500;> 2.895;
2PV4;6,068;>2.500;> 2.895;
2PV5;6,068;>2.500;> 2.895;
2PV6;6,068;>2.500;> 2.895;
2PV7;6,068;>2.500;> 2.895;
2PV8;6,068;>2.500;> 2.895;
2PV9;6,068;>2.500;> 2.895;
2CV0;6,068;2.439-2.499;2,591;
2CV1;6,068;2.439-2.499;2,591;
2CV2;6,068;2.439-2.499;2,591;
2CV3;6,068;2.439-2.499;2,591;
2CV4;6,068;2.439-2.499;2,591;
2CV5;6,068;2.439-2.499;2,591;
2CV6;6,068;2.439-2.499;2,591;
2CV7;6,068;2.439-2.499;2,591;
2CV8;6,068;2.439-2.499;2,591;
2CV9;6,068;2.439-2.499;2,591;
2DV0;6,068;2.439-2.499;2,743;
2DV1;6,068;2.439-2.499;2,743;
2DV2;6,068;2.439-2.499;2,743;
2DV3;6,068;2.439-2.499;2,743;
2DV4;6,068;2.439-2.499;2,743;
2DV5;6,068;2.439-2.499;2,743;
2DV6;6,068;2.439-2.499;2,743;
2DV7;6,068;2.439-2.499;2,743;
2DV8;6,068;2.439-2.499;2,743;
2DV9;6,068;2.439-2.499;2,743;
2EV0;6,068;2.439-2.499;2,895;
2EV1;6,068;2.439-2.499;2,895;
2EV2;6,068;2.439-2.499;2,895;
2EV3;6,068;2.439-2.499;2,895;
2EV4;6,068;2.439-2.499;2,895;
2EV5;6,068;2.439-2.499;2,895;
2EV6;6,068;2.439-2.499;2,895;
2EV7;6,068;2.439-2.499;2,895;
2EV8;6,068;2.439-2.499;2,895;
2EV9;6,068;2.439-2.499;2,895;
2FV0;6,068;2.439-2.499;> 2.895;
2FV1;6,068;2.439-2.499;> 2.895;
2FV2;6,068;2.439-2.499;> 2.895;
2FV3;6,068;2.439-2.499;> 2.895;
2FV4;6,068;2.439-2.499;> 2.895;
2FV5;6,068;2.439-2.499;> 2.895;
2FV6;6,068;2.439-2.499;> 2.895;
2FV7;6,068;2.439-2.499;> 2.895;
2FV8;6,068;2.439-2.499;> 2.895;
2FV9;6,068;2.439-2.499;> 2.895;
45G0;12,192;2,438;2,895;
