NoBlock;FirstFrame;LastFrame;NoBay;BayCoeff;XCGCont;FirstBayFrame;LastBayFrame
1;-9;-1;94;0.5;-2.25;-9;-1
2;0;10;94;0.5;3.05;0;8
3;11;14;90;1.0;;11;14
4;15;19;86;1.0;;16;19
5;20;24;82;1.0;;21;24
6;25;29;78;1.0;;26;29
7;30;44;;0.0;;;
8;45;59;74;1.0;;44;59
9;60;64;70;1.0;;61;64
10;65;69;66;1.0;;66;69
11;70;74;62;1.0;;71;74
12;75;79;58;1.0;;76;79
13;80;84;54;1.0;;81;84
14;85;89;50;1.0;;86;89
15;90;94;46;1.0;;91;94
16;95;99;42;1.0;;96;99
17;100;104;38;1.0;;101;104
18;105;109;;0.0;;;
19;110;114;;0.0;;;
20;115;121;;0.0;;;
21;122;125;34;1.0;;122;125
22;126;130;30;1.0;;127;130
23;131;135;26;1.0;;132;135
24;136;140;22;1.0;;137;140
25;141;145;18;1.0;;142;145
26;146;150;14;1.0;;147;150
27;151;155;10;1.0;;152;155
28;156;160;6;1.0;;157;160
29;161;166;2;1.0;;162;165
30;167;182;;0.0;;;
31;183;197;;0.0;;;
