NoFrame;LimInf;LimSup
0;0;2295
11;-620;4467
15;-1509;9122
20;-2528;11349
25;-3547;12038
30;-4566;12705
45;-5413;8783
60;-6259;8439
65;-7277;9503
70;-8296;10334
75;-9316;10334
80;-10334;10334
85;-10334;10334
90;-10334;10334
95;-10334;10334
100;-10334;10334
105;-10334;10334
110;-10334;10334
115;-10334;10334
122;-10334;10334
126;-10334;10098
131;-10334;9015
136;-10334;7931
141;-10334;6848
146;-10334;5765
151;-7998;4681
156;-5954;3598
161;-3808;2515
167;-2326;1311
183;-825;351
