AFT VOID;2639.3;-8;14
9.976;0.0;16.877;-0.000;9.977
10.176;1.3;16.844;-0.000;10.078
10.376;2.9;16.807;-0.000;10.184
10.576;4.8;16.765;-0.000;10.296
10.776;7.0;16.719;-0.000;10.414
10.976;9.8;16.664;-0.000;10.541
11.176;13.7;16.577;-0.000;10.688
11.376;19.1;16.471;-0.000;10.846
11.576;26.2;16.360;-0.000;11.009
11.776;35.9;16.246;-0.000;11.178
11.976;48.4;16.150;-0.000;11.351
12.176;63.0;16.093;0.000;11.524
12.376;79.2;16.008;0.000;11.691
12.576;98.5;15.851;0.000;11.859
12.776;125.5;15.524;0.000;12.040
12.976;156.5;15.180;0.000;12.209
13.176;192.9;14.762;0.000;12.372
13.376;235.8;14.273;0.000;12.534
13.576;280.0;13.893;0.000;12.685
13.776;330.9;13.454;0.000;12.841
13.976;392.3;12.921;0.000;13.004
14.176;461.9;12.380;0.000;13.166
14.376;541.9;11.800;0.000;13.330
14.576;633.0;11.202;0.000;13.494
14.776;731.1;10.670;0.000;13.652
14.976;837.5;10.166;0.000;13.811
15.176;957.0;9.586;0.000;13.969
15.376;1056.8;8.903;0.000;14.093
15.576;1165.0;8.267;0.000;14.222
15.776;1280.0;7.694;0.000;14.352
15.976;1400.9;7.181;0.000;14.484
16.176;1527.0;6.725;0.000;14.615
16.376;1657.7;6.319;0.000;14.746
16.576;1792.3;5.957;0.000;14.876
16.776;1930.3;5.636;0.000;15.005
16.976;2071.2;5.349;0.000;15.132
17.176;2214.6;5.092;0.000;15.258
17.376;2360.3;4.862;0.000;15.383
17.576;2507.9;4.654;0.000;15.506
17.752;2639.3;4.488;0.000;15.613
