BOILER FEED WATER TK;121.1;28;30
0.000;0.0;62.013;-3.339;0.001
0.100;1.3;61.715;-3.941;0.056
0.200;3.3;61.681;-4.196;0.113
0.300;5.6;61.666;-4.379;0.170
0.400;8.1;61.657;-4.530;0.227
0.500;10.9;61.650;-4.658;0.284
0.600;13.9;61.645;-4.772;0.342
0.700;17.1;61.640;-4.874;0.399
0.800;20.4;61.637;-4.969;0.456
0.900;23.9;61.634;-5.056;0.514
1.000;27.5;61.632;-5.137;0.571
1.100;31.2;61.630;-5.214;0.629
1.200;35.1;61.628;-5.286;0.686
1.300;39.1;61.626;-5.355;0.743
1.400;43.2;61.625;-5.421;0.801
1.500;47.4;61.624;-5.485;0.859
1.600;51.7;61.623;-5.547;0.916
1.700;56.1;61.622;-5.606;0.974
1.800;60.7;61.621;-5.664;1.032
1.900;65.3;61.620;-5.721;1.090
2.000;70.0;61.619;-5.776;1.148
2.100;74.8;61.619;-5.831;1.206
2.200;79.7;61.618;-5.884;1.264
2.300;84.8;61.618;-5.936;1.323
2.400;89.9;61.617;-5.988;1.381
2.500;95.1;61.617;-6.038;1.440
2.600;100.4;61.616;-6.089;1.498
2.700;105.8;61.616;-6.139;1.557
2.800;111.2;61.616;-6.188;1.616
2.900;116.8;61.616;-6.237;1.675
2.975;121.1;61.616;-6.274;1.719
