DISPOSAL WATER TK UNDER ACCOM.;53.2;105;107
22.936;0.0;219.600;0.000;22.937
22.986;1.0;219.600;0.000;22.961
23.036;2.0;219.600;0.000;22.986
23.086;3.1;219.600;0.000;23.011
23.136;4.1;219.600;0.000;23.036
23.186;5.1;219.600;0.000;23.061
23.236;6.2;219.600;0.000;23.086
23.286;7.2;219.600;0.000;23.111
23.336;8.2;219.600;0.000;23.136
23.386;9.2;219.600;0.000;23.161
23.436;10.2;219.600;0.000;23.186
23.486;11.3;219.600;0.000;23.211
23.536;12.3;219.600;0.000;23.236
23.586;13.3;219.600;0.000;23.261
23.636;14.3;219.600;0.000;23.286
23.686;15.4;219.600;0.000;23.311
23.736;16.4;219.600;0.000;23.336
23.786;17.4;219.600;0.000;23.361
23.836;18.4;219.600;0.000;23.386
23.886;19.5;219.600;0.000;23.411
23.936;20.5;219.600;0.000;23.436
23.986;21.5;219.600;0.000;23.461
24.036;22.6;219.600;0.000;23.486
24.086;23.6;219.600;0.000;23.511
24.136;24.6;219.600;0.000;23.536
24.186;25.6;219.600;0.000;23.561
24.236;26.6;219.600;0.000;23.586
24.286;27.7;219.600;0.000;23.611
24.336;28.7;219.600;0.000;23.636
24.386;29.7;219.600;0.000;23.661
24.436;30.8;219.600;0.000;23.686
24.486;31.8;219.600;0.000;23.711
24.536;32.8;219.600;0.000;23.736
24.586;33.8;219.600;0.000;23.761
24.636;34.9;219.600;0.000;23.786
24.686;35.9;219.600;0.000;23.811
24.736;36.9;219.600;0.000;23.836
24.786;37.9;219.600;0.000;23.861
24.836;39.0;219.600;0.000;23.886
24.886;40.0;219.600;0.000;23.911
24.936;41.0;219.600;0.000;23.936
24.986;42.0;219.600;0.000;23.961
25.036;43.1;219.600;0.000;23.986
25.086;44.1;219.600;0.000;24.011
25.136;45.1;219.600;0.000;24.036
25.186;46.1;219.600;0.000;24.061
25.236;47.2;219.600;0.000;24.086
25.286;48.2;219.600;0.000;24.111
25.336;49.2;219.600;0.000;24.136
25.386;50.2;219.600;0.000;24.161
25.436;51.3;219.600;0.000;24.186
25.486;52.3;219.600;0.000;24.211
25.528;53.1;219.600;0.000;24.232
