DISPOSAL WATER TK(S);292.6;30;45
0.000;0.0;71.569;-4.044;0.001
0.100;4.0;71.296;-4.615;0.054
0.200;9.2;71.233;-4.881;0.109
0.300;15.2;71.199;-5.080;0.165
0.400;21.7;71.175;-5.247;0.221
0.500;28.7;71.159;-5.392;0.277
0.600;36.2;71.146;-5.521;0.333
0.700;44.0;71.136;-5.637;0.389
0.800;52.1;71.127;-5.745;0.446
0.900;60.6;71.120;-5.846;0.503
1.000;69.4;71.115;-5.941;0.559
1.100;78.5;71.110;-6.031;0.616
1.200;87.9;71.106;-6.116;0.673
1.300;97.5;71.102;-6.198;0.730
1.400;107.4;71.099;-6.278;0.787
1.500;117.6;71.096;-6.355;0.844
1.600;128.0;71.094;-6.430;0.902
1.700;138.6;71.092;-6.503;0.959
1.800;149.5;71.090;-6.574;1.017
1.900;160.6;71.088;-6.644;1.075
2.000;172.0;71.086;-6.713;1.132
2.100;183.5;71.084;-6.779;1.190
2.200;195.3;71.080;-6.844;1.248
2.300;207.2;71.076;-6.906;1.306
2.400;219.4;71.071;-6.967;1.364
2.500;231.7;71.066;-7.026;1.422
2.600;244.3;71.060;-7.084;1.479
2.700;257.0;71.053;-7.142;1.537
2.800;269.9;71.046;-7.198;1.595
2.900;282.8;71.039;-7.250;1.653
2.975;292.6;71.034;-7.286;1.696
