F.W.TK(S);250.4;26;30
15.160;0.0;58.450;-25.502;15.161
15.360;6.4;58.450;-25.503;15.260
15.560;12.9;58.450;-25.503;15.360
15.760;19.3;58.450;-25.503;15.460
15.960;25.8;58.450;-25.503;15.560
16.160;32.2;58.450;-25.503;15.660
16.360;38.6;58.450;-25.503;15.760
16.560;45.1;58.450;-25.503;15.860
16.760;51.5;58.450;-25.503;15.960
16.960;58.0;58.450;-25.503;16.060
17.160;64.4;58.450;-25.503;16.160
17.360;70.9;58.450;-25.503;16.260
17.560;77.3;58.450;-25.503;16.360
17.760;83.7;58.450;-25.503;16.460
17.960;90.2;58.450;-25.503;16.560
18.160;96.6;58.450;-25.503;16.660
18.360;103.1;58.450;-25.503;16.760
18.560;109.5;58.450;-25.503;16.860
18.760;115.9;58.450;-25.503;16.960
18.960;122.4;58.450;-25.503;17.060
19.160;128.8;58.450;-25.503;17.160
19.360;135.3;58.450;-25.503;17.260
19.560;141.7;58.450;-25.503;17.360
19.760;148.2;58.450;-25.503;17.460
19.960;154.6;58.450;-25.503;17.560
20.160;161.0;58.450;-25.503;17.660
20.360;167.5;58.450;-25.503;17.760
20.560;173.9;58.450;-25.503;17.860
20.760;180.4;58.450;-25.503;17.960
20.960;186.8;58.450;-25.503;18.060
21.160;193.2;58.450;-25.503;18.160
21.360;199.7;58.450;-25.503;18.260
21.560;206.1;58.450;-25.503;18.360
21.760;212.6;58.450;-25.503;18.460
21.960;219.0;58.450;-25.503;18.560
22.160;225.4;58.450;-25.503;18.660
22.360;231.9;58.450;-25.503;18.760
22.560;238.3;58.450;-25.503;18.860
22.760;244.8;58.450;-25.503;18.960
22.936;250.4;58.450;-25.503;19.048
