M/E CYL.O SERV.TK(P);8.6;49;52
22.936;0.0;81.150;13.645;22.937
23.036;0.2;81.150;13.645;22.986
23.136;0.4;81.150;13.645;23.036
23.236;0.6;81.150;13.645;23.086
23.336;0.8;81.150;13.645;23.136
23.436;1.0;81.150;13.645;23.186
23.536;1.2;81.150;13.645;23.236
23.636;1.4;81.150;13.645;23.286
23.736;1.6;81.150;13.645;23.336
23.836;1.8;81.150;13.645;23.386
23.936;2.0;81.150;13.645;23.436
24.036;2.2;81.150;13.645;23.486
24.136;2.4;81.150;13.645;23.536
24.236;2.6;81.150;13.645;23.586
24.336;2.8;81.150;13.645;23.636
24.436;3.0;81.150;13.645;23.686
24.536;3.2;81.150;13.645;23.736
24.636;3.4;81.150;13.645;23.786
24.736;3.6;81.150;13.645;23.836
24.836;3.8;81.150;13.645;23.886
24.936;4.0;81.150;13.645;23.936
25.036;4.2;81.150;13.645;23.986
25.136;4.4;81.150;13.645;24.036
25.236;4.6;81.150;13.645;24.086
25.336;4.8;81.150;13.645;24.136
25.436;5.0;81.150;13.645;24.186
25.536;5.2;81.150;13.645;24.236
25.636;5.4;81.150;13.645;24.286
25.736;5.6;81.150;13.645;24.336
25.836;5.8;81.150;13.645;24.386
25.936;6.0;81.150;13.645;24.436
26.036;6.2;81.150;13.645;24.486
26.136;6.3;81.150;13.645;24.536
26.236;6.5;81.150;13.645;24.586
26.336;6.8;81.150;13.645;24.636
26.436;7.0;81.150;13.645;24.686
26.536;7.2;81.150;13.645;24.736
26.636;7.3;81.150;13.645;24.786
26.736;7.5;81.150;13.645;24.836
26.836;7.7;81.150;13.645;24.886
26.936;7.9;81.150;13.645;24.936
27.036;8.1;81.150;13.645;24.986
27.136;8.3;81.150;13.645;25.036
27.236;8.5;81.150;13.645;25.086
27.256;8.6;81.150;13.645;25.096
