M.D.O. STOR.TK(S);324.3;26;30
9.976;0.0;58.450;-14.065;9.977
10.026;6.3;58.450;-14.065;10.001
10.076;12.5;58.450;-14.065;10.026
10.126;18.8;58.450;-14.065;10.051
10.176;25.0;58.450;-14.065;10.076
10.226;31.3;58.450;-14.065;10.101
10.276;37.5;58.450;-14.065;10.126
10.326;43.8;58.450;-14.065;10.151
10.376;50.0;58.450;-14.065;10.176
10.426;56.3;58.450;-14.065;10.201
10.476;62.6;58.450;-14.065;10.226
10.526;68.8;58.450;-14.065;10.251
10.576;75.1;58.450;-14.065;10.276
10.626;81.3;58.450;-14.065;10.301
10.676;87.6;58.450;-14.065;10.326
10.726;93.8;58.450;-14.065;10.351
10.776;100.1;58.450;-14.065;10.376
10.826;106.3;58.450;-14.065;10.401
10.876;112.6;58.450;-14.065;10.426
10.926;118.8;58.450;-14.065;10.451
10.976;125.1;58.450;-14.065;10.476
11.026;131.4;58.450;-14.065;10.501
11.076;137.6;58.450;-14.065;10.526
11.126;143.9;58.450;-14.065;10.551
11.176;150.1;58.450;-14.065;10.576
11.226;156.4;58.450;-14.065;10.601
11.276;162.6;58.450;-14.065;10.626
11.326;168.9;58.450;-14.065;10.651
11.376;175.1;58.450;-14.065;10.676
11.426;181.4;58.450;-14.065;10.701
11.476;187.7;58.450;-14.065;10.726
11.526;193.9;58.450;-14.065;10.751
11.576;200.2;58.450;-14.065;10.776
11.626;206.4;58.450;-14.065;10.801
11.676;212.7;58.450;-14.065;10.826
11.726;218.9;58.450;-14.065;10.851
11.776;225.2;58.450;-14.065;10.876
11.826;231.4;58.450;-14.065;10.901
11.876;237.7;58.450;-14.065;10.926
11.926;244.0;58.450;-14.065;10.951
11.976;250.2;58.450;-14.065;10.976
12.026;256.5;58.450;-14.065;11.001
12.076;262.7;58.450;-14.065;11.026
12.126;269.0;58.450;-14.065;11.051
12.176;275.2;58.450;-14.065;11.076
12.226;281.5;58.450;-14.065;11.101
12.276;287.7;58.450;-14.065;11.126
12.326;294.0;58.450;-14.065;11.151
12.376;300.2;58.450;-14.065;11.176
12.426;306.5;58.450;-14.065;11.201
12.476;312.8;58.450;-14.065;11.226
12.526;319.0;58.450;-14.065;11.251
12.568;324.3;58.450;-14.065;11.272
