NO.2 H.F.O.TK(CP);2197.8;105;122
2.200;0.0;226.127;3.672;2.201
2.700;53.0;226.125;3.673;2.450
3.200;106.0;226.125;3.672;2.700
3.700;159.0;226.125;3.672;2.950
4.200;212.0;226.125;3.672;3.200
4.700;265.0;226.125;3.672;3.450
5.200;318.0;226.125;3.672;3.700
5.700;371.0;226.125;3.672;3.950
6.200;424.0;226.125;3.672;4.200
6.700;477.0;226.125;3.672;4.450
7.200;530.0;226.125;3.672;4.700
7.700;582.9;226.125;3.672;4.950
8.200;635.9;226.125;3.673;5.200
8.700;688.9;226.125;3.672;5.450
9.200;741.9;226.125;3.673;5.700
9.700;794.9;226.125;3.672;5.950
10.200;847.9;226.125;3.672;6.200
10.700;900.9;226.125;3.672;6.450
11.200;953.9;226.125;3.672;6.700
11.700;1006.9;226.125;3.672;6.950
12.200;1059.9;226.125;3.672;7.200
12.700;1112.9;226.125;3.672;7.450
13.200;1165.9;226.125;3.672;7.700
13.700;1218.9;226.125;3.672;7.950
14.200;1271.9;226.125;3.672;8.200
14.700;1324.9;226.125;3.672;8.450
15.200;1377.9;226.125;3.672;8.700
15.700;1430.9;226.125;3.672;8.950
16.200;1483.9;226.125;3.673;9.200
16.700;1536.9;226.125;3.672;9.450
17.200;1589.9;226.125;3.672;9.700
17.700;1642.9;226.125;3.672;9.950
18.200;1695.8;226.125;3.672;10.200
18.700;1748.8;226.125;3.672;10.450
19.200;1801.8;226.125;3.672;10.700
19.700;1854.8;226.125;3.672;10.950
20.200;1907.8;226.125;3.672;11.200
20.700;1960.8;226.125;3.672;11.450
21.200;2013.8;226.125;3.672;11.700
21.700;2066.8;226.125;3.672;11.950
22.200;2119.8;226.125;3.672;12.200
22.700;2172.8;226.125;3.672;12.450
22.936;2197.8;226.125;3.672;12.568
