NO.3 H.F.O.TK(MS);2262.1;105;122
2.200;0.0;226.127;-11.126;2.200
2.700;54.5;226.125;-11.125;2.450
3.200;109.1;226.125;-11.125;2.700
3.700;163.6;226.125;-11.125;2.950
4.200;218.2;226.125;-11.125;3.200
4.700;272.7;226.125;-11.125;3.450
5.200;327.3;226.125;-11.125;3.700
5.700;381.8;226.125;-11.125;3.950
6.200;436.4;226.125;-11.125;4.200
6.700;490.9;226.125;-11.125;4.450
7.200;545.5;226.125;-11.125;4.700
7.700;600.0;226.125;-11.125;4.950
8.200;654.6;226.125;-11.125;5.200
8.700;709.1;226.125;-11.125;5.450
9.200;763.7;226.125;-11.125;5.700
9.700;818.2;226.125;-11.125;5.950
10.200;872.7;226.125;-11.125;6.200
10.700;927.3;226.125;-11.125;6.450
11.200;981.8;226.125;-11.125;6.700
11.700;1036.4;226.125;-11.125;6.950
12.200;1090.9;226.125;-11.125;7.200
12.700;1145.5;226.125;-11.125;7.450
13.200;1200.0;226.125;-11.125;7.700
13.700;1254.6;226.125;-11.125;7.950
14.200;1309.1;226.125;-11.125;8.200
14.700;1363.7;226.125;-11.125;8.450
15.200;1418.2;226.125;-11.125;8.700
15.700;1472.8;226.125;-11.125;8.950
16.200;1527.3;226.125;-11.125;9.200
16.700;1581.8;226.125;-11.125;9.450
17.200;1636.4;226.125;-11.125;9.700
17.700;1690.9;226.125;-11.125;9.950
18.200;1745.5;226.125;-11.125;10.200
18.700;1800.0;226.125;-11.125;10.450
19.200;1854.6;226.125;-11.125;10.700
19.700;1909.1;226.125;-11.125;10.950
20.200;1963.7;226.125;-11.125;11.200
20.700;2018.2;226.125;-11.125;11.450
21.200;2072.8;226.125;-11.125;11.700
21.700;2127.3;226.125;-11.125;11.950
22.200;2181.9;226.125;-11.125;12.200
22.700;2236.4;226.125;-11.125;12.450
22.936;2262.1;226.125;-11.125;12.568
