NO.4A DB.W.B.TK(S);2404.8;90;105
0.000;0.0;196.936;-12.560;0.001
0.100;75.8;196.978;-12.866;0.050
0.200;154.0;196.997;-13.008;0.101
0.300;233.8;197.011;-13.117;0.152
0.400;314.8;197.021;-13.208;0.203
0.500;396.9;197.029;-13.289;0.254
0.600;479.9;197.037;-13.360;0.305
0.700;563.7;197.043;-13.426;0.357
0.800;648.3;197.048;-13.487;0.408
0.900;733.7;197.053;-13.544;0.459
1.000;819.7;197.057;-13.598;0.511
1.100;906.3;197.061;-13.649;0.562
1.200;993.5;197.064;-13.697;0.614
1.300;1081.3;197.068;-13.743;0.666
1.400;1169.6;197.070;-13.787;0.717
1.500;1258.4;197.073;-13.829;0.769
1.600;1347.6;197.075;-13.869;0.821
1.700;1437.4;197.078;-13.908;0.872
1.800;1527.5;197.080;-13.946;0.924
1.900;1618.1;197.081;-13.982;0.976
2.000;1709.1;197.083;-14.017;1.028
2.100;1800.5;197.085;-14.051;1.080
2.200;1892.2;197.086;-14.083;1.132
2.300;1909.0;197.086;-14.167;1.142
2.400;1926.1;197.086;-14.251;1.152
2.500;1943.5;197.085;-14.335;1.164
2.600;1961.2;197.085;-14.420;1.176
2.700;1979.2;197.085;-14.504;1.190
2.800;1997.5;197.085;-14.589;1.204
2.900;2016.0;197.084;-14.674;1.219
3.000;2034.8;197.084;-14.759;1.235
3.100;2053.9;197.084;-14.843;1.252
3.200;2073.2;197.083;-14.927;1.270
3.300;2092.7;197.083;-15.011;1.288
3.400;2112.5;197.083;-15.095;1.308
3.500;2132.5;197.083;-15.178;1.328
3.600;2152.6;197.083;-15.260;1.348
3.700;2173.0;197.083;-15.342;1.370
3.800;2193.5;197.083;-15.424;1.392
3.900;2214.2;197.083;-15.504;1.415
4.000;2235.1;197.083;-15.584;1.439
4.100;2256.1;197.083;-15.663;1.463
4.200;2277.3;197.083;-15.742;1.488
4.300;2298.5;197.083;-15.819;1.514
4.400;2319.9;197.083;-15.896;1.540
4.500;2341.4;197.083;-15.972;1.567
4.600;2363.0;197.083;-16.046;1.594
4.700;2384.7;197.083;-16.120;1.622
4.792;2404.8;197.083;-16.187;1.648
