NO.8 VOID(P);723.7;11;15
11.211;0.0;0.000;0.000;0.000
11.511;0.3;20.866;9.888;11.413
11.811;2.5;20.316;10.781;11.613
12.111;6.2;20.041;11.119;11.874
12.411;14.9;19.498;11.577;12.115
12.711;28.6;18.984;12.049;12.334
13.011;48.6;18.397;12.450;12.554
13.311;75.6;17.825;12.829;12.774
13.611;109.5;17.325;13.203;12.987
13.911;148.9;16.945;13.576;13.193
14.211;193.0;16.658;13.935;13.392
14.511;241.1;16.436;14.271;13.586
14.811;292.5;16.261;14.579;13.775
15.111;346.6;16.122;14.858;13.960
15.411;371.1;16.021;15.165;14.044
15.711;391.3;15.924;15.491;14.123
16.011;413.0;15.830;15.819;14.214
16.311;436.0;15.741;16.140;14.317
16.611;460.1;15.656;16.451;14.429
16.911;485.1;15.576;16.747;14.550
17.211;510.9;15.503;17.028;14.676
17.511;537.3;15.434;17.293;14.808
17.811;560.6;15.382;17.517;14.926
18.111;569.7;15.380;17.643;14.974
18.411;579.0;15.378;17.769;15.027
18.711;588.4;15.374;17.893;15.084
19.011;598.0;15.370;18.014;15.144
19.311;607.6;15.366;18.132;15.208
19.611;617.2;15.362;18.247;15.274
19.911;626.8;15.358;18.358;15.343
20.211;636.4;15.354;18.466;15.414
20.511;646.0;15.350;18.571;15.488
20.811;655.6;15.347;18.673;15.563
21.111;665.3;15.343;18.771;15.641
21.411;674.9;15.340;18.867;15.722
21.711;684.5;15.336;18.960;15.804
22.011;694.1;15.333;19.051;15.887
22.311;703.7;15.330;19.139;15.973
22.611;713.3;15.327;19.225;16.061
22.911;722.9;15.324;19.308;16.150
22.936;723.7;15.324;19.315;16.157
