CLASS;1.1;1.2;1.5;1.3;1.6;1.4;2.1;2.2;2.3;3;4.1;4.2;4.3;5.1;5.2;6.1;6.2;7;8;9
1.1;*;*;*;*;*;*;4;2;2;4;4;4;4;4;4;2;4;2;4;X
1.2;*;*;*;*;*;*;4;2;2;4;4;4;4;4;4;2;4;2;4;X
1.5;*;*;*;*;*;*;4;2;2;4;4;4;4;4;4;2;4;2;4;X
1.3;*;*;*;*;*;*;4;2;2;4;3;3;4;4;4;2;4;2;2;X
1.6;*;*;*;*;*;*;4;2;2;4;3;3;4;4;4;2;4;2;2;X
1.4;*;*;*;*;*;*;2;1;1;2;2;2;2;2;2;X;4;2;2;X
2.1;4;4;4;4;4;2;X;X;X;2;1;2;X;2;2;X;4;2;1;X
2.2;2;2;2;2;2;1;X;X;X;1;X;1;X;X;1;X;2;1;X;X
2.3;2;2;2;2;2;1;X;X;X;2;X;2;X;X;2;X;2;1;X;X
3;4;4;4;4;4;2;2;1;2;X;X;2;1;2;2;X;3;2;X;X
4.1;4;4;4;3;3;2;1;X;X;X;X;1;X;1;2;X;3;2;1;X
4.2;4;4;4;3;3;2;2;1;2;2;1;X;1;2;2;1;3;2;1;X
4.3;4;4;4;4;4;2;X;X;X;1;X;1;X;2;2;X;2;2;1;X
5.1;4;4;4;4;4;2;2;X;X;2;1;2;2;X;2;1;3;1;2;X
5.2;4;4;4;4;4;2;2;1;2;2;2;2;2;2;X;1;3;2;2;X
6.1;2;2;2;2;2;X;X;X;X;X;X;1;X;1;1;X;1;X;X;X
6.2;4;4;4;4;4;4;4;2;2;3;3;3;2;3;3;1;X;3;3;X
7;2;2;2;2;2;2;2;1;1;2;2;2;2;1;2;X;3;X;2;X
8;4;4;4;2;2;2;1;X;X;X;1;1;1;2;2;X;3;2;X;X
9;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
