F.O.SLUDGE TK(P);21.5;43;52
8.776;0.0;78.750;17.845;8.777
8.826;0.9;78.750;17.845;8.801
8.876;1.8;78.750;17.845;8.826
8.926;2.7;78.750;17.845;8.851
8.976;3.6;78.750;17.845;8.876
9.026;4.5;78.750;17.845;8.901
9.076;5.4;78.750;17.845;8.926
9.126;6.3;78.750;17.845;8.951
9.176;7.2;78.750;17.845;8.976
9.226;8.0;78.750;17.845;9.001
9.276;8.9;78.750;17.845;9.026
9.326;9.8;78.750;17.845;9.051
9.376;10.7;78.750;17.845;9.076
9.426;11.6;78.750;17.845;9.101
9.476;12.5;78.750;17.845;9.126
9.526;13.4;78.750;17.845;9.151
9.576;14.3;78.750;17.845;9.176
9.626;15.2;78.750;17.845;9.201
9.676;16.1;78.750;17.845;9.226
9.726;17.0;78.750;17.845;9.251
9.776;17.9;78.750;17.845;9.276
9.826;18.8;78.750;17.845;9.301
9.876;19.7;78.750;17.845;9.326
9.926;20.6;78.750;17.845;9.351
9.976;21.4;78.750;17.845;9.376
