FWD LOW VOID;2526.7;167;198
0.010;0.0;0.000;0.000;0.000
0.510;3.2;365.759;0.000;0.345
1.010;14.6;367.021;0.000;0.697
1.510;33.8;367.763;0.000;1.021
2.010;60.4;368.387;0.000;1.352
2.510;94.5;368.959;0.000;1.683
3.010;135.0;369.431;0.000;2.009
3.510;182.0;369.861;0.000;2.333
4.010;235.1;370.259;0.000;2.656
4.510;293.1;370.603;0.000;2.975
5.010;356.0;370.928;0.000;3.291
5.510;423.4;371.228;0.000;3.605
6.010;494.5;371.508;0.000;3.915
6.510;568.6;371.765;0.000;4.221
7.010;644.8;371.990;0.000;4.521
7.510;722.9;372.201;0.000;4.818
8.010;802.4;372.396;0.000;5.110
8.510;882.4;372.575;0.000;5.396
9.010;962.3;372.737;0.000;5.675
9.510;1041.2;372.883;0.000;5.946
10.010;1118.3;373.015;0.000;6.209
10.510;1192.3;373.124;0.000;6.460
11.010;1262.2;373.215;0.000;6.699
11.510;1326.3;373.282;0.000;6.919
12.010;1382.8;373.322;0.000;7.116
12.510;1429.6;373.329;0.000;7.284
13.010;1464.2;373.297;0.000;7.413
13.510;1488.8;373.231;0.000;7.509
14.010;1510.6;373.155;0.000;7.599
14.510;1532.2;373.080;0.000;7.693
15.010;1554.7;373.006;0.000;7.796
15.510;1578.6;372.930;0.000;7.909
16.010;1604.3;372.851;0.000;8.035
16.510;1632.6;372.770;0.000;8.177
17.010;1664.1;372.686;0.000;8.340
17.510;1699.5;372.598;0.000;8.526
18.010;1739.6;372.508;0.000;8.740
18.510;1785.0;372.417;0.000;8.983
19.010;1836.4;372.324;0.000;9.256
19.510;1894.5;372.231;0.000;9.562
20.010;1959.9;372.139;0.000;9.902
20.510;2033.5;372.048;0.000;10.277
21.010;2115.9;371.961;0.000;10.686
21.510;2209.0;371.883;0.000;11.132
22.010;2310.7;371.803;0.000;11.600
22.510;2422.8;371.728;0.000;12.093
22.936;2526.7;371.669;0.000;12.531
