L.O.SLUDGE TK(P);19.1;35;43
8.776;0.0;71.950;17.845;8.777
8.826;0.8;71.950;17.845;8.801
8.876;1.6;71.950;17.845;8.826
8.926;2.4;71.950;17.845;8.851
8.976;3.2;71.950;17.845;8.876
9.026;4.0;71.950;17.845;8.901
9.076;4.8;71.950;17.845;8.926
9.126;5.6;71.950;17.845;8.951
9.176;6.3;71.950;17.845;8.976
9.226;7.2;71.950;17.845;9.001
9.276;7.9;71.950;17.845;9.026
9.326;8.7;71.950;17.845;9.051
9.376;9.5;71.950;17.845;9.076
9.426;10.3;71.950;17.845;9.101
9.476;11.1;71.950;17.845;9.126
9.526;11.9;71.950;17.845;9.151
9.576;12.7;71.950;17.845;9.176
9.626;13.5;71.950;17.845;9.201
9.676;14.3;71.950;17.845;9.226
9.726;15.1;71.950;17.845;9.251
9.776;15.9;71.950;17.845;9.276
9.826;16.7;71.950;17.845;9.301
9.876;17.5;71.950;17.845;9.326
9.926;18.3;71.950;17.845;9.351
9.976;19.1;71.950;17.845;9.376
