M/E SYS.O STOR.TK(S);112.8;39;43
15.160;0.0;73.550;-24.212;15.161
15.360;3.3;73.550;-24.212;15.260
15.560;6.5;73.550;-24.212;15.360
15.760;9.8;73.550;-24.212;15.460
15.960;13.0;73.550;-24.213;15.560
16.160;16.3;73.550;-24.212;15.660
16.360;19.6;73.550;-24.212;15.760
16.560;22.8;73.550;-24.212;15.860
16.760;26.1;73.550;-24.213;15.960
16.960;29.4;73.550;-24.212;16.060
17.160;32.6;73.550;-24.212;16.160
17.360;35.9;73.550;-24.212;16.260
17.560;39.1;73.550;-24.212;16.360
17.760;42.4;73.550;-24.212;16.460
17.960;45.7;73.550;-24.212;16.560
18.160;48.9;73.550;-24.212;16.660
18.360;52.2;73.550;-24.213;16.760
18.560;55.5;73.550;-24.212;16.860
18.760;58.7;73.550;-24.213;16.960
18.960;62.0;73.550;-24.212;17.060
19.160;65.2;73.550;-24.212;17.160
19.360;68.5;73.550;-24.212;17.260
19.560;71.8;73.550;-24.212;17.360
19.760;75.0;73.550;-24.213;17.460
19.960;78.3;73.550;-24.212;17.560
20.160;81.6;73.550;-24.212;17.660
20.360;84.8;73.550;-24.212;17.760
20.560;88.1;73.550;-24.212;17.860
20.760;91.3;73.550;-24.212;17.960
20.960;94.6;73.550;-24.212;18.060
21.160;97.9;73.550;-24.212;18.160
21.360;99.9;73.550;-24.229;18.223
21.560;101.5;73.550;-24.249;18.275
21.760;103.2;73.550;-24.269;18.328
21.960;104.8;73.550;-24.288;18.384
22.160;106.4;73.550;-24.307;18.440
22.360;108.1;73.550;-24.325;18.498
22.560;109.7;73.550;-24.343;18.557
22.760;111.3;73.550;-24.360;18.617
22.936;112.8;73.550;-24.374;18.671
