M/E SYS.O.SUMP TK;110.9;28;52
0.500;0.0;81.550;0.000;0.501
0.550;0.2;81.550;0.000;0.525
0.600;0.5;81.550;0.000;0.550
0.650;0.7;81.550;0.000;0.575
0.700;0.9;81.550;0.000;0.600
0.750;4.5;72.661;0.000;0.699
0.800;8.1;71.619;0.000;0.732
0.850;11.6;71.215;0.000;0.761
0.900;15.2;71.000;0.000;0.788
0.950;18.7;70.867;0.000;0.814
1.000;22.3;70.777;0.000;0.839
1.050;25.8;70.711;0.000;0.865
1.100;29.4;70.661;0.000;0.890
1.150;32.9;70.622;0.000;0.916
1.200;36.5;70.591;0.000;0.941
1.250;40.0;70.565;0.000;0.966
1.300;43.6;70.544;0.000;0.991
1.350;47.2;70.525;0.000;1.016
1.400;50.7;70.509;0.000;1.042
1.450;54.3;70.496;0.000;1.067
1.500;57.8;70.484;0.000;1.092
1.550;61.4;70.473;0.000;1.117
1.600;64.9;70.464;0.000;1.142
1.650;68.5;70.455;0.000;1.167
1.700;72.0;70.447;0.000;1.192
1.750;75.6;70.440;0.000;1.217
1.800;79.1;70.434;0.000;1.242
1.850;82.7;70.428;0.000;1.267
1.900;86.3;70.423;0.000;1.292
1.950;89.8;70.418;0.000;1.317
2.000;93.4;70.414;0.000;1.342
2.050;96.9;70.410;0.000;1.367
2.100;100.5;70.406;0.000;1.392
2.150;104.0;70.402;0.000;1.418
2.200;107.2;70.401;0.000;1.440
2.250;107.5;70.426;0.000;1.442
2.300;107.7;70.450;0.000;1.444
2.350;108.0;70.475;0.000;1.446
2.400;108.2;70.499;0.000;1.448
2.450;108.4;70.523;0.000;1.450
2.500;108.7;70.547;0.000;1.452
2.550;108.9;70.571;0.000;1.454
2.600;109.1;70.594;0.000;1.457
2.650;109.4;70.618;0.000;1.459
2.700;109.6;70.642;0.000;1.462
2.750;109.8;70.665;0.000;1.465
2.800;110.1;70.688;0.000;1.467
2.850;110.3;70.712;0.000;1.470
2.900;110.6;70.735;0.000;1.473
2.950;110.8;70.758;0.000;1.476
2.975;110.9;70.769;0.000;1.478
