NO.5 W.W.B.TK(P);2010.5;75;90
4.792;0.0;153.775;25.502;4.793
5.292;55.4;153.775;25.502;5.042
5.792;110.8;153.775;25.502;5.292
6.292;166.2;153.775;25.502;5.542
6.792;221.6;153.775;25.502;5.792
7.292;277.0;153.775;25.502;6.042
7.792;332.4;153.775;25.502;6.292
8.292;387.8;153.775;25.502;6.542
8.792;443.2;153.775;25.502;6.792
9.292;498.6;153.775;25.502;7.042
9.792;554.0;153.775;25.502;7.292
10.292;609.4;153.775;25.502;7.542
10.792;664.8;153.775;25.502;7.792
11.292;720.2;153.775;25.502;8.042
11.792;775.6;153.775;25.502;8.292
12.292;831.0;153.775;25.502;8.542
12.792;886.4;153.775;25.502;8.792
13.292;941.8;153.775;25.502;9.042
13.792;997.3;153.775;25.502;9.292
14.292;1052.7;153.775;25.502;9.542
14.792;1108.1;153.775;25.502;9.792
15.292;1163.5;153.775;25.502;10.042
15.792;1218.9;153.775;25.502;10.292
16.292;1274.3;153.775;25.502;10.542
16.792;1329.7;153.775;25.502;10.792
17.292;1385.1;153.775;25.502;11.042
17.792;1440.5;153.775;25.502;11.292
18.292;1495.9;153.775;25.502;11.542
18.792;1551.3;153.775;25.502;11.792
19.292;1606.7;153.775;25.502;12.042
19.792;1662.1;153.775;25.502;12.292
20.292;1717.5;153.775;25.502;12.542
20.792;1772.9;153.775;25.502;12.792
21.292;1828.3;153.775;25.502;13.042
21.792;1883.7;153.775;25.502;13.292
22.292;1939.1;153.775;25.502;13.542
22.792;1994.5;153.775;25.502;13.792
22.936;2010.5;153.775;25.502;13.864
