S/T L.O.DRAIN TK;9.2;21;22
1.800;0.0;39.225;-0.000;1.801
1.850;0.5;39.225;-0.000;1.825
1.900;0.9;39.225;-0.000;1.850
1.950;1.4;39.225;-0.000;1.875
2.000;1.8;39.225;-0.000;1.900
2.050;2.3;39.225;-0.000;1.925
2.100;2.8;39.225;-0.000;1.950
2.150;3.2;39.225;-0.000;1.975
2.200;3.7;39.225;-0.000;2.000
2.250;4.1;39.225;-0.000;2.025
2.300;4.6;39.225;0.000;2.050
2.350;5.1;39.225;0.000;2.075
2.400;5.5;39.225;0.000;2.100
2.450;6.0;39.225;0.000;2.125
2.500;6.4;39.225;0.000;2.150
2.550;6.9;39.225;0.000;2.175
2.600;7.3;39.225;0.000;2.200
2.650;7.8;39.225;0.000;2.225
2.700;8.3;39.225;0.000;2.250
2.750;8.7;39.225;0.000;2.275
2.800;9.2;39.225;0.000;2.300
