SLUDGE TK(P);286.2;28;39
0.000;0.0;66.652;3.672;0.001
0.100;3.5;65.944;4.227;0.055
0.200;8.3;65.828;4.482;0.111
0.300;13.8;65.770;4.671;0.167
0.400;20.0;65.734;4.828;0.224
0.500;26.7;65.707;4.964;0.281
0.600;33.9;65.687;5.083;0.338
0.700;41.4;65.670;5.191;0.395
0.800;49.3;65.657;5.291;0.452
0.900;57.5;65.646;5.383;0.509
1.000;66.1;65.636;5.470;0.566
1.100;74.9;65.628;5.552;0.623
1.200;84.0;65.621;5.629;0.680
1.300;93.4;65.615;5.703;0.738
1.400;103.1;65.610;5.775;0.795
1.500;113.0;65.605;5.844;0.852
1.600;123.2;65.601;5.911;0.910
1.700;133.6;65.597;5.976;0.968
1.800;144.2;65.594;6.039;1.025
1.900;155.1;65.591;6.101;1.083
2.000;166.2;65.589;6.162;1.141
2.100;177.6;65.586;6.222;1.199
2.200;189.1;65.584;6.281;1.257
2.300;200.9;65.583;6.339;1.316
2.400;212.9;65.581;6.396;1.374
2.500;225.2;65.580;6.453;1.433
2.600;237.7;65.579;6.510;1.491
2.700;250.4;65.577;6.565;1.550
2.800;263.2;65.574;6.618;1.609
2.900;276.3;65.571;6.670;1.667
2.975;286.2;65.568;6.709;1.711
