NoFrame;LimInf;LimSup
0;0;7229
11;-1572;39270
15;-3821;127582
20;-6401;273949
25;-8981;405417
30;-11561;580762
45;-13704;741581
60;-15846;836076
65;-18426;922878
70;-21006;1000292
75;-21006;1000292
80;-21006;1000292
85;-21006;1000292
90;-21006;1000292
95;-21006;1000292
100;-21006;1000292
105;-21006;1000292
110;-21006;1000292
115;-21006;1000292
122;-20070;942920
126;-18296;836371
131;-16263;708024
136;-14229;585578
141;-12196;468904
146;-10162;326719
151;-8128;195651
156;-6094;96736
161;-4060;46163
167;-1802;12683
183;-1184;2131
