X;Draft;Area
-6.50;0.0;0.00
-6.50;0.25;0.00
-6.50;0.5;0.00
-6.50;0.75;0.00
-6.50;1.0;0.00
-6.50;1.5;0.00
-6.50;2.0;0.00
-6.50;2.5;0.00
-6.50;3.0;0.00
-6.50;3.5;0.00
-6.50;4.0;0.00
-6.50;4.5;0.00
-6.50;5.0;0.00
-6.50;5.5;0.00
-6.50;6.0;0.00
-6.50;6.5;0.00
-6.50;7.0;0.00
-6.50;7.5;0.00
-6.50;8.0;0.00
-6.50;8.5;0.00
-6.50;9.0;0.00
-6.50;9.5;0.00
-6.50;10.0;0.00
-6.50;10.5;0.00
-6.50;11.0;0.00
-6.50;11.5;0.00
-6.50;12.0;0.00
-6.50;12.5;0.00
-6.50;13.0;0.00
-6.50;13.5;0.00
-6.50;14.0;0.00
-6.50;14.5;0.00
-6.50;15.0;0.00
-6.50;15.5;4.50
-6.50;16.0;17.35
-6.50;16.5;34.39
-6.50;17.0;54.28
-6.50;17.5;76.00
-6.50;18.0;99.07
-6.50;18.5;123.22
-6.50;19.0;148.19
-6.50;19.5;173.80
-6.50;20.0;199.87
-6.50;20.5;226.28
-6.50;21.0;252.92
-6.50;21.5;279.68
-6.50;22.0;306.49
-6.50;22.5;333.32
-6.50;23.0;353.97
-6.50;23.5;356.91
-3.25;0.0;0.00
-3.25;0.25;0.00
-3.25;0.5;0.00
-3.25;0.75;0.07
-3.25;1.0;0.23
-3.25;1.5;0.55
-3.25;2.0;0.88
-3.25;2.5;1.23
-3.25;3.0;1.59
-3.25;3.5;1.96
-3.25;4.0;2.34
-3.25;4.5;2.74
-3.25;5.0;3.15
-3.25;5.5;3.57
-3.25;6.0;4.01
-3.25;6.5;4.46
-3.25;7.0;4.92
-3.25;7.5;5.39
-3.25;8.0;5.87
-3.25;8.5;6.37
-3.25;9.0;6.87
-3.25;9.5;7.39
-3.25;10.0;7.91
-3.25;10.5;8.45
-3.25;11.0;9.03
-3.25;11.5;9.69
-3.25;12.0;10.42
-3.25;12.5;11.22
-3.25;13.0;12.08
-3.25;13.5;13.01
-3.25;14.0;14.01
-3.25;14.5;14.97
-3.25;15.0;18.94
-3.25;15.5;31.44
-3.25;16.0;48.22
-3.25;16.5;67.96
-3.25;17.0;89.74
-3.25;17.5;112.89
-3.25;18.0;137.07
-3.25;18.5;162.05
-3.25;19.0;187.67
-3.25;19.5;213.75
-3.25;20.0;240.18
-3.25;20.5;266.84
-3.25;21.0;293.63
-3.25;21.5;320.45
-3.25;22.0;347.27
-3.25;22.5;374.09
-3.25;23.0;395.64
-3.25;23.5;399.51
0.00;0.0;0.00
0.00;0.25;0.00
0.00;0.5;0.00
0.00;0.75;0.19
0.00;1.0;0.59
0.00;1.5;1.38
0.00;2.0;2.20
0.00;2.5;3.02
0.00;3.0;3.86
0.00;3.5;4.68
0.00;4.0;5.52
0.00;4.5;6.36
0.00;5.0;7.22
0.00;5.5;8.10
0.00;6.0;8.99
0.00;6.5;9.89
0.00;7.0;10.82
0.00;7.5;11.76
0.00;8.0;12.72
0.00;8.5;13.69
0.00;9.0;14.69
0.00;9.5;15.70
0.00;10.0;16.72
0.00;10.5;17.77
0.00;11.0;18.86
0.00;11.5;20.05
0.00;12.0;21.34
0.00;12.5;22.71
0.00;13.0;24.18
0.00;13.5;25.73
0.00;14.0;27.25
0.00;14.5;32.26
0.00;15.0;44.68
0.00;15.5;61.39
0.00;16.0;80.95
0.00;16.5;102.61
0.00;17.0;125.77
0.00;17.5;149.98
0.00;18.0;174.97
0.00;18.5;200.57
0.00;19.0;226.63
0.00;19.5;253.03
0.00;20.0;279.68
0.00;20.5;306.46
0.00;21.0;333.28
0.00;21.5;360.10
0.00;22.0;386.92
0.00;22.5;413.75
0.00;23.0;436.14
0.00;23.5;441.08
9.46;0.0;0.00
9.46;0.25;0.00
9.46;0.5;0.00
9.46;0.75;0.00
9.46;1.0;0.00
9.46;1.5;0.00
9.46;2.0;0.00
9.46;2.5;0.00
9.46;3.0;0.00
9.46;3.5;0.09
9.46;4.0;0.25
9.46;4.5;1.11
9.46;5.0;2.13
9.46;5.5;2.98
9.46;6.0;3.21
9.46;6.5;3.20
9.46;7.0;3.20
9.46;7.5;3.20
9.46;8.0;3.20
9.46;8.5;3.20
9.46;9.0;3.20
9.46;9.5;3.20
9.46;10.0;3.20
9.46;10.5;3.20
9.46;11.0;3.20
9.46;11.5;3.20
9.46;12.0;3.18
9.46;12.5;2.95
9.46;13.0;5.96
9.46;13.5;17.01
9.46;14.0;32.53
9.46;14.5;51.19
9.46;15.0;72.17
9.46;15.5;94.82
9.46;16.0;118.69
9.46;16.5;143.45
9.46;17.0;168.88
9.46;17.5;194.81
9.46;18.0;221.11
9.46;18.5;247.67
9.46;19.0;274.39
9.46;19.5;301.19
9.46;20.0;328.02
9.46;20.5;354.84
9.46;21.0;381.66
9.46;21.5;408.49
9.46;22.0;435.31
9.46;22.5;462.13
9.46;23.0;488.95
9.46;23.5;515.78
18.92;0.0;0.00
18.92;0.25;0.33
18.92;0.5;0.88
18.92;0.75;1.58
18.92;1.0;2.39
18.92;1.5;4.29
18.92;2.0;6.47
18.92;2.5;8.84
18.92;3.0;11.33
18.92;3.5;13.85
18.92;4.0;16.34
18.92;4.5;18.73
18.92;5.0;20.96
18.92;5.5;22.98
18.92;6.0;24.77
18.92;6.5;26.34
18.92;7.0;27.72
18.92;7.5;28.99
18.92;8.0;30.21
18.92;8.5;31.45
18.92;9.0;32.78
18.92;9.5;34.29
18.92;10.0;36.13
18.92;10.5;38.56
18.92;11.0;42.14
18.92;11.5;48.03
18.92;12.0;58.16
18.92;12.5;72.97
18.92;13.0;90.84
18.92;13.5;111.04
18.92;14.0;133.09
18.92;14.5;156.51
18.92;15.0;180.94
18.92;15.5;206.10
18.92;16.0;231.82
18.92;16.5;257.94
18.92;17.0;284.35
18.92;17.5;310.97
18.92;18.0;337.73
18.92;18.5;364.54
18.92;19.0;391.37
18.92;19.5;418.19
18.92;20.0;445.01
18.92;20.5;471.84
18.92;21.0;498.66
18.92;21.5;525.48
18.92;22.0;552.30
18.92;22.5;579.13
18.92;23.0;605.95
18.92;23.5;632.77
28.38;0.0;0.03
28.38;0.25;0.76
28.38;0.5;1.85
28.38;0.75;3.17
28.38;1.0;4.65
28.38;1.5;8.01
28.38;2.0;11.73
28.38;2.5;15.71
28.38;3.0;19.86
28.38;3.5;24.08
28.38;4.0;28.34
28.38;4.5;32.57
28.38;5.0;36.75
28.38;5.5;40.88
28.38;6.0;44.97
28.38;6.5;49.05
28.38;7.0;53.18
28.38;7.5;57.45
28.38;8.0;61.97
28.38;8.5;66.92
28.38;9.0;72.54
28.38;9.5;79.22
28.38;10.0;87.66
28.38;10.5;98.82
28.38;11.0;113.15
28.38;11.5;130.51
28.38;12.0;150.20
28.38;12.5;171.68
28.38;13.0;194.56
28.38;13.5;218.52
28.38;14.0;243.31
28.38;14.5;268.74
28.38;15.0;294.65
28.38;15.5;320.92
28.38;16.0;347.45
28.38;16.5;374.14
28.38;17.0;400.93
28.38;17.5;427.75
28.38;18.0;454.58
28.38;18.5;481.40
28.38;19.0;508.22
28.38;19.5;535.05
28.38;20.0;561.87
28.38;20.5;588.69
28.38;21.0;615.51
28.38;21.5;642.34
28.38;22.0;669.16
28.38;22.5;695.98
28.38;23.0;722.81
28.38;23.5;749.63
37.84;0.0;0.07
37.84;0.25;1.39
37.84;0.5;3.14
37.84;0.75;5.15
37.84;1.0;7.36
37.84;1.5;12.19
37.84;2.0;17.45
37.84;2.5;23.05
37.84;3.0;28.92
37.84;3.5;35.02
37.84;4.0;41.32
37.84;4.5;47.81
37.84;5.0;54.49
37.84;5.5;61.38
37.84;6.0;68.52
37.84;6.5;76.01
37.84;7.0;83.96
37.84;7.5;92.55
37.84;8.0;102.02
37.84;8.5;112.69
37.84;9.0;125.05
37.84;9.5;139.56
37.84;10.0;156.38
37.84;10.5;175.40
37.84;11.0;196.29
37.84;11.5;218.68
37.84;12.0;242.23
37.84;12.5;266.67
37.84;13.0;291.80
37.84;13.5;317.45
37.84;14.0;343.51
37.84;14.5;369.88
37.84;15.0;396.46
37.84;15.5;423.18
37.84;16.0;449.98
37.84;16.5;476.80
37.84;17.0;503.62
37.84;17.5;530.44
37.84;18.0;557.27
37.84;18.5;584.09
37.84;19.0;610.91
37.84;19.5;637.74
37.84;20.0;664.56
37.84;20.5;691.38
37.84;21.0;718.21
37.84;21.5;745.03
