Trim;T;TK;DISP;LCF;LCB;VCB;TPC;MCT;KMT
5.0;3.5;3.528;41117.7;177.96;158.535;2.069;129.2;2023.4;57.761
5.0;4.0;4.028;47675.9;178.51;161.233;2.320;133.0;2134.8;53.165
5.0;4.5;4.528;54407.3;179.11;163.410;2.576;136.3;2243.0;49.241
5.0;5.0;5.028;61298.7;179.57;165.201;2.835;139.4;2355.9;45.976
5.0;5.5;5.528;68345.4;179.92;166.705;3.097;142.4;2472.8;43.217
5.0;6.0;6.028;75538.1;180.28;167.976;3.361;145.4;2604.6;40.875
5.0;6.5;6.528;82876.4;180.15;169.061;3.628;148.1;2716.6;38.883
5.0;7.0;7.028;90347.7;179.85;169.966;3.896;150.8;2831.2;37.189
5.0;7.5;7.528;97951.0;179.38;170.717;4.166;153.4;2952.0;35.742
5.0;8.0;8.028;105687.3;178.77;171.329;4.438;156.1;3079.3;34.498
5.0;8.5;8.528;113556.9;178.04;171.821;4.713;158.7;3211.7;33.427
5.0;9.0;9.028;121560.9;177.20;172.203;4.988;161.4;3351.3;32.500
5.0;9.5;9.528;129701.1;176.21;172.487;5.266;164.2;3500.1;31.693
5.0;10.0;10.028;137983.4;175.04;172.675;5.546;167.1;3661.7;30.987
5.0;10.5;10.528;146409.7;173.68;172.773;5.828;170.1;3836.5;30.377
5.0;11.0;11.028;154984.2;172.35;172.786;6.112;172.9;4010.0;29.838
5.0;11.5;11.528;163698.7;171.07;172.727;6.398;175.6;4178.4;29.350
5.0;12.0;12.028;172548.7;169.67;172.607;6.686;178.4;4355.5;28.929
5.0;12.5;12.528;181534.4;168.28;172.427;6.974;181.1;4531.5;28.560
5.0;13.0;13.028;190643.8;167.32;172.202;7.264;183.2;4670.9;28.213
5.0;13.5;13.528;199843.5;166.80;171.965;7.553;184.8;4771.2;27.878
5.0;14.0;14.028;209114.6;166.51;171.728;7.841;186.1;4850.8;27.554
5.0;14.5;14.528;218443.6;166.37;171.502;8.127;187.1;4914.1;27.239
5.0;15.0;15.028;227819.8;166.34;171.290;8.412;188.0;4964.7;26.935
5.0;15.5;15.528;237234.6;166.40;171.094;8.696;188.7;5007.2;26.644
5.0;16.0;16.028;246687.4;166.64;170.918;8.978;189.5;5058.5;26.379
5.0;16.5;16.528;256177.1;166.94;170.765;9.258;190.2;5107.5;26.130
5.0;17.0;17.028;265701.4;167.30;170.635;9.537;190.8;5156.5;25.906
5.0;17.5;17.528;275259.5;167.70;170.526;9.815;191.5;5205.1;25.704
5.0;18.0;18.028;284850.4;168.13;170.438;10.091;192.2;5253.4;25.524
4.0;3.5;3.528;40757.7;179.45;163.355;1.996;129.6;2053.1;58.012
4.0;4.0;4.028;47327.6;180.07;165.636;2.253;133.3;2161.0;53.295
4.0;4.5;4.528;54071.6;180.67;167.474;2.514;136.5;2265.8;49.301
4.0;5.0;5.028;60974.8;181.18;169.002;2.777;139.6;2375.1;45.986
4.0;5.5;5.528;68026.5;181.72;170.285;3.042;142.6;2500.0;43.191
4.0;6.0;6.028;75224.3;181.75;171.382;3.309;145.3;2602.1;40.813
4.0;6.5;6.528;82551.8;181.63;172.298;3.577;147.8;2705.8;38.801
4.0;7.0;7.028;90006.2;181.36;173.061;3.847;150.4;2812.6;37.088
4.0;7.5;7.528;97586.3;180.97;173.691;4.118;152.9;2923.7;35.626
4.0;8.0;8.028;105292.3;180.42;174.205;4.390;155.4;3041.8;34.375
4.0;8.5;8.528;113126.1;179.75;174.612;4.664;158.0;3166.0;33.297
4.0;9.0;9.028;121088.4;178.96;174.924;4.940;160.5;3295.8;32.369
4.0;9.5;9.528;129180.5;178.08;175.150;5.217;163.2;3432.0;31.561
4.0;10.0;10.028;137404.1;177.04;175.295;5.495;165.8;3578.3;30.853
4.0;10.5;10.528;145764.8;175.83;175.360;5.776;168.6;3736.2;30.232
4.0;11.0;11.028;154264.6;174.44;175.349;6.058;171.5;3906.0;29.695
4.0;11.5;11.528;162906.3;173.08;175.264;6.342;174.2;4073.7;29.217
4.0;12.0;12.028;171682.0;171.76;175.118;6.628;176.8;4236.5;28.785
4.0;12.5;12.528;180587.4;170.34;174.918;6.915;179.4;4407.5;28.415
4.0;13.0;13.028;189623.1;168.94;174.666;7.203;182.0;4576.7;28.089
4.0;13.5;13.528;198778.3;167.93;174.376;7.491;184.1;4713.5;27.785
4.0;14.0;14.028;208020.8;167.38;174.076;7.779;185.6;4810.3;27.490
4.0;14.5;14.528;217331.6;167.04;173.781;8.067;186.8;4885.5;27.205
4.0;15.0;15.028;226697.0;166.88;173.498;8.353;187.8;4946.8;26.926
4.0;15.5;15.528;236111.6;166.97;173.236;8.637;188.8;5010.3;26.657
4.0;16.0;16.028;245570.8;167.17;172.998;8.920;189.6;5068.1;26.399
4.0;16.5;16.528;255070.4;167.45;172.786;9.202;190.4;5123.8;26.159
