Bay;Row;Tier;SubBay;FirstTier;MaxNbOfStdCont;OddSlot;MaxNb45;Min40sub45;NbReefer;MaxWeight;StackHeight;MaxNbHCAtMaxStack
01;00;0;0200;12;6;0;0;0;0;180;16.156;2
01;01;0;0200;14;5;0;0;0;0;150;13.565;2
01;02;0;0200;14;5;0;0;0;0;150;13.565;2
01;03;0;0210;16;4;0;0;0;0;120;10.974;2
01;04;0;0220;16;4;0;0;0;0;120;10.974;2
01;05;0;0210;18;3;0;0;0;0;90;8.383;2
01;06;0;0220;18;3;0;0;0;0;90;8.383;2
01;07;0;0210;20;2;0;0;0;0;60;5.792;2
01;08;0;0220;20;2;0;0;0;0;60;5.792;2
01;09;0;0210;20;2;0;0;0;0;60;6.097;3
01;10;0;0220;20;2;0;0;0;0;60;6.097;3
01;00;1;0201;72;7;0;0;0;0;90;18.137;0
01;01;1;0201;72;7;0;0;0;0;90;18.137;0
01;02;1;0201;72;7;0;0;0;0;90;18.137;0
01;03;1;0211;72;7;0;0;0;0;90;18.137;0
01;04;1;0221;72;7;0;0;0;0;90;18.137;0
01;05;1;0211;72;7;0;0;0;0;90;18.137;0
01;06;1;0221;72;7;0;0;0;0;90;18.137;0
01;07;1;0211;72;7;0;0;0;0;90;18.137;0
01;08;1;0221;72;7;0;0;0;0;90;18.137;0
01;09;1;0211;72;7;0;0;0;0;90;18.137;0
01;10;1;0221;72;7;0;0;0;0;90;18.137;0
01;11;1;0211;72;7;0;0;0;0;90;18.137;0
01;12;1;0221;72;7;0;0;0;0;90;18.137;0
01;13;1;0231;72;7;0;0;0;0;90;18.137;0
01;14;1;0241;72;7;0;0;0;0;90;18.137;0
01;15;1;0231;72;7;0;0;0;0;90;18.137;0
01;16;1;0241;72;7;0;0;0;0;90;18.137;0
01;17;1;0231;72;7;0;0;0;0;90;18.137;0
01;18;1;0241;72;7;0;0;0;0;90;18.137;0
03;00;0;0200;12;6;0;0;0;0;180;16.156;2
03;01;0;0200;12;6;1;0;0;0;180;16.156;2
03;02;0;0200;12;6;1;0;0;0;180;16.156;2
03;03;0;0210;14;5;1;0;0;0;150;13.565;2
03;04;0;0220;14;5;1;0;0;0;150;13.565;2
03;05;0;0210;16;4;1;0;0;0;120;10.974;2
03;06;0;0220;16;4;1;0;0;0;120;10.974;2
03;07;0;0210;18;3;1;0;0;0;90;8.383;2
03;08;0;0220;18;3;1;0;0;0;90;8.383;2
03;09;0;0210;18;3;1;0;0;0;90;8.688;3
03;10;0;0220;18;3;1;0;0;0;90;8.688;3
03;00;1;0201;72;7;0;0;0;0;90;18.137;0
03;01;1;0201;72;7;0;0;0;0;90;18.137;0
03;02;1;0201;72;7;0;0;0;0;90;18.137;0
03;03;1;0211;72;7;0;0;0;0;90;18.137;0
03;04;1;0221;72;7;0;0;0;0;90;18.137;0
03;05;1;0211;72;7;0;0;0;0;90;18.137;0
03;06;1;0221;72;7;0;0;0;0;90;18.137;0
03;07;1;0211;72;7;0;0;0;0;90;18.137;0
03;08;1;0221;72;7;0;0;0;0;90;18.137;0
03;09;1;0211;72;7;0;0;0;0;90;18.137;0
03;10;1;0221;72;7;0;0;0;0;90;18.137;0
03;11;1;0211;72;7;0;0;0;0;90;18.137;0
03;12;1;0221;72;7;0;0;0;0;90;18.137;0
03;13;1;0231;72;7;0;0;0;0;90;18.137;0
03;14;1;0241;72;7;0;0;0;0;90;18.137;0
03;15;1;0231;72;7;0;0;0;0;90;18.137;0
03;16;1;0241;72;7;0;0;0;0;90;18.137;0
03;17;1;0231;72;7;0;0;0;0;90;18.137;0
03;18;1;0241;72;7;0;0;0;0;90;18.137;0
03;19;1;0231;72;7;0;0;0;0;90;18.137;0
03;20;1;0241;72;7;0;0;0;0;90;18.137;0
05;00;0;0610;04;10;0;0;0;0;210;26.52;2
05;01;0;0610;04;10;0;0;0;0;210;26.52;2
05;02;0;0620;04;10;0;0;0;0;210;26.52;2
05;03;0;0610;08;8;0;0;0;0;210;21.338;2
05;04;0;0620;08;8;0;0;0;0;210;21.338;2
05;05;0;0610;12;6;0;0;0;0;180;16.156;2
05;06;0;0620;12;6;0;0;0;0;180;16.156;2
05;07;0;0610;14;5;0;0;0;0;150;13.565;2
05;08;0;0620;14;5;0;0;0;0;150;13.565;2
05;09;0;0630;16;4;0;0;0;0;120;10.974;2
05;10;0;0640;16;4;0;0;0;0;120;10.974;2
05;11;0;0630;18;3;0;0;0;0;90;8.383;2
05;12;0;0640;18;3;0;0;0;0;90;8.383;2
05;13;0;0630;18;3;0;0;0;0;90;8.383;2
05;14;0;0640;18;3;0;0;0;0;90;8.383;2
05;15;0;0630;20;2;0;0;0;0;60;6.097;3
05;16;0;0640;20;2;0;0;0;0;60;6.097;3
05;00;1;0611;72;7;0;0;0;0;90;19.052;3
05;01;1;0611;72;7;0;0;0;0;90;19.052;3
05;02;1;0621;72;7;0;0;0;0;90;19.052;3
05;03;1;0611;72;7;0;0;0;0;90;19.052;3
05;04;1;0621;72;7;0;0;0;0;90;19.052;3
05;05;1;0611;72;7;0;0;0;0;90;19.052;3
05;06;1;0621;72;7;0;0;0;0;90;19.052;3
05;07;1;0611;72;7;0;0;0;0;90;19.052;3
05;08;1;0621;72;7;0;0;0;0;90;19.052;3
05;09;1;0631;72;7;0;0;0;0;90;19.052;3
05;10;1;0641;72;7;0;0;0;0;90;19.052;3
05;11;1;0631;72;7;0;0;0;0;90;19.052;3
05;12;1;0641;72;7;0;0;0;0;90;19.052;3
05;13;1;0631;72;7;0;0;0;0;90;19.052;3
05;14;1;0641;72;7;0;0;0;0;90;19.052;3
05;15;1;0631;72;7;0;0;0;0;90;19.052;3
05;16;1;0641;72;7;0;0;0;0;90;19.052;3
05;17;1;0631;72;7;0;0;0;0;90;19.052;3
05;18;1;0641;72;7;0;0;0;0;90;19.052;3
05;19;1;0651;72;7;0;0;0;0;90;18.137;0
05;20;1;0661;72;7;0;0;0;0;90;18.137;0
07;00;0;0610;04;10;0;0;0;0;210;26.52;2
07;01;0;0610;04;10;0;0;0;0;210;26.52;2
07;02;0;0620;04;10;0;0;0;0;210;26.52;2
07;03;0;0610;06;9;1;0;0;0;210;23.929;2
07;04;0;0620;06;9;1;0;0;0;210;23.929;2
07;05;0;0610;10;7;1;0;0;0;210;18.747;2
07;06;0;0620;10;7;1;0;0;0;210;18.747;2
07;07;0;0610;12;6;1;0;0;0;180;16.156;2
07;08;0;0620;12;6;1;0;0;0;180;16.156;2
07;09;0;0630;14;5;1;0;0;0;150;13.565;2
07;10;0;0640;14;5;1;0;0;0;150;13.565;2
07;11;0;0630;16;4;1;0;0;0;120;10.974;2
07;12;0;0640;16;4;1;0;0;0;120;10.974;2
07;13;0;0630;18;3;0;0;0;0;90;8.383;2
07;14;0;0640;18;3;0;0;0;0;90;8.383;2
07;15;0;0630;18;3;1;0;0;0;90;8.688;3
07;16;0;0640;18;3;1;0;0;0;90;8.688;3
07;00;1;0611;72;7;0;0;0;2;90;19.052;3
07;01;1;0611;72;7;0;0;0;2;90;19.052;3
07;02;1;0621;72;7;0;0;0;2;90;19.052;3
07;03;1;0611;72;7;0;0;0;2;90;19.052;3
07;04;1;0621;72;7;0;0;0;2;90;19.052;3
07;05;1;0611;72;7;0;0;0;2;90;19.052;3
07;06;1;0621;72;7;0;0;0;2;90;19.052;3
07;07;1;0611;72;7;0;0;0;2;90;19.052;3
07;08;1;0621;72;7;0;0;0;2;90;19.052;3
07;09;1;0631;72;7;0;0;0;2;90;19.052;3
07;10;1;0641;72;7;0;0;0;2;90;19.052;3
07;11;1;0631;72;7;0;0;0;2;90;19.052;3
07;12;1;0641;72;7;0;0;0;2;90;19.052;3
07;13;1;0631;72;7;0;0;0;2;90;19.052;3
07;14;1;0641;72;7;0;0;0;2;90;19.052;3
07;15;1;0631;72;7;0;0;0;2;90;19.052;3
07;16;1;0641;72;7;0;0;0;2;90;19.052;3
07;17;1;0631;72;7;0;0;0;2;90;19.052;3
07;18;1;0641;72;7;0;0;0;2;90;19.052;3
07;19;1;0651;72;7;0;0;0;0;90;18.137;0
07;20;1;0661;72;7;0;0;0;0;90;18.137;0
09;00;0;1010;02;11;0;0;0;0;210;29.111;2
09;01;0;1010;02;11;0;0;0;0;210;29.111;2
09;02;0;1020;02;11;0;0;0;0;210;29.111;2
09;03;0;1010;04;10;0;0;0;0;210;26.52;2
09;04;0;1020;04;10;0;0;0;0;210;26.52;2
