subBay;bay;row;tier;20'or40';20'only;40'only;45';MaxNbHC;reefer;StkSize;40sub45;nbStacks;nbReeferStk;reeferNbFHC;maxWeight20;maxWeight40;L;T;V
0200;02;0;0;16;2;0;0;13;0;6;0;3;0;0;1020;540;355.70;0.00;
0201;02;0;1;21;0;0;15;18;0;7;2;3;0;0;540;420;355.70;0.00;
0210;02;1;0;11;4;0;0;9;0;3;0;4;0;0;780;450;355.70;-7.56;
0220;02;2;0;11;4;0;0;9;0;3;0;4;0;0;780;450;355.70;7.56;
0211;02;1;1;35;0;0;25;30;0;7;2;5;0;0;900;700;355.70;-10.01;
0221;02;2;1;35;0;0;25;30;0;7;2;5;0;0;900;700;355.70;10.01;
0231;02;3;1;21;6;0;13;18;0;7;2;4;0;0;630;420;355.70;-21.33;
0241;02;4;1;21;6;0;13;18;0;7;2;4;0;0;630;420;355.70;21.33;
0610;06;1;0;39;3;0;0;34;0;8;0;5;0;0;1980;1260;340.90;-5.06;
0620;06;2;0;29;3;0;0;25;0;8;0;4;0;0;1560;960;340.90;6.30;
0611;06;1;1;35;0;0;25;30;10;7;2;5;5;2;900;700;340.90;-5.06;
0621;06;2;1;28;0;0;20;24;8;7;2;4;4;2;720;560;340.90;6.30;
0630;06;3;0;12;3;0;0;9;0;4;0;4;0;0;810;450;340.90;-15.12;
0640;06;4;0;12;3;0;0;9;0;4;0;4;0;0;810;450;340.90;15.12;
0631;06;3;1;35;0;0;25;30;10;7;2;5;5;2;900;700;340.90;-17.62;
0641;06;4;1;35;0;0;25;30;10;7;2;5;5;2;900;700;340.90;17.62;
0651;06;5;1;7;0;0;3;6;0;7;2;1;0;0;180;140;340.90;-25.39;
0661;06;6;1;7;0;0;3;6;0;7;2;1;0;0;180;140;340.90;25.39;
1010;10;1;0;47;2;0;0;42;0;10;0;5;0;0;2100;1470;326.45;-5.06;
1020;10;2;0;36;2;0;0;32;0;10;0;4;0;0;1680;1140;326.45;6.30;
1011;10;1;1;35;0;0;20;30;15;7;3;5;5;3;900;700;326.45;-5.06;
1021;10;2;1;28;0;0;16;24;12;7;3;4;4;3;720;560;326.45;6.30;
1030;10;3;0;22;3;0;0;18;0;5;0;5;0;0;1410;750;326.45;-17.64;
1040;10;4;0;22;3;0;0;18;0;5;0;5;0;0;1410;750;326.45;17.64;
1031;10;3;1;42;0;0;22;36;14;7;3;6;5;3;1080;840;326.45;-18.86;
1041;10;4;1;42;0;0;22;36;14;7;3;6;5;3;1080;840;326.45;18.86;
1410;14;1;0;51;1;0;0;46;0;10;0;5;0;0;2100;1560;312.00;-5.06;
1420;14;2;0;40;1;0;0;36;0;10;0;4;0;0;1680;1230;312.00;6.30;
1411;14;1;1;40;0;0;25;35;15;8;3;5;5;3;900;700;312.00;-5.06;
1421;14;2;1;32;0;0;20;28;12;8;3;4;4;3;720;560;312.00;6.30;
1430;14;3;0;30;5;0;0;25;0;7;0;5;0;0;1830;1050;312.00;-17.64;
1440;14;4;0;30;5;0;0;25;0;7;0;5;0;0;1830;1050;312.00;17.64;
1431;14;3;1;48;0;0;28;42;14;8;3;6;5;3;1080;840;312.00;-18.86;
1441;14;4;1;48;0;0;28;42;14;8;3;6;5;3;1080;840;312.00;18.86;
1810;18;1;0;53;1;0;0;48;0;11;0;5;0;0;2100;1620;297.55;-5.06;
1820;18;2;0;42;1;0;0;38;0;11;0;4;0;0;1680;1290;297.55;6.30;
1811;18;1;1;40;0;0;25;35;15;8;3;5;5;3;900;700;297.55;-5.06;
1821;18;2;1;32;0;0;20;28;12;8;3;4;4;3;720;560;297.55;6.30;
1830;18;3;0;39;1;0;0;34;0;8;0;5;0;0;2040;1200;297.55;-17.64;
1840;18;4;0;39;1;0;0;34;0;8;0;5;0;0;2040;1200;297.55;17.64;
1831;18;3;1;48;0;0;28;42;14;8;3;6;5;3;1080;840;297.55;-18.86;
1841;18;4;1;48;0;0;28;42;14;8;3;6;5;3;1080;840;297.55;18.86;
2210;22;1;0;54;1;0;0;49;0;11;0;5;0;0;2100;1650;283.10;-5.06;
2220;22;2;0;43;1;0;0;39;0;11;0;4;0;0;1680;1320;283.10;6.30;
2211;22;1;1;40;5;0;25;35;15;9;3;5;5;3;900;700;283.10;-5.06;
2221;22;2;1;32;4;0;20;28;12;9;3;4;4;3;720;560;283.10;6.30;
2230;22;3;0;43;1;0;0;38;0;9;0;5;0;0;2100;1320;283.10;-18.86;
2240;22;4;0;43;1;0;0;38;0;9;0;5;0;0;2100;1320;283.10;18.86;
2231;22;3;1;48;5;0;28;42;14;9;3;6;5;3;1080;840;283.10;-18.86;
2241;22;4;1;48;5;0;28;42;14;9;3;6;5;3;1080;840;283.10;18.86;
2610;26;1;0;55;0;0;0;50;0;11;0;5;0;0;2100;1650;268.65;-5.06;
2620;26;2;0;44;0;0;0;40;0;11;0;4;0;0;1680;1320;268.65;6.30;
2611;26;1;1;45;0;0;30;40;15;9;3;5;5;3;900;700;268.65;-5.06;
2621;26;2;1;36;0;0;24;32;12;9;3;4;4;3;720;560;268.65;6.30;
2630;26;3;0;48;0;0;0;43;0;10;0;5;0;0;2100;1440;268.65;-18.86;
2640;26;4;0;48;0;0;0;43;0;10;0;5;0;0;2100;1440;268.65;18.86;
2631;26;3;1;53;0;0;32;47;14;9;3;6;5;3;1080;840;268.65;-18.86;
2641;26;4;1;53;0;0;32;47;14;9;3;6;5;3;1080;840;268.65;18.86;
3010;30;1;0;55;0;0;0;50;0;11;0;5;0;0;2100;1650;254.20;-5.06;
3020;30;2;0;44;0;0;0;40;0;11;0;4;0;0;1680;1320;254.20;6.30;
3011;30;1;1;45;0;0;30;40;15;9;3;5;5;3;900;700;254.20;-5.06;
3021;30;2;1;36;0;0;24;32;12;9;3;4;4;3;720;560;254.20;6.30;
3030;30;3;0;51;1;0;0;46;0;11;0;5;0;0;2100;1560;254.20;-18.86;
3040;30;4;0;51;1;0;0;46;0;11;0;5;0;0;2100;1560;254.20;18.86;
3031;30;3;1;53;0;0;32;47;14;9;3;6;5;3;1080;840;254.20;-18.86;
3041;30;4;1;53;0;0;32;47;14;9;3;6;5;3;1080;840;254.20;18.86;
3410;34;1;0;55;0;0;0;50;0;11;0;5;0;0;2100;1650;239.75;-5.06;
3420;34;2;0;44;0;0;0;40;0;11;0;4;0;0;1680;1320;239.75;6.30;
3411;34;1;1;45;5;0;30;40;15;10;3;5;5;3;900;700;239.75;-5.06;
3421;34;2;1;36;4;0;24;32;12;10;3;4;4;3;720;560;239.75;6.30;
3430;34;3;0;53;0;0;0;48;0;11;0;5;0;0;2100;1590;239.75;-18.86;
3440;34;4;0;53;0;0;0;48;0;11;0;5;0;0;2100;1590;239.75;18.86;
3431;34;3;1;53;4;0;32;47;14;10;3;6;5;3;1080;840;239.75;-18.86;
3441;34;4;1;53;4;0;32;47;14;10;3;6;5;3;1080;840;239.75;18.86;
3810;38;1;0;55;0;0;0;50;0;11;0;5;0;0;2100;1650;212.50;-5.06;
3820;38;2;0;44;0;0;0;40;0;11;0;4;0;0;1680;1320;212.50;6.30;
3811;38;1;1;55;0;0;40;50;15;11;3;5;5;3;900;700;212.50;-5.06;
3821;38;2;1;44;0;0;32;40;12;11;3;4;4;3;720;560;212.50;6.30;
3830;38;3;0;54;0;0;0;49;0;11;0;5;0;0;2100;1620;212.50;-18.86;
3840;38;4;0;54;0;0;0;49;0;11;0;5;0;0;2100;1620;212.50;18.86;
3831;38;3;1;62;0;0;43;55;14;11;3;6;5;3;1080;840;212.50;-18.86;
3841;38;4;1;62;0;0;43;55;14;11;3;6;5;3;1080;840;212.50;18.86;
4210;42;1;0;55;0;0;0;50;0;11;0;5;0;0;2100;1650;198.05;-5.06;
4220;42;2;0;44;0;0;0;40;0;11;0;4;0;0;1680;1320;198.05;6.30;
4211;42;1;1;55;0;0;40;50;15;11;3;5;5;3;900;700;198.05;-5.06;
4221;42;2;1;44;0;0;32;40;12;11;3;4;4;3;720;560;198.05;6.30;
