F.O OVERF.TK(P);126.7;52;60
0.000;0.0;85.561;5.556;0.001
0.100;3.4;85.560;6.128;0.052
0.200;7.5;85.560;6.404;0.106
0.300;11.9;85.560;6.618;0.160
0.400;16.8;85.560;6.797;0.215
0.500;21.9;85.560;6.959;0.270
0.600;27.3;85.562;7.098;0.325
0.700;32.7;85.568;7.215;0.380
0.800;38.4;85.578;7.316;0.434
0.900;44.1;85.590;7.407;0.488
1.000;50.0;85.601;7.490;0.542
1.100;55.9;85.612;7.562;0.596
1.200;61.8;85.620;7.622;0.649
1.300;67.7;85.627;7.671;0.702
1.400;73.6;85.633;7.713;0.754
1.500;79.3;85.630;7.741;0.803
1.600;84.9;85.628;7.765;0.853
1.700;90.6;85.626;7.787;0.903
1.800;96.3;85.624;7.806;0.953
1.900;101.9;85.622;7.823;1.002
2.000;107.6;85.621;7.838;1.052
2.100;113.2;85.619;7.851;1.102
2.200;118.9;85.618;7.864;1.152
2.300;120.8;85.585;7.855;1.169
2.400;122.4;85.555;7.847;1.185
2.500;123.8;85.528;7.841;1.199
2.600;124.9;85.505;7.835;1.211
2.700;125.7;85.487;7.831;1.221
2.800;126.3;85.474;7.828;1.228
2.900;126.7;85.467;7.827;1.232
2.975;126.7;85.465;7.826;1.233
