H.F.O SERV.TK(P);319.7;35;49
9.976;0.0;74.350;22.915;9.977
10.276;8.5;74.350;22.915;10.126
10.576;17.1;74.350;22.915;10.276
10.876;25.6;74.350;22.915;10.426
11.176;34.2;74.350;22.915;10.576
11.476;42.7;74.350;22.915;10.726
11.776;51.2;74.350;22.915;10.876
12.076;59.8;74.350;22.915;11.026
12.376;68.3;74.350;22.915;11.176
12.676;76.8;74.350;22.915;11.326
12.976;85.4;74.350;22.915;11.476
13.276;93.9;74.350;22.915;11.626
13.576;102.5;74.350;22.915;11.776
13.876;111.0;74.350;22.915;11.926
14.176;119.5;74.350;22.915;12.076
14.476;128.1;74.350;22.915;12.226
14.776;136.6;74.350;22.915;12.376
15.076;145.2;74.350;22.915;12.526
15.376;153.7;74.350;22.915;12.676
15.676;162.2;74.350;22.915;12.826
15.976;170.8;74.350;22.915;12.976
16.276;179.3;74.350;22.915;13.126
16.576;187.9;74.350;22.915;13.276
16.876;196.4;74.350;22.915;13.426
17.176;204.9;74.350;22.915;13.576
17.476;213.5;74.350;22.915;13.726
17.776;222.0;74.350;22.915;13.876
18.076;230.5;74.350;22.915;14.026
18.376;239.1;74.350;22.915;14.176
18.676;247.6;74.350;22.915;14.326
18.976;256.2;74.350;22.915;14.476
19.276;264.7;74.350;22.915;14.626
19.576;273.2;74.350;22.915;14.776
19.876;281.8;74.350;22.915;14.926
20.176;290.3;74.350;22.915;15.076
20.476;298.9;74.350;22.915;15.226
20.776;307.4;74.350;22.915;15.376
21.076;315.9;74.350;22.915;15.526
21.208;319.7;74.350;22.915;15.592
