M/E J.C.W.DRAIN TK(S);43.2;49;52
0.000;0.0;81.172;-4.849;0.001
0.100;1.2;81.167;-5.426;0.053
0.200;2.6;81.162;-5.672;0.106
0.300;4.1;81.158;-5.765;0.157
0.400;5.6;81.156;-5.809;0.208
0.500;7.0;81.155;-5.835;0.258
0.600;8.5;81.154;-5.851;0.308
0.700;10.0;81.153;-5.863;0.358
0.800;11.4;81.153;-5.872;0.409
0.900;12.9;81.153;-5.879;0.459
1.000;14.3;81.152;-5.885;0.509
1.100;15.8;81.152;-5.889;0.559
1.200;17.3;81.152;-5.893;0.609
1.300;18.7;81.152;-5.896;0.659
1.400;20.2;81.152;-5.898;0.709
1.500;21.7;81.152;-5.901;0.759
1.600;23.1;81.152;-5.903;0.809
1.700;24.6;81.152;-5.904;0.859
1.800;26.0;81.151;-5.906;0.909
1.900;27.5;81.151;-5.907;0.959
2.000;29.0;81.151;-5.909;1.009
2.100;30.4;81.151;-5.910;1.059
2.200;31.9;81.151;-5.911;1.109
2.300;33.4;81.151;-5.912;1.159
2.400;34.8;81.151;-5.913;1.209
2.500;36.3;81.151;-5.914;1.259
2.600;37.7;81.151;-5.914;1.309
2.700;39.2;81.151;-5.915;1.359
2.800;40.7;81.151;-5.916;1.409
2.900;42.1;81.151;-5.916;1.459
2.975;43.2;81.151;-5.917;1.497
