M.D.O. SERV.TK(P);336.0;26;30
9.976;0.0;58.450;13.883;9.977
10.026;6.5;58.450;13.883;10.001
10.076;13.0;58.450;13.883;10.026
10.126;19.4;58.450;13.883;10.051
10.176;25.9;58.450;13.883;10.076
10.226;32.4;58.450;13.883;10.101
10.276;38.9;58.450;13.883;10.126
10.326;45.4;58.450;13.883;10.151
10.376;51.9;58.450;13.883;10.176
10.426;58.3;58.450;13.883;10.201
10.476;64.8;58.450;13.883;10.226
10.526;71.3;58.450;13.883;10.251
10.576;77.8;58.450;13.883;10.276
10.626;84.3;58.450;13.883;10.301
10.676;90.7;58.450;13.882;10.326
10.726;97.2;58.450;13.882;10.351
10.776;103.7;58.450;13.882;10.376
10.826;110.2;58.450;13.882;10.401
10.876;116.7;58.450;13.882;10.426
10.926;123.2;58.450;13.882;10.451
10.976;129.6;58.450;13.882;10.476
11.026;136.1;58.450;13.882;10.501
11.076;142.6;58.450;13.882;10.526
11.126;149.1;58.450;13.883;10.551
11.176;155.6;58.450;13.882;10.576
11.226;162.0;58.450;13.883;10.601
11.276;168.5;58.450;13.882;10.626
11.326;175.0;58.450;13.883;10.651
11.376;181.5;58.450;13.882;10.676
11.426;188.0;58.450;13.882;10.701
11.476;194.4;58.450;13.882;10.726
11.526;200.9;58.450;13.882;10.751
11.576;207.4;58.450;13.882;10.776
11.626;213.9;58.450;13.882;10.801
11.676;220.4;58.450;13.882;10.826
11.726;226.9;58.450;13.882;10.851
11.776;233.3;58.450;13.882;10.876
11.826;239.8;58.450;13.882;10.901
11.876;246.3;58.450;13.882;10.926
11.926;252.8;58.450;13.882;10.951
11.976;259.3;58.450;13.882;10.976
12.026;265.7;58.450;13.882;11.001
12.076;272.2;58.450;13.882;11.026
12.126;278.7;58.450;13.882;11.051
12.176;285.2;58.450;13.882;11.076
12.226;291.7;58.450;13.882;11.101
12.276;298.2;58.450;13.882;11.126
12.326;304.6;58.450;13.882;11.151
12.376;311.1;58.450;13.882;11.176
12.426;317.6;58.450;13.883;11.201
12.476;324.1;58.450;13.882;11.226
12.526;330.6;58.450;13.882;11.251
12.568;336.0;58.450;13.882;11.272
