NO.1 UPP.VOID(P);1960.9;151;167
15.160;0.0;339.765;11.613;15.161
15.360;37.2;339.715;11.685;15.261
15.560;76.0;339.669;11.756;15.363
15.760;116.5;339.631;11.826;15.466
15.960;158.7;339.598;11.895;15.571
16.160;202.7;339.568;11.964;15.677
16.360;248.4;339.542;12.032;15.785
16.560;295.8;339.521;12.099;15.893
16.760;345.1;339.503;12.164;16.003
16.960;396.1;339.490;12.230;16.113
17.160;449.0;339.480;12.294;16.225
17.360;503.8;339.474;12.357;16.337
17.560;560.5;339.472;12.420;16.451
17.760;618.1;339.472;12.485;16.564
17.960;657.2;339.461;12.601;16.641
18.160;698.1;339.454;12.714;16.724
18.360;741.1;339.453;12.824;16.813
18.560;786.0;339.457;12.931;16.907
18.760;832.9;339.467;13.034;17.006
18.960;881.8;339.480;13.135;17.109
19.160;932.7;339.499;13.233;17.215
19.360;985.7;339.522;13.328;17.325
19.560;1040.7;339.549;13.419;17.438
19.760;1097.8;339.580;13.509;17.554
19.960;1156.9;339.615;13.596;17.672
20.160;1218.1;339.654;13.681;17.792
20.360;1279.4;339.697;13.762;17.910
20.560;1320.1;339.762;13.835;17.989
20.760;1363.0;339.831;13.909;18.073
20.960;1407.9;339.902;13.985;18.161
21.160;1454.9;339.977;14.061;18.255
21.360;1504.0;340.054;14.138;18.353
21.560;1555.1;340.133;14.216;18.455
21.760;1608.2;340.215;14.294;18.561
21.960;1663.4;340.298;14.372;18.671
22.160;1720.6;340.382;14.451;18.783
22.360;1779.7;340.468;14.529;18.899
22.560;1840.9;340.555;14.607;19.017
22.760;1903.9;340.643;14.685;19.138
22.936;1960.9;340.721;14.754;19.246
