NO.2 G/E L.O.STOR.TK(P);17.2;30;32
22.936;0.0;65.550;12.805;22.937
23.036;0.4;65.550;12.805;22.986
23.136;0.8;65.550;12.805;23.036
23.236;1.2;65.550;12.805;23.086
23.336;1.6;65.550;12.805;23.136
23.436;2.0;65.550;12.805;23.186
23.536;2.4;65.550;12.805;23.236
23.636;2.8;65.550;12.805;23.286
23.736;3.2;65.550;12.805;23.336
23.836;3.6;65.550;12.805;23.386
23.936;4.0;65.550;12.805;23.436
24.036;4.4;65.550;12.805;23.486
24.136;4.8;65.550;12.805;23.536
24.236;5.2;65.550;12.805;23.586
24.336;5.6;65.550;12.805;23.636
24.436;6.0;65.550;12.805;23.686
24.536;6.3;65.550;12.805;23.736
24.636;6.8;65.550;12.805;23.786
24.736;7.2;65.550;12.805;23.836
24.836;7.5;65.550;12.805;23.886
24.936;7.9;65.550;12.805;23.936
25.036;8.3;65.550;12.805;23.986
25.136;8.7;65.550;12.805;24.036
25.236;9.1;65.550;12.805;24.086
25.336;9.5;65.550;12.805;24.136
25.436;9.9;65.550;12.805;24.186
25.536;10.3;65.550;12.805;24.236
25.636;10.7;65.550;12.805;24.286
25.736;11.1;65.550;12.805;24.336
25.836;11.5;65.550;12.805;24.386
25.936;11.9;65.550;12.805;24.436
26.036;12.3;65.550;12.805;24.486
26.136;12.7;65.550;12.805;24.536
26.236;13.1;65.550;12.805;24.586
26.336;13.5;65.550;12.805;24.636
26.436;13.9;65.550;12.805;24.686
26.536;14.3;65.550;12.805;24.736
26.636;14.7;65.550;12.805;24.786
26.736;15.1;65.550;12.805;24.836
26.836;15.5;65.550;12.805;24.886
26.936;15.9;65.550;12.805;24.936
27.036;16.3;65.550;12.805;24.986
27.136;16.7;65.550;12.805;25.036
27.236;17.1;65.550;12.805;25.086
27.256;17.2;65.550;12.805;25.096
