NO.3 DB.W.B.TK(P);1910.0;122;136
0.000;0.0;249.820;8.797;0.001
0.100;39.7;250.642;9.286;0.051
0.200;84.0;250.923;9.528;0.104
0.300;131.0;251.109;9.716;0.156
0.400;180.3;251.253;9.874;0.209
0.500;231.6;251.369;10.014;0.263
0.600;284.5;251.467;10.141;0.316
0.700;338.8;251.552;10.256;0.370
0.800;394.7;251.628;10.366;0.424
0.900;451.7;251.695;10.467;0.478
1.000;510.1;251.756;10.564;0.532
1.100;569.5;251.812;10.656;0.586
1.200;630.0;251.864;10.743;0.640
1.300;691.6;251.911;10.827;0.694
1.400;754.2;251.956;10.908;0.749
1.500;817.6;251.998;10.986;0.803
1.600;882.0;252.037;11.061;0.858
1.700;947.3;252.074;11.133;0.912
1.800;1013.4;252.109;11.204;0.967
1.900;1080.3;252.143;11.272;1.022
2.000;1148.0;252.175;11.339;1.076
2.100;1216.5;252.205;11.404;1.131
2.200;1285.7;252.235;11.467;1.186
2.300;1302.6;252.262;11.563;1.200
2.400;1320.2;252.291;11.662;1.215
2.500;1338.6;252.321;11.763;1.232
2.600;1357.5;252.351;11.866;1.251
2.700;1377.1;252.383;11.971;1.270
2.800;1397.4;252.415;12.076;1.292
2.900;1418.2;252.448;12.183;1.315
3.000;1439.7;252.481;12.291;1.339
3.100;1461.7;252.515;12.399;1.365
3.200;1484.3;252.550;12.508;1.392
3.300;1507.4;252.584;12.617;1.421
3.400;1531.1;252.619;12.726;1.450
3.500;1555.3;252.655;12.835;1.482
3.600;1580.1;252.690;12.944;1.514
3.700;1605.3;252.726;13.052;1.548
3.800;1631.0;252.761;13.160;1.582
3.900;1657.1;252.797;13.268;1.618
4.000;1683.8;252.833;13.375;1.655
4.100;1710.9;252.868;13.481;1.693
4.200;1738.5;252.904;13.586;1.732
4.300;1766.4;252.940;13.690;1.772
4.400;1794.8;252.975;13.793;1.813
4.500;1823.6;253.010;13.895;1.854
4.600;1852.8;253.045;13.996;1.897
4.700;1882.4;253.080;14.096;1.940
4.792;1910.0;253.112;14.187;1.980
