NO.3 HOLD;56776.1;122;136
2.200;0.0;252.728;0.000;2.201
2.700;701.9;252.728;0.000;2.450
3.200;1403.9;252.728;0.000;2.700
3.700;2105.8;252.728;0.000;2.950
4.200;2807.7;252.728;0.000;3.200
4.700;3509.6;252.728;0.000;3.450
5.200;4367.9;252.794;0.000;3.746
5.700;5261.4;252.850;-0.000;4.036
6.200;6155.0;252.890;0.000;4.314
6.700;7048.5;252.919;0.000;4.584
7.200;7942.0;252.942;0.000;4.851
7.700;8882.1;252.999;0.000;5.126
8.200;9849.4;253.066;0.000;5.403
8.700;10816.6;253.121;-0.000;5.676
9.200;11783.8;253.167;0.000;5.945
9.700;12751.0;253.206;0.000;6.211
10.200;13735.0;253.257;0.000;6.479
10.700;14739.5;253.321;0.000;6.749
11.200;15744.0;253.377;0.000;7.017
11.700;16748.5;253.426;0.000;7.283
12.200;17753.0;253.470;0.000;7.547
12.700;18757.5;253.509;0.000;7.810
13.200;19762.0;253.544;0.000;8.071
13.700;20766.5;253.576;0.000;8.331
14.200;21771.0;253.605;0.000;8.590
14.700;22775.5;253.631;0.000;8.849
15.200;23780.0;253.655;-0.000;9.107
15.700;24784.6;253.677;-0.000;9.364
16.200;25789.1;253.698;0.000;9.620
16.700;26793.6;253.716;0.000;9.876
17.200;27798.1;253.734;0.000;10.132
17.700;28802.6;253.750;-0.000;10.387
18.200;29807.1;253.765;-0.000;10.642
18.700;30811.6;253.779;-0.000;10.897
19.200;31816.1;253.793;-0.000;11.151
19.700;32820.6;253.805;-0.000;11.405
20.200;33825.1;253.817;0.000;11.659
20.700;34829.6;253.828;-0.000;11.912
21.200;35834.1;253.838;0.000;12.166
21.700;36838.6;253.848;0.000;12.419
22.200;37843.1;253.858;0.000;12.672
22.700;38847.7;253.866;0.000;12.925
23.200;39852.2;253.875;0.000;13.177
23.700;40856.7;253.883;0.000;13.430
24.200;41861.2;253.890;0.000;13.682
24.700;42865.7;253.898;0.000;13.935
25.200;43870.2;253.905;0.000;14.187
25.700;44874.7;253.911;0.000;14.439
26.200;45879.2;253.918;0.000;14.691
26.700;46883.7;253.924;0.000;14.943
27.200;47888.2;253.929;0.000;15.195
27.700;48892.7;253.935;0.000;15.447
28.200;49897.2;253.940;0.000;15.698
28.700;50901.7;253.945;0.000;15.950
29.200;51906.3;253.950;0.000;16.201
29.700;52910.8;253.955;0.000;16.453
30.200;53910.4;253.960;0.000;16.703
30.700;54854.7;253.964;0.000;16.940
31.200;55769.7;253.968;0.000;17.170
31.700;56684.6;253.971;0.000;17.400
31.750;56776.1;253.972;0.000;17.423
