NO.4F DB.W.B.TK(S);845.4;105;122
0.000;0.0;225.924;-11.479;0.001
0.100;22.7;225.943;-11.858;0.051
0.200;46.4;225.952;-12.043;0.102
0.300;70.8;225.958;-12.184;0.153
0.400;95.7;225.964;-12.302;0.204
0.500;121.2;225.968;-12.407;0.256
0.600;147.0;225.973;-12.500;0.307
0.700;173.1;225.976;-12.585;0.359
0.800;199.7;225.980;-12.665;0.411
0.900;226.5;225.983;-12.740;0.463
1.000;253.7;225.986;-12.811;0.515
1.100;281.1;225.989;-12.877;0.568
1.200;308.8;225.992;-12.941;0.620
1.300;336.7;225.995;-13.001;0.672
1.400;364.9;225.997;-13.059;0.724
1.500;393.3;226.000;-13.115;0.777
1.600;421.9;226.002;-13.169;0.829
1.700;450.8;226.004;-13.220;0.882
1.800;479.8;226.007;-13.270;0.934
1.900;509.0;226.009;-13.319;0.987
2.000;538.4;226.011;-13.366;1.039
2.100;568.0;226.013;-13.411;1.092
2.200;597.7;226.015;-13.455;1.145
2.300;605.8;226.013;-13.568;1.159
2.400;614.1;226.011;-13.681;1.175
2.500;622.5;226.010;-13.793;1.193
2.600;631.0;226.009;-13.905;1.211
2.700;639.7;226.007;-14.017;1.231
2.800;648.5;226.006;-14.127;1.251
2.900;657.4;226.006;-14.237;1.273
3.000;666.5;226.005;-14.346;1.296
3.100;675.7;226.004;-14.455;1.320
3.200;685.0;226.004;-14.562;1.345
3.300;694.4;226.003;-14.667;1.370
3.400;703.9;226.003;-14.772;1.397
3.500;713.6;226.003;-14.876;1.425
3.600;723.3;226.003;-14.978;1.453
3.700;733.1;226.003;-15.079;1.483
3.800;743.0;226.003;-15.178;1.513
3.900;753.0;226.003;-15.277;1.544
4.000;763.1;226.003;-15.373;1.576
4.100;773.3;226.003;-15.469;1.608
4.200;783.5;226.003;-15.563;1.642
4.300;793.8;226.004;-15.655;1.675
4.400;804.2;226.004;-15.746;1.710
4.500;814.6;226.004;-15.835;1.745
4.600;825.1;226.005;-15.923;1.781
4.700;835.6;226.005;-16.009;1.817
4.792;845.4;226.006;-16.087;1.851
