NO.4F W.W.B.TK(S);528.0;107;122
4.792;0.0;226.733;-25.331;4.793
5.292;14.9;226.765;-25.370;5.045
5.792;30.7;226.792;-25.403;5.301
6.292;47.1;226.818;-25.428;5.559
6.792;63.7;226.841;-25.446;5.815
7.292;80.3;226.858;-25.458;6.070
7.792;97.0;226.869;-25.465;6.323
8.292;113.7;226.877;-25.471;6.575
8.792;130.4;226.883;-25.475;6.827
9.292;147.0;226.888;-25.478;7.078
9.792;163.7;226.892;-25.480;7.329
10.292;180.4;226.895;-25.483;7.580
10.792;197.1;226.898;-25.484;7.830
11.292;213.8;226.900;-25.486;8.081
11.792;230.4;226.902;-25.487;8.332
12.292;247.1;226.903;-25.488;8.582
12.792;263.8;226.905;-25.489;8.832
13.292;280.5;226.906;-25.490;9.083
13.792;297.1;226.907;-25.490;9.333
14.292;313.8;226.908;-25.491;9.583
14.792;330.5;226.909;-25.492;9.833
15.292;347.2;226.909;-25.492;10.084
15.792;363.9;226.910;-25.493;10.334
16.292;380.5;226.911;-25.493;10.584
16.792;397.2;226.911;-25.493;10.834
17.292;413.9;226.912;-25.494;11.084
17.792;430.0;226.917;-25.494;11.326
18.292;439.5;226.978;-25.494;11.471
18.792;449.0;227.036;-25.494;11.621
19.292;458.6;227.092;-25.495;11.775
19.792;468.1;227.146;-25.495;11.933
20.292;477.6;227.197;-25.495;12.095
20.792;487.1;227.247;-25.495;12.260
21.292;496.7;227.294;-25.495;12.429
21.792;506.2;227.340;-25.495;12.600
22.292;515.7;227.384;-25.496;12.774
22.792;525.2;227.426;-25.496;12.951
22.936;528.0;227.438;-25.496;13.003
