NO.6 DB.W.B.TK(S);2453.2;60;75
0.000;0.0;114.647;-9.328;0.001
0.200;95.8;113.910;-10.045;0.103
0.400;203.9;113.637;-10.382;0.208
0.600;320.3;113.439;-10.647;0.315
0.800;443.2;113.278;-10.872;0.422
1.000;572.0;113.138;-11.073;0.530
1.200;705.9;113.016;-11.257;0.638
1.400;844.5;112.907;-11.428;0.747
1.600;987.4;112.807;-11.587;0.856
1.800;1134.3;112.716;-11.736;0.965
2.000;1284.9;112.630;-11.878;1.075
2.200;1438.9;112.551;-12.012;1.185
2.400;1470.8;112.464;-12.187;1.209
2.600;1505.7;112.369;-12.374;1.239
2.800;1543.4;112.269;-12.571;1.274
3.000;1583.8;112.164;-12.775;1.316
3.200;1626.7;112.055;-12.984;1.363
3.400;1672.0;111.944;-13.196;1.415
3.600;1719.4;111.831;-13.411;1.473
3.800;1768.9;111.717;-13.626;1.535
4.000;1820.4;111.602;-13.840;1.602
4.200;1873.7;111.488;-14.052;1.673
4.400;1928.6;111.375;-14.261;1.748
4.600;1985.1;111.263;-14.466;1.826
4.800;2041.6;111.156;-14.664;1.906
5.000;2068.3;111.101;-14.779;1.945
5.200;2096.2;111.043;-14.896;1.987
5.400;2125.2;110.984;-15.016;2.032
5.600;2155.2;110.923;-15.138;2.080
5.800;2186.0;110.861;-15.260;2.131
6.000;2217.7;110.798;-15.383;2.185
6.200;2250.1;110.734;-15.506;2.241
6.400;2283.2;110.670;-15.628;2.300
6.600;2316.9;110.604;-15.749;2.361
6.800;2351.0;110.539;-15.869;2.424
7.000;2385.7;110.473;-15.988;2.489
7.200;2420.7;110.407;-16.104;2.556
7.384;2453.2;110.346;-16.210;2.619
