WASTE OIL TK;187.1;25;27
0.000;0.0;51.121;0.000;0.001
0.100;3.0;51.393;0.000;0.054
0.200;6.8;51.453;0.000;0.109
0.300;11.1;51.486;0.000;0.164
0.400;15.8;51.509;0.000;0.219
0.500;20.8;51.527;0.000;0.275
0.600;26.0;51.541;0.000;0.331
0.700;31.5;51.552;0.000;0.386
0.800;37.2;51.563;0.000;0.442
0.900;43.1;51.571;0.000;0.498
1.000;49.2;51.579;0.000;0.554
1.100;55.5;51.586;0.000;0.610
1.200;61.9;51.592;0.000;0.666
1.300;68.5;51.598;0.000;0.722
1.400;75.2;51.603;0.000;0.778
1.500;81.5;51.605;0.000;0.830
1.600;88.0;51.607;0.000;0.883
1.700;94.6;51.609;0.000;0.937
1.800;101.3;51.611;0.000;0.991
1.900;108.2;51.614;0.000;1.045
2.000;115.1;51.616;0.000;1.100
2.100;122.2;51.618;0.000;1.155
2.200;129.4;51.621;0.000;1.210
2.300;136.7;51.623;0.000;1.266
2.400;144.1;51.625;0.000;1.321
2.500;151.6;51.628;0.000;1.377
2.600;159.2;51.630;0.000;1.433
2.700;166.9;51.632;0.000;1.490
2.800;174.7;51.634;0.000;1.546
2.900;182.1;51.643;0.000;1.599
2.975;187.1;51.655;0.000;1.634
