Avg Speed STW,Mean Draft (m),Conso ME HSFO,INTRO_MULTIQUADRATIC,INTRP_QUINTIC,INTRP_THIN_PLATE,9454450_PROD_Conso,9454450_PREPROD_Conso,9454448_PROD_Conso,9454436_PROD_Conso,9454436_PREPROD_Conso,9454448_PREPROD_Conso
11.3,13.24,19.2,40.33,31.05,39.98,36.67,36.67,33.92,33.58,33.58,33.92
11.8,12.75,22.2,42.52,41.07,42.46,40.8,40.8,37.73,37.36,37.36,37.73
11.3,11.85,26.2,43.31,42.31,43.11,35.43,35.43,32.77,32.44,32.44,32.77
12.3,10.17,27.4,56.04,56.44,55.66,42.61,42.61,39.41,39.02,39.02,39.41
13.4,15.35,29.3,60.16,53.63,57.69,61.18,61.18,56.59,56.02,56.02,56.59
12.3,11.66,29.9,46.66,47.11,46.54,44.45,44.45,41.11,40.71,40.71,41.11
12.5,11,32.3,49.72,49.2,49.66,45.62,45.62,42.2,41.78,41.78,42.2
11.4,13.12,33.3,40.03,32.52,39.86,37.46,37.46,34.64,34.3,34.3,34.64
11.8,11.74,35.3,45.62,46.05,45.45,39.77,39.77,36.78,36.42,36.42,36.78
13,11.66,35.4,51.09,49.97,51.09,51.71,51.71,47.83,47.36,47.36,47.83
10.6,11.9,36.3,44.26,41.59,43.15,29.78,29.78,27.55,27.27,27.27,27.55
11.3,11.85,36.3,43.31,42.31,43.11,35.43,35.43,32.77,32.44,32.44,32.77
11.5,13.13,36.3,40.21,33.61,40.12,38.37,38.37,35.49,35.14,35.14,35.49
12,14.6,36.7,49.06,44.56,48.27,44.55,44.55,41.2,40.79,40.79,41.2
10.9,11.97,37.3,42.82,40.04,42.39,32.2,32.2,29.79,29.49,29.49,29.79
11.7,12.46,37.3,43.26,42.18,43.14,39.57,39.57,36.6,36.24,36.24,36.6
12.7,11.78,38,48.57,48.43,48.51,48.67,48.67,45.02,44.57,44.57,45.02
12.9,12,38.3,50.98,50.7,50.88,51.09,51.09,47.25,46.78,46.78,47.25
12.9,11.79,38.7,50.15,49.52,50.05,50.81,50.81,46.99,46.53,46.53,46.99
12.4,11.8,39,47.5,47.83,47.35,45.61,45.61,42.19,41.77,41.77,42.19
12.9,11.78,39,50.12,49.47,50.03,50.79,50.79,46.98,46.51,46.51,46.98
12.9,11.75,39.1,50.06,49.36,49.99,50.75,50.75,46.95,46.48,46.48,46.95
12.8,11.75,40.2,49.18,48.75,49.11,49.69,49.69,45.96,45.5,45.5,45.96
12,11.26,40.4,46.71,47.03,46.6,41.1,41.1,38.02,37.64,37.64,38.02
11.4,11.74,41.4,43.98,43.51,43.82,36.19,36.19,33.47,33.14,33.14,33.47
12.3,11.4,41.4,46.54,46.77,46.53,44.14,44.14,40.83,40.42,40.42,40.83
12.3,11.34,41.4,46.72,46.87,46.72,44.07,44.07,40.76,40.36,40.36,40.76
12,11.2,42.4,47.04,47.27,46.92,41.03,41.03,37.95,37.58,37.58,37.95
12.2,11.33,42.4,46.57,46.85,46.53,43.08,43.08,39.85,39.45,39.45,39.85
12.3,12.75,42.4,47.62,49.06,47.53,45.7,45.7,42.27,41.85,41.85,42.27
13.7,11.76,42.4,61.59,60.76,61.62,59.85,59.85,55.36,54.8,54.8,55.36
13.2,11.78,43,53.64,52.31,53.64,54.09,54.09,50.03,49.53,49.53,50.03
10.4,11.92,43.4,45.63,43.93,43.88,28.29,28.29,26.16,25.9,25.9,26.16
11.5,11.89,43.4,44.08,43.67,44,37.21,37.21,34.42,34.07,34.07,34.42
11.5,11.3,43.4,45.9,45.66,45.55,36.63,36.63,33.88,33.54,33.54,33.88
12,15.45,43.6,55.05,51.76,51.56,45.33,45.33,41.93,41.51,41.51,41.93
10,11.1,44.2,50.24,47.62,44.77,24.86,24.86,22.99,22.76,22.76,22.99
12.8,12.26,44.3,51.56,52.14,51.36,50.34,50.34,46.57,46.1,46.1,46.57
13.1,12.25,44.3,54.3,53.97,54.21,53.62,53.62,49.6,49.11,49.11,49.6
13.4,12.25,44.3,57.65,56.71,57.69,57.05,57.05,52.77,52.24,52.24,52.77
11.5,11.21,44.4,46.4,46.04,45.96,36.54,36.54,33.79,33.46,33.46,33.79
12.7,11.95,44.4,49.34,49.44,49.22,48.89,48.89,45.22,44.77,44.77,45.22
12.7,11.25,44.4,49.35,48.4,49.4,47.98,47.98,44.38,43.94,43.94,44.38
11.4,14.6,44.9,49.12,41.08,47.45,38.72,38.72,35.81,35.45,35.45,35.81
12.8,12.25,45.3,51.51,52.06,51.31,50.33,50.33,46.55,46.09,46.09,46.55
12.7,11.59,45.4,48.27,47.79,48.32,48.42,48.42,44.79,44.35,44.35,44.79
12.8,11.3,45.4,50.02,48.86,50.07,49.09,49.09,45.4,44.95,44.95,45.4
13.6,12.7,45.4,62.15,62.97,62.3,60.07,60.07,55.57,55.01,55.01,55.57
11.8,11.06,45.7,47.8,47.78,47.5,39.04,39.04,36.11,35.75,35.75,36.11
13,12.24,46.2,53.19,53.17,53.05,52.5,52.5,48.56,48.07,48.07,48.56
12.3,11.3,46.4,46.88,46.97,46.88,44.02,44.02,40.72,40.31,40.31,40.72
12.4,11.96,46.4,48.43,48.71,48.25,45.8,45.8,42.37,41.95,41.95,42.37
12.6,12.82,46.4,50.74,53.28,50.73,48.89,48.89,45.22,44.77,44.77,45.22
12.7,11.25,46.4,49.35,48.4,49.4,47.98,47.98,44.38,43.94,43.94,44.38
12.7,11.4,46.5,48.64,47.83,48.72,48.18,48.18,44.56,44.12,44.12,44.56
13.4,11.79,46.8,56.44,55.1,56.43,56.37,56.37,52.14,51.63,51.63,52.14
11.9,15.45,47.1,55.18,52.57,51.56,44.31,44.31,40.98,40.58,40.58,40.98
12,11.78,47.1,46.39,46.92,46.21,41.68,41.68,38.55,38.17,38.17,38.55
12.9,12.25,47.1,52.29,52.62,52.12,51.41,51.41,47.56,47.08,47.08,47.56
11.3,11.74,47.7,43.64,42.82,43.44,35.33,35.33,32.68,32.35,32.35,32.68
14,10.25,48.2,72.42,74.68,72.86,60.85,60.85,56.29,55.73,55.73,56.29
15.5,12.8,48.2,84.25,82.81,84.41,86.11,86.11,79.64,78.85,78.85,79.64
15.3,12.52,48.4,81.97,81.78,82.18,82.53,82.53,76.34,75.58,75.58,76.34
15.4,12.12,48.4,83.51,83.97,83.46,83.18,83.18,76.94,76.17,76.17,76.94
13,11.2,48.5,52.96,51.54,52.95,51.07,51.07,47.24,46.77,46.77,47.24
13.2,11.79,49,53.65,52.33,53.65,54.1,54.1,50.04,49.55,49.55,50.04
11.7,12.24,49.2,44.38,43.84,44.22,39.36,39.36,36.4,36.04,36.04,36.4
