Subbay;LoadPort;DischPort;Size;cType;cWeight;Height;cDG;AvgWeightInSubbay;QuantityInSubbay;WeightInSubbay;Overstow;OverstowPod;QuantityOverstow;WeightOverstow;SourcesOverstow
;SGSIN;NLRTM2;20;GP;H;;;30.665;55;1686.6;;;;;
;SGSIN;NLRTM2;20;GP;L;;;9.773;15;146.6;;;;;
;SGSIN;FRLEH;20;GP;H;;;37.388;121;4524.0;;;;;
;SGSIN;FRLEH;20;GP;L;;;9.933;42;417.2;;;;;
;SGSIN;PLGDN2;20;GP;H;;;27.000;18;486.0;;;;;
;SGSIN;PLGDN2;20;GP;L;;;10.000;2;20.0;;;;;
;SGSIN;DEHAM2;20;GP;H;;4.1;13.200;1;13.2;;;;;
;SGSIN;NLRTM2;20;GP;H;;9;23.525;4;94.1;;;;;
;SGSIN;DEHAM2;20;GP;L;;;9.892;48;474.8;;;;;
;SGSIN;DEHAM2;20;GP;H;;;32.427;182;5901.7;;;;;
;SGSIN;FRLEH;20;GP;H;;8;29.075;4;116.3;;;;;
;SGSIN;MAPTM;20;GP;H;;;30.458;80;2436.6;;;;;
;SGSIN;FRLEH;20;GP;L;;9;9.700;3;29.1;;;;;
;SGSIN;FRLEH;20;GP;H;;9;29.767;3;89.3;;;;;
;SGSIN;NLRTM2;20;GP;H;;4.2;24.767;3;74.3;;;;;
;SGSIN;MAPTM;20;GP;H;;6.1;27.408;12;328.9;;;;;
;SGSIN;DEHAM2;20;GP;H;;4.3;66.967;3;200.9;;;;;
;SGSIN;ESALG;20;GP;L;;;8.633;3;25.9;;;;;
;SGSIN;ESALG;20;GP;H;;;29.900;2;59.8;;;;;
;SGSIN;DEHAM2;20;GP;H;;8;24.867;3;74.6;;;;;
;SGSIN;DEHAM2;20;GP;H;;9;35.633;3;106.9;;;;;
;SGSIN;NLRTM2;20;GP;H;;4.3;29.381;63;1851.0;;;;;
;SGSIN;NLRTM2;20;GP;H;;8;31.262;13;406.4;;;;;
