Container;LoadPort;DischPort;Size;cType;cWeight;Height;cDG;Empty;Revenue
FFAU4995945;CNNGB;SGSIN;40;GP;H;HC;;;136.15
TXGU7420301;CNNGB;SGSIN;40;GP;H;HC;;;136.15
SEKU4520766;CNNGB;SGSIN;40;GP;H;HC;;;136.15
FCIU8236250;CNNGB;SGSIN;40;GP;H;HC;;;136.15
SEGU4107824;CNNGB;SGSIN;40;GP;H;HC;;;136.15
OOCU8897729;CNNGB;SGSIN;40;GP;H;HC;;;136.15
TIIU5725397;CNNGB;SGSIN;40;GP;H;HC;;;136.15
CMAU7645500;CNNGB;SGSIN;40;GP;H;HC;;;136.15
TCNU5459045;CNNGB;SGSIN;40;GP;H;HC;;;136.15
BEAU4147173;CNNGB;SGSIN;40;GP;H;HC;;;136.15
TCNU3488321;CNNGB;SGSIN;40;GP;H;HC;;;136.15
SEGU4943125;CNNGB;SGSIN;40;GP;H;HC;;;136.15
CSNU7504235;CNNGB;SGSIN;40;GP;H;HC;;;136.15
OOCU8809749;CNNGB;SGSIN;40;GP;H;HC;;;136.15
BEAU4775884;CNNGB;SGSIN;40;GP;H;HC;;;136.15
CMAU3468258;CNNGB;SGSIN;40;GP;H;HC;;;136.15
BMOU5654855;CNNGB;SGSIN;40;GP;H;HC;;;136.15
TCNU3456366;CNNGB;SGSIN;40;GP;H;HC;;;136.15
CMAU4202067;CNNGB;SGSIN;40;GP;H;HC;;;136.15
TGBU5832884;CNNGB;SGSIN;40;GP;H;HC;;;136.15
TLLU4438840;CNNGB;SGSIN;40;GP;H;HC;;;136.15
CSNU8372560;CNNGB;SGSIN;40;GP;H;HC;;;136.15
TIIU4937766;CNNGB;SGSIN;40;GP;H;HC;;;136.15
TCNU2604540;CNNGB;SGSIN;40;GP;H;HC;;;136.15
CMAU3737927;CNNGB;SGSIN;40;GP;H;HC;;;136.15
CMAU4587293;CNNGB;SGSIN;40;GP;H;HC;;;136.15
OOCU7682984;CNNGB;SGSIN;40;GP;H;HC;;;136.15
