ContId;LoadPort;DischPort;Type;Setting;Size;Height;Weight;Slot;DG_Class
FFAU4995945;CNNGB;SGSIN;4510;;40;HC;6.259;100472;
TXGU7420301;CNNGB;SGSIN;4510;;40;HC;18.728;100872;
TCKU4370093;CNNGB;SGSIN;4310;;40;;12.049;100976;
CMAU7645500;CNNGB;SGSIN;4510;;40;HC;17.702;101272;
BEAU4775884;CNNGB;SGSIN;4510;;40;HC;23.24;820118;
BMOU5654855;CNNGB;SGSIN;4510;;40;HC;9.795;101176;
CMAU3468258;CNNGB;SGSIN;4510;;40;HC;22.14;820018;
SEKU4520766;CNNGB;SGSIN;4510;;40;HC;19.77;100672;
SEGU6253983;CNNGB;SGSIN;4510;;40;HC;12.07;100678;
TCKU7904422;CNNGB;SGSIN;4510;;40;HC;16.25;100674;
TCNU3456366;CNNGB;SGSIN;4510;;40;HC;21.44;100972;
FFAU4501488;CNNGB;SGSIN;4510;;40;HC;19.1;101072;
CMAU4202067;CNNGB;SGSIN;4510;;40;HC;17.81;100974;
FCIU8236250;CNNGB;SGSIN;4510;;40;HC;16.718;100874;
TCNU5459045;CNNGB;SGSIN;4510;;40;HC;8.674;101078;
TGBU5832884;CNNGB;SGSIN;4510;;40;HC;20.96;101172;
SEGU4107824;CNNGB;SGSIN;4510;;40;HC;12.91;100876;
BEAU4147173;CNNGB;SGSIN;4510;;40;HC;14.97;101074;
TCNU5855350;CNYTN;MAPTM;45G1;;40;HC;32.3;140916;
TCNU1640219;CNYTN;DEHAM;45G1;;40;HC;9.03;621484;
CMAU0625055;CNYTN;FRLEH;22G1;;20;;4.06;310384;
CMAU9508487;CNYTN;DEHAM;45G1;;40;HC;13.163;220118;
CMAU4572930;CNYTN;MAPTM;45G1;;40;HC;20.18;141578;
ECMU4903223;CNYTN;PLGDN;45G1;;40;HC;16.0;140076;
CMAU8549183;CNYTN;FRLEH;45G1;;40;HC;10.903;540082;
DRYU4507465;CNSHA;MAPTM;9500;;45;HC;31.58;901880;
SEGU4065740;CNYTN;NLRTM;45G1;;40;HC;13.31;660976;
TCNU7316850;CNYTN;SGSIN;45G1;;40;HC;8.218;101876;
TGHU6160549;CNYTN;NLRTM;45G1;;40;HC;26.7;661012;
ECMU4900517;CNYTN;NLRTM;45G1;;40;HC;9.985;661518;
SEKU5492946;CNYTN;PLGDN;45G1;;40;HC;15.352;540702;
TLLU8540470;CNYTN;FRLEH;45G1;;40;HC;14.741;380014;
HWLU2007762;CNYTN;SGSIN;25SG;;20;HC;24.265;170772;9
ECMU4915420;CNYTN;NLRTM;45G1;;40;HC;27.952;661810;
TLLU4649714;CNYTN;DEHAM;45G1;;40;HC;14.088;460612;
CERU5002852;CNYTN;PLGDN;20UD;E;20;;4.2;150380;
TCLU6315600;CNYTN;NLRTM;45G1;;40;HC;9.08;661380;
TRHU2265271;CNYTN;MAPTM;22G1;;20;;25.18;151518;
CMAU4968427;CNYTN;DEHAM;45G1;;40;HC;8.91;460312;
GESU6870682;CNYTN;NLRTM;45G1;;40;HC;14.128;662074;
ECMU4921422;CNYTN;DEHAM;45G1;;40;HC;24.43;581174;
ECMU4925602;CNYTN;NLRTM;45G1;;40;HC;6.546;661016;
ECMU4914275;CNYTN;FRLEH;45G1;;40;HC;7.722;861884;
APZU4785400;CNYTN;MAPTM;42G1;;40;;6.028;300782;
CXDU2389079;CNYTN;PLGDN;45G1;;40;HC;7.884;540520;
CMAU6296975;CNYTN;SGSIN;45G1;;40;HC;11.919;020280;
ECMU4923699;CNYTN;FRLEH;45G1;;40;HC;9.978;540584;
ECMU4923750;CNYTN;PLGDN;45G1;;40;HC;10.017;540518;
SEKU5741294;CNYTN;SGSIN;45G1;;40;HC;31.996;820318;
CINU9617122;CNYTN;FRLEH;42G1;;40;;7.248;860218;
ECMU4899611;CNYTN;DEHAM;45G1;;40;HC;12.043;460180;
BEAU5949358;CNYTN;NLRTM;45G1;;40;HC;11.761;661308;
CMAU8779376;CNYTN;NLRTM;45G1;;40;HC;9.926;661420;
CMAU4453709;CNYTN;NLRTM;45G1;;40;HC;14.158;661874;
ECMU4923826;CNYTN;DEHAM;45G1;;40;HC;11.352;460318;
TCLU2673035;CNYTN;FRLEH;22G1;;20;;5.54;390518;
CMAU0511622;CNYTN;DEHAM;22G1;;20;;12.578;210512;
TCLU4444948;CNYTN;DEHAM;4310;;40;;27.15;061974;9
APHU6740470;CNYTN;MAPTM;45G1;;40;HC;19.86;141274;
TLLU4357538;CNYTN;MAPTM;45G1;;40;HC;32.375;141372;
CMAU3120149;CNYTN;DEHAM;22G1;;20;;3.539;050384;
BMOU2071108;CNYTN;NLRTM;22G1;;20;;6.97;130276;
CMAU6627219;CNYTN;SGSIN;45G1;;40;HC;7.981;421678;
TLLU2800170;CNYTN;FRLEH;22G1;;20;;6.84;070782;
TEMU0929594;CNYTN;SGSIN;2210;;20;;26.835;810010;
ECMU4923472;CNYTN;FRLEH;45G1;;40;HC;10.907;860882;
CMAU9108789;CNYTN;FRLEH;42G1;;40;;13.9;540104;
TCNU6657174;CNYTN;NLRTM;45G1;;40;HC;15.666;661314;
ECMU4903985;CNYTN;NLRTM;45G1;;40;HC;6.899;661680;
ECMU4925177;CNYTN;DEHAM;45G1;;40;HC;10.895;460384;
APZU3333956;CNYTN;MAPTM;22G1;;20;;7.864;310078;
SEGU5223602;CNYTN;DEHAM;45G1;;40;HC;23.84;460120;
ECMU4925135;CNYTN;PLGDN;45G1;;40;HC;10.141;740284;
SEGU4746065;CNYTN;SGSIN;45G1;;40;HC;12.885;021176;
SEKU6076990;CNYTN;MAPTM;45G1;;40;HC;11.35;141880;
TRHU1126970;CNYTN;SGSIN;22G1;;20;;4.88;830112;
CMAU4624186;CNYTN;DEHAM;45G1;;40;HC;14.753;220776;
TGBU4326623;CNYTN;FRLEH;45G1;;40;HC;14.878;421214;
TCNU6997744;CNYTN;DEHAM;45G1;;40;HC;12.405;460380;
CMAU3635442;CNYTN;DEHAM;45G1;;40;HC;9.905;460116;
TEMU3392831;CNYTN;PLGDN;2210;;20;;4.495;150376;
CMAU1951441;CNYTN;FRLEH;22G1;;20;;11.024;070376;
TEMU2521282;CNYTN;MAPTM;22G1;;20;;20.92;131316;
TLLU4582056;CNYTN;PLGDN;45G1;;40;HC;11.164;140182;
CMAU8090366;CNYTN;SGSIN;4310;;40;;9.322;820320;
TCKU2738777;CNYTN;DEHAM;22G1;;20;;8.09;230318;
TCLU6714852;CNYTN;DEHAM;45G1;;40;HC;11.675;460084;
ECMU8040901;CNYTN;MAPTM;L5G1;;45;HC;18.72;901680;
SELU4127083;CNYTN;DEHAM;45G1;;40;HC;13.29;220704;
APZU4772275;CNYTN;DEHAM;4310;;40;;26.74;220272;9
CMAU3174736;CNYTN;MAPTM;22G1;;20;;4.578;310182;
TGHU6603884;CNYTN;NLRTM;4510;;40;HC;10.3;660980;
APHU7170746;CNYTN;MAPTM;45G1;;40;HC;30.735;141874;
TLLU2735109;CNYTN;MAPTM;22G1;;20;;30.184;151410;
FCIU4095318;CNYTN;SGSIN;2200;;20;;29.9;830310;
CMAU8146613;CNYTN;SGSIN;42G1;;40;;10.824;901278;
ECMU4923298;CNYTN;PLGDN;45G1;;40;HC;20.88;540716;
TCLU7344705;CNYTN;MAPTM;22G1;;20;;30.244;151312;
CMAU4977645;CNYTN;DEHAM;45G1;;40;HC;10.757;460008;
TEMU1119068;CNYTN;FRLEH;22G1;;20;;4.784;171080;
ECMU8046670;CNYTN;FRLEH;L5G1;;45;HC;18.22;820180;
CMAU1078266;CNYTN;SGSIN;22G1;;20;;5.355;810112;
ECMU4926105;CNYTN;DEHAM;4510;;40;HC;9.491;620984;
HWLU2007799;CNYTN;SGSIN;25SG;;20;HC;24.265;830072;9
APZU3770982;CNYTN;SGSIN;22G1;;20;;7.87;810076;
ECMU8167692;CNYTN;MAPTM;L5G1;;45;HC;23.545;580178;
CMAU4296873;CNYTN;NLRTM;45G1;;40;HC;10.086;661580;
TCNU3642946;CNYTN;DEHAM;45G1;;40;HC;12.3;220584;
CMAU8920709;CNYTN;MAPTM;45G1;;40;HC;12.462;140980;
CMAU6428710;CNYTN;FRLEH;45G1;;40;HC;13.45;540020;
CMAU8311045;CNYTN;DEHAM;4310;;40;;26.72;220174;9
SLEU2322825;CNYTN;PLGDN;22G1;;20;;18.915;150374;
ECMU2076110;CNYTN;SGSIN;22G1;;20;;3.332;030478;
TCNU4016510;CNYTN;FRLEH;45G1;;40;HC;16.549;380310;
SEGU4668384;CNYTN;SGSIN;4510;;40;HC;8.296;421880;
CMAU9252179;CNNGB;MAPTM;4510;;40;HC;22.4;902074;
UETU6580680;CNNGB;MAPTM;4510;;40;HC;30.5;902072;
TGBU9381460;DEHAM;SGSIN;4510;;40;HC;23.58;820718;
TCNU2604540;CNNGB;SGSIN;4510;;40;HC;8.803;421776;
TCNU3488321;CNNGB;SGSIN;4510;;40;HC;7.556;101878;
CMAU3737927;CNNGB;SGSIN;4510;;40;HC;8.463;421478;
CMAU9739341;CNSHA;SGSIN;4500;;40;HC;12.31;581674;
CMAU4762441;PLGDN;SGSIN;4510;;40;HC;8.367;421778;
TRHU6412998;PLGDN;SGSIN;4510;;40;HC;7.71;101872;
SLEU2312719;CNNGB;FRLEH;2210;;20;;4.381;130584;
GVCU2053141;CNNGB;MAPTM;2210;;20;;8.63;150884;
MAGU5438376;CNNGB;FRLEH;4510;;40;HC;10.61;780784;
APHU7080302;PLGDN;SGSIN;4510;;40;HC;25.25;820322;
TCLU8053052;CNNGB;FRLEH;4510;;40;HC;10.077;540084;
TGBU6710540;PLGDN;SGSIN;4510;;40;HC;9.508;901876;
TRHU7170137;PLGDN;SGSIN;4510;;40;HC;7.71;102074;
SEKU6275185;PLGDN;SGSIN;4510;;40;HC;7.71;101874;
TCNU2424641;CNNGB;FRLEH;4510;;40;HC;10.387;341780;
CMAU6835491;PLGDN;SGSIN;4510;;40;HC;7.71;102072;
CGMU3006108;CNSHA;MAPTM;2230;R;20;;13.14;111472;
TRHU7077451;DEHAM;SGSIN;4510;;40;HC;20.397;581672;
BMOU5265658;CNSHA;SGSIN;4500;;40;HC;12.27;581676;
GESU6571824;CNSHA;SGSIN;4500;;40;HC;12.28;581476;
