Slot;LoadPort;DischPort;ContId;Overstow;OverstowPOD;PotentialRestow;PotentialRestowPOD;PotentialRestowImpact;NonReeferAtReefer
100472;CNNGB;SGSIN;FFAU4995945;;;;;;X
100872;CNNGB;SGSIN;TXGU7420301;;;;;;X
100976;CNNGB;SGSIN;TCKU4370093;;;;;;X
101272;CNNGB;SGSIN;CMAU7645500;;;;;;X
101176;CNNGB;SGSIN;BMOU5654855;;;;;;X
100672;CNNGB;SGSIN;SEKU4520766;;;;;;X
100674;CNNGB;SGSIN;TCKU7904422;;;;;;X
100972;CNNGB;SGSIN;TCNU3456366;;;;;;X
101072;CNNGB;SGSIN;FFAU4501488;;;;;;X
100974;CNNGB;SGSIN;CMAU4202067;;;;;;X
100874;CNNGB;SGSIN;FCIU8236250;;;;;;X
101172;CNNGB;SGSIN;TGBU5832884;;;;;;X
100876;CNNGB;SGSIN;SEGU4107824;;;;;;X
101074;CNNGB;SGSIN;BEAU4147173;;;;;;X
310384;CNYTN;FRLEH;CMAU0625055;X;PLGDN;;;;
140076;CNYTN;PLGDN;ECMU4903223;;;;;;X
901880;CNSHA;MAPTM;DRYU4507465;X;SGSIN;;;;
660976;CNYTN;NLRTM;SEGU4065740;;;;;;X
581174;CNYTN;DEHAM;ECMU4921422;;;;;;X
540584;CNYTN;FRLEH;ECMU4923699;X;PLGDN;;;;
661874;CNYTN;NLRTM;CMAU4453709;;;;;;X
141274;CNYTN;MAPTM;APHU6740470;X;DEHAM;;;;X
141372;CNYTN;MAPTM;TLLU4357538;;;;;;X
070782;CNYTN;FRLEH;TLLU2800170;X;DEHAM;;;;
740284;CNYTN;PLGDN;ECMU4925135;X;SGSIN;;;;
220776;CNYTN;DEHAM;CMAU4624186;;;;;;X
150376;CNYTN;PLGDN;TEMU3392831;;;;;;X
070376;CNYTN;FRLEH;CMAU1951441;X;DEHAM;;;;
901680;CNYTN;MAPTM;ECMU8040901;X;SGSIN;;;;
220272;CNYTN;DEHAM;APZU4772275;;;;;;X
310182;CNYTN;MAPTM;CMAU3174736;X;PLGDN;;;;
141874;CNYTN;MAPTM;APHU7170746;;;;;;X
171080;CNYTN;FRLEH;TEMU1119068;X;DEHAM;;;;
820180;CNYTN;FRLEH;ECMU8046670;X;SGSIN;;;;
830072;CNYTN;SGSIN;HWLU2007799;;;;;;X
580178;CNYTN;MAPTM;ECMU8167692;X;SGSIN;;;;
220174;CNYTN;DEHAM;CMAU8311045;;;;;;X
150374;CNYTN;PLGDN;SLEU2322825;;;;;;X
581674;CNSHA;SGSIN;CMAU9739341;;;;;;X
101872;PLGDN;SGSIN;TRHU6412998;;;;;;X
130584;CNNGB;FRLEH;SLEU2312719;X;PLGDN;;;;
101874;PLGDN;SGSIN;SEKU6275185;;;;;;X
341780;CNNGB;FRLEH;TCNU2424641;X;DEHAM;;;;
111472;CNSHA;MAPTM;CGMU3006108;X;DEHAM;;;;
581672;DEHAM;SGSIN;TRHU7077451;;;;;;X
581676;CNSHA;SGSIN;BMOU5265658;;;;;;X
581476;CNSHA;SGSIN;GESU6571824;;;;;;X
830074;CNYTN;SGSIN;HWLU2007844;;;;;;X
420974;PLGDN;SGSIN;TCLU6706991;;;;;;X
780072;CNNGB;FRLEH;TLLU8878690;;;;;;X
421376;CNNGB;SGSIN;TLLU4784571;;;;;;X
070080;CNNGB;FRLEH;LYGU3159030;X;DEHAM;;;;
020680;CNYTN;FRLEH;APHU7071300;X;SGSIN;;;;
421676;CNYTN;FRLEH;CMAU8739096;X;SGSIN;;;;X
141872;CNYTN;MAPTM;CMAU5088658;;;;;;X
020880;CNYTN;FRLEH;GAOU6052316;X;SGSIN;;;;
580578;CNYTN;MAPTM;ECMU8111306;X;SGSIN;;;;
341782;CNYTN;FRLEH;TCLU1723213;X;DEHAM;;;;
100474;CNYTN;SGSIN;UETU4010971;;;;;;X
050080;CNYTN;PLGDN;CERU5002831;X;DEHAM;X;DEHAM;4;
581678;CNYTN;MAPTM;ECMU8116144;X;SGSIN;;;;
580180;CNYTN;MAPTM;TCKU9988401;X;SGSIN;;;;
661474;CNYTN;NLRTM;CAAU6225282;;;;;;X
130682;CNYTN;FRLEH;CMAU0708761;X;NLRTM;;;;
900882;CNYTN;MAPTM;ECMU8005773;X;PLGDN;;;;
661672;CNYTN;NLRTM;GAOU6807855;;;;;;X
580372;CNYTN;SGSIN;CMAU6546565;;;;;;X
580378;CNYTN;MAPTM;CAIU5808272;X;SGSIN;;;;
130784;CNYTN;FRLEH;APZU3432990;X;PLGDN;;;;
540774;CNYTN;FRLEH;TCNU2995419;X;PLGDN;;;;X
621984;CNYTN;FRLEH;CMAU5761990;X;DEHAM;;;;
580072;CNYTN;SGSIN;GESU6168300;;;;;;X
130786;CNYTN;FRLEH;TCLU3864416;X;PLGDN;;;;
020574;CNYTN;FRLEH;SELU4126512;X;SGSIN;;;;
