LoadPort;DischPort;Size;cType;cWeight;Height;idZone;NbDG
SGSIN;FRLEH;20;GP;H;;0;1
SGSIN;FRLEH;20;GP;H;;1;4
SGSIN;FRLEH;20;GP;H;;2;6
SGSIN;FRLEH;20;GP;H;;3;2
SGSIN;DEHAM2;40;RE;H;HC;0;63
CNNGB;SGSIN;20;GP;H;;0;11
CNNGB;SGSIN;20;GP;H;;1;13
CNNGB;SGSIN;20;GP;H;;2;8
CNSHA;DEHAM;40;GP;H;HC;0;66
CNYTN;MAPTM;20;GP;H;;0;1
CNYTN;MAPTM;20;GP;H;;1;1
CNYTN;MAPTM;20;GP;H;;2;2
CNYTN;MAPTM;20;GP;H;;3;4
CNYTN;DEHAM;40;GP;H;;0;19
SGSIN;NLRTM2;40;GP;H;;0;2
CNSHA;DEHAM;40;GP;H;;0;1
CNSHA;DEHAM;40;GP;H;;1;1
CNSHA;DEHAM;40;GP;H;;2;2
SGSIN;MAPTM;20;GP;H;;0;7
SGSIN;MAPTM;20;GP;H;;1;1
SGSIN;MAPTM;20;GP;H;;2;5
SGSIN;MAPTM;20;GP;H;;3;6
SGSIN;MAPTM;20;GP;H;;4;5
SGSIN;MAPTM;20;GP;H;;5;10
SGSIN;MAPTM;40;GP;H;HC;0;3
SGSIN;MAPTM;40;GP;H;HC;1;2
SGSIN;NLRTM2;20;GP;H;;0;1
SGSIN;NLRTM2;20;GP;H;;1;3
SGSIN;NLRTM2;20;GP;H;;2;47
SGSIN;NLRTM2;20;GP;H;;3;34
SGSIN;NLRTM2;20;GP;H;;4;36
SGSIN;NLRTM2;20;GP;H;;5;31
SGSIN;NLRTM2;20;GP;H;;6;74
SGSIN;NLRTM2;20;GP;H;;7;14
SGSIN;NLRTM2;20;GP;H;;8;15
SGSIN;NLRTM2;20;GP;H;;9;17
SGSIN;NLRTM2;20;GP;H;;10;23
SGSIN;NLRTM2;20;GP;H;;11;37
CNNGB;NLRTM;20;GP;H;;0;16
CNNGB;NLRTM;20;GP;H;;1;9
