LoadPort;DischPort;Size;cType;cWeight;Height;idZone;Subbay
SGSIN;FRLEH;20;GP;H;;0;0200
SGSIN;FRLEH;20;GP;H;;0;0210
SGSIN;FRLEH;20;GP;H;;0;0220
SGSIN;FRLEH;20;GP;H;;0;0610
SGSIN;FRLEH;20;GP;H;;0;0620
SGSIN;FRLEH;20;GP;H;;0;0630
SGSIN;FRLEH;20;GP;H;;0;0640
SGSIN;FRLEH;20;GP;H;;0;1010
SGSIN;FRLEH;20;GP;H;;0;1020
SGSIN;FRLEH;20;GP;H;;0;1030
SGSIN;FRLEH;20;GP;H;;0;1040
SGSIN;FRLEH;20;GP;H;;0;1410
SGSIN;FRLEH;20;GP;H;;0;1420
SGSIN;FRLEH;20;GP;H;;0;1430
SGSIN;FRLEH;20;GP;H;;0;1440
SGSIN;FRLEH;20;GP;H;;0;1810
SGSIN;FRLEH;20;GP;H;;0;1820
SGSIN;FRLEH;20;GP;H;;0;1830
SGSIN;FRLEH;20;GP;H;;0;1840
SGSIN;FRLEH;20;GP;H;;0;2210
SGSIN;FRLEH;20;GP;H;;0;2220
SGSIN;FRLEH;20;GP;H;;0;2230
SGSIN;FRLEH;20;GP;H;;0;2240
SGSIN;FRLEH;20;GP;H;;0;2610
SGSIN;FRLEH;20;GP;H;;0;2620
SGSIN;FRLEH;20;GP;H;;0;2630
SGSIN;FRLEH;20;GP;H;;0;2640
SGSIN;FRLEH;20;GP;H;;0;3010
SGSIN;FRLEH;20;GP;H;;0;3020
SGSIN;FRLEH;20;GP;H;;0;3030
SGSIN;FRLEH;20;GP;H;;0;3040
SGSIN;FRLEH;20;GP;H;;0;3410
SGSIN;FRLEH;20;GP;H;;0;3411
SGSIN;FRLEH;20;GP;H;;0;3420
SGSIN;FRLEH;20;GP;H;;0;3421
SGSIN;FRLEH;20;GP;H;;0;3430
SGSIN;FRLEH;20;GP;H;;0;3431
SGSIN;FRLEH;20;GP;H;;0;3440
SGSIN;FRLEH;20;GP;H;;0;3441
SGSIN;FRLEH;20;GP;H;;0;3810
SGSIN;FRLEH;20;GP;H;;0;3811
SGSIN;FRLEH;20;GP;H;;0;3820
SGSIN;FRLEH;20;GP;H;;0;3821
SGSIN;FRLEH;20;GP;H;;0;3830
SGSIN;FRLEH;20;GP;H;;0;3831
SGSIN;FRLEH;20;GP;H;;0;3840
SGSIN;FRLEH;20;GP;H;;0;3841
SGSIN;FRLEH;20;GP;H;;0;4210
SGSIN;FRLEH;20;GP;H;;0;4220
SGSIN;FRLEH;20;GP;H;;0;4230
SGSIN;FRLEH;20;GP;H;;0;4240
SGSIN;FRLEH;20;GP;H;;0;4610
SGSIN;FRLEH;20;GP;H;;0;4620
SGSIN;FRLEH;20;GP;H;;0;4630
SGSIN;FRLEH;20;GP;H;;0;4640
SGSIN;FRLEH;20;GP;H;;0;5010
SGSIN;FRLEH;20;GP;H;;0;5020
SGSIN;FRLEH;20;GP;H;;0;5030
SGSIN;FRLEH;20;GP;H;;0;5040
SGSIN;FRLEH;20;GP;H;;0;5410
SGSIN;FRLEH;20;GP;H;;0;5420
SGSIN;FRLEH;20;GP;H;;0;5430
SGSIN;FRLEH;20;GP;H;;0;5440
SGSIN;FRLEH;20;GP;H;;0;5810
SGSIN;FRLEH;20;GP;H;;0;5820
SGSIN;FRLEH;20;GP;H;;0;5830
SGSIN;FRLEH;20;GP;H;;0;5840
SGSIN;FRLEH;20;GP;H;;0;6210
SGSIN;FRLEH;20;GP;H;;0;6220
SGSIN;FRLEH;20;GP;H;;0;6230
SGSIN;FRLEH;20;GP;H;;0;6240
SGSIN;FRLEH;20;GP;H;;0;6610
SGSIN;FRLEH;20;GP;H;;0;6620
SGSIN;FRLEH;20;GP;H;;0;6630
SGSIN;FRLEH;20;GP;H;;0;6640
SGSIN;FRLEH;20;GP;H;;0;7010
SGSIN;FRLEH;20;GP;H;;0;7020
SGSIN;FRLEH;20;GP;H;;0;7030
SGSIN;FRLEH;20;GP;H;;0;7040
SGSIN;FRLEH;20;GP;H;;0;7401
SGSIN;FRLEH;20;GP;H;;0;7411
SGSIN;FRLEH;20;GP;H;;0;7421
SGSIN;FRLEH;20;GP;H;;0;7431
SGSIN;FRLEH;20;GP;H;;0;7441
SGSIN;FRLEH;20;GP;H;;0;7810
SGSIN;FRLEH;20;GP;H;;0;7820
SGSIN;FRLEH;20;GP;H;;0;7830
SGSIN;FRLEH;20;GP;H;;0;7840
SGSIN;FRLEH;20;GP;H;;0;8210
SGSIN;FRLEH;20;GP;H;;0;8220
SGSIN;FRLEH;20;GP;H;;0;8230
SGSIN;FRLEH;20;GP;H;;0;8240
SGSIN;FRLEH;20;GP;H;;0;8610
SGSIN;FRLEH;20;GP;H;;0;8620
SGSIN;FRLEH;20;GP;H;;0;8630
SGSIN;FRLEH;20;GP;H;;0;8640
SGSIN;FRLEH;20;GP;H;;0;9010
SGSIN;FRLEH;20;GP;H;;0;9020
