ContId;LoadPort;Bay;MacroTier
CMAU8743711;CNSHA;37;1
CMAU8743711;CNSHA;82;0
CMAU8743711;CNSHA;47;0
CMAU8743711;CNSHA;22;0
CMAU8743711;CNSHA;79;0
CMAU8743711;CNSHA;10;0
CMAU8743711;CNSHA;07;0
CMAU8743711;CNSHA;26;0
CMAU8743711;CNSHA;46;0
CMAU8743711;CNSHA;61;0
CMAU8743711;CNSHA;31;0
CMAU8743711;CNSHA;37;0
CMAU8743711;CNSHA;30;0
CMAU8743711;CNSHA;51;0
CMAU8743711;CNSHA;49;0
CMAU8743711;CNSHA;29;0
CMAU8743711;CNSHA;59;0
CMAU8743711;CNSHA;14;0
CMAU8743711;CNSHA;89;0
CMAU8743711;CNSHA;27;0
CMAU8743711;CNSHA;66;0
CMAU8743711;CNSHA;41;0
CMAU8743711;CNSHA;71;0
CMAU8743711;CNSHA;42;0
CMAU8743711;CNSHA;13;0
CMAU8743711;CNSHA;15;0
CMAU8743711;CNSHA;81;0
CMAU8743711;CNSHA;38;1
CMAU8743711;CNSHA;39;0
CMAU8743711;CNSHA;45;0
CMAU8743711;CNSHA;57;0
CMAU8743711;CNSHA;43;0
CMAU8743711;CNSHA;78;0
CMAU8743711;CNSHA;74;1
CMAU8743711;CNSHA;69;0
CMAU8743711;CNSHA;85;0
CMAU8743711;CNSHA;83;0
CMAU8743711;CNSHA;09;0
CMAU8743711;CNSHA;38;0
CMAU8743711;CNSHA;11;0
CMAU8743711;CNSHA;35;0
CMAU8743711;CNSHA;02;0
CMAU8743711;CNSHA;87;0
CMAU8743711;CNSHA;01;0
CMAU8743711;CNSHA;63;0
CMAU8743711;CNSHA;25;0
CMAU8743711;CNSHA;34;0
CMAU8743711;CNSHA;70;0
CMAU8743711;CNSHA;62;0
CMAU8743711;CNSHA;77;0
CMAU8743711;CNSHA;21;0
CMAU8743711;CNSHA;54;0
CMAU8743711;CNSHA;06;0
CMAU8743711;CNSHA;19;0
CMAU8743711;CNSHA;03;0
CMAU8743711;CNSHA;65;0
CMAU8743711;CNSHA;23;0
CMAU8743711;CNSHA;33;0
CMAU8743711;CNSHA;58;0
CMAU8743711;CNSHA;55;0
CMAU8743711;CNSHA;05;0
CMAU8743711;CNSHA;86;0
CMAU8743711;CNSHA;91;0
CMAU8743711;CNSHA;18;0
CMAU8743711;CNSHA;50;0
CMAU8743711;CNSHA;53;0
CMAU8743711;CNSHA;90;0
CMAU8743711;CNSHA;67;0
CMAU8743711;CNSHA;17;0
CMAU8574680;CNSHA;37;1
CMAU8574680;CNSHA;82;0
CMAU8574680;CNSHA;47;0
CMAU8574680;CNSHA;22;0
CMAU8574680;CNSHA;79;0
CMAU8574680;CNSHA;10;0
CMAU8574680;CNSHA;07;0
CMAU8574680;CNSHA;26;0
CMAU8574680;CNSHA;46;0
CMAU8574680;CNSHA;61;0
CMAU8574680;CNSHA;31;0
CMAU8574680;CNSHA;37;0
CMAU8574680;CNSHA;30;0
CMAU8574680;CNSHA;51;0
CMAU8574680;CNSHA;49;0
CMAU8574680;CNSHA;29;0
CMAU8574680;CNSHA;59;0
CMAU8574680;CNSHA;14;0
CMAU8574680;CNSHA;89;0
CMAU8574680;CNSHA;27;0
CMAU8574680;CNSHA;66;0
CMAU8574680;CNSHA;41;0
CMAU8574680;CNSHA;71;0
CMAU8574680;CNSHA;42;0
CMAU8574680;CNSHA;13;0
CMAU8574680;CNSHA;15;0
CMAU8574680;CNSHA;81;0
CMAU8574680;CNSHA;38;1
CMAU8574680;CNSHA;39;0
CMAU8574680;CNSHA;45;0
CMAU8574680;CNSHA;57;0
CMAU8574680;CNSHA;43;0
CMAU8574680;CNSHA;78;0
CMAU8574680;CNSHA;74;1
CMAU8574680;CNSHA;69;0
CMAU8574680;CNSHA;85;0
CMAU8574680;CNSHA;83;0
CMAU8574680;CNSHA;09;0
CMAU8574680;CNSHA;38;0
CMAU8574680;CNSHA;11;0
CMAU8574680;CNSHA;35;0
CMAU8574680;CNSHA;02;0
CMAU8574680;CNSHA;87;0
CMAU8574680;CNSHA;01;0
CMAU8574680;CNSHA;63;0
CMAU8574680;CNSHA;25;0
CMAU8574680;CNSHA;34;0
CMAU8574680;CNSHA;70;0
CMAU8574680;CNSHA;62;0
CMAU8574680;CNSHA;77;0
CMAU8574680;CNSHA;21;0
CMAU8574680;CNSHA;54;0
CMAU8574680;CNSHA;06;0
CMAU8574680;CNSHA;19;0
CMAU8574680;CNSHA;03;0
CMAU8574680;CNSHA;65;0
CMAU8574680;CNSHA;23;0
CMAU8574680;CNSHA;33;0
CMAU8574680;CNSHA;58;0
CMAU8574680;CNSHA;55;0
CMAU8574680;CNSHA;05;0
CMAU8574680;CNSHA;86;0
CMAU8574680;CNSHA;91;0
CMAU8574680;CNSHA;18;0
CMAU8574680;CNSHA;50;0
CMAU8574680;CNSHA;53;0
CMAU8574680;CNSHA;90;0
CMAU8574680;CNSHA;67;0
CMAU8574680;CNSHA;17;0
CMAU8846237;CNSHA;37;1
CMAU8846237;CNSHA;82;0
CMAU8846237;CNSHA;47;0
