Serial Number;Operator;POL;POD;Type;Closed Freight Container;Weight;Regulation Body;Ammendmant Version;UN;Class;SubLabel1;SubLabel2;DG-Remark (SW5 = Mecanical Ventilated Space if U/D par.A DOC);FlashPoints;Loading remarks;Limited Quantity;Marine Pollutant;PGr;Liquid;Solid;Flammable;Non-Flammable;Proper Shipping Name (Paragraph B of DOC);SegregationGroup;SetPoint;Stowage and segregation;Package Goods;Stowage Category;not permitted bay 74;Zone
CMAU8743711;CMA;CNSHA;DEHAM;4500;x;840;IMD;40;0337;1.4;;;;;;no;no;;;;;x;FIREWORKS;;;SW1;x;1;;ASIA
CMAU8574680;CMA;CNSHA;FRLEH;4500;x;11008;IMD;40;0337;1.4;;;;;;no;no;;;;;x;FIREWORKS;;;SW1;x;1;;ASIA
CMAU8846237;CMA;CNSHA;DEHAM;4500;x;5175.60;IMD;40;0337;1.4;;;;;;no;no;;;;;x;FIREWORKS;;;SW1;x;1;;ASIA
CMAU8473133;CMA;CNSHA;DEHAM;4500;x;650;IMD;40;0337;1.4;;;;;;no;no;;;;;x;FIREWORKS;;;SW1;x;1;;ASIA
TCNU3457697;CMA;CNSHA;DEHAM;4500;x;15627;IMD;40;0337;1.4;;;;;;no;no;;;;;x;FIREWORKS;;;SW1;x;1;;ASIA
TCNU2393880;CMA;CNSHA;DEHAM;4500;x;255;IMD;40;0337;1.4;;;;;;no;no;;;;;x;FIREWORKS;;;SW1;x;1;;ASIA
CMAU3325730;CMA;CNSHA;DEHAM;4500;x;6600;IMD;40;0337;1.4;;;;;;no;no;;;;;x;FIREWORKS;;;SW1;x;1;;ASIA
SEGU4977280;CMA;CNSHA;DEHAM;4500;x;1872;IMD;40;0337;1.4;;;;;;no;no;;;;;x;FIREWORKS;;;SW1;x;1;;ASIA
CMAU8683675;CMA;CNSHA;DEHAM;4500;x;17550;IMD;40;0337;1.4;;;;;;no;no;;;;;x;FIREWORKS;;;SW1;x;1;;ASIA
TLLU4888853;CMA;CNSHA;DEHAM;4500;x;2404.80;IMD;40;0337;1.4;;;;;;no;no;;;;;x;FIREWORKS;;;SW1;x;1;;ASIA
CAIU9700820;CMA;CNSHA;DEHAM;4500;x;8170.80;IMD;40;0337;1.4;;;;;;no;no;;;;;x;FIREWORKS;;;SW1;x;1;;ASIA
ECMU9601904;CMA;CNSHA;DEHAM;4500;x;3786.90;IMD;40;0337;1.4;;;;;;no;no;;;;;x;FIREWORKS;;;SW1;x;1;;ASIA
CAIU7190521;CMA;CNSHA;DEHAM;4500;x;4485;IMD;40;0337;1.4;;;;;;no;no;;;;;x;FIREWORKS;;;SW1;x;1;;ASIA
CMAU7189210;CMA;CNSHA;DEHAM;4500;x;6208;IMD;40;0337;1.4;;;;;;no;no;;;;;x;FIREWORKS;;;SW1;x;1;;ASIA
APHU7300496;CMA;CNSHA;DEHAM;4500;x;500;IMD;40;0337;1.4;;;;;;no;no;;;;;x;FIREWORKS;;;SW1;x;1;;ASIA
SEKU4341185;CMA;CNSHA;DEHAM;4500;x;488;IMD;40;0337;1.4;;;;;;no;no;;;;;x;FIREWORKS;;;SW1;x;1;;ASIA
TCNU3861456;CMA;CNSHA;DEHAM;4500;x;4891.50;IMD;40;0337;1.4;;;;;;no;no;;;;;x;FIREWORKS;;;SW1;x;1;;ASIA
SEGU6256642;CMA;CNSHA;DEHAM;4500;x;5512;IMD;40;0337;1.4;;;;;;no;no;;;;;x;FIREWORKS;;;SW1;x;1;;ASIA
SEGU4376016;CMA;CNSHA;DEHAM;4500;x;1725;IMD;40;0337;1.4;;;;;;no;no;;;;;x;FIREWORKS;;;SW1;x;1;;ASIA
CMAU3334979;CMA;CNSHA;DEHAM;4500;x;11927.50;IMD;40;0337;1.4;;;;;;no;no;;;;;x;FIREWORKS;;;SW1;x;1;;ASIA
SEGU6368719;CMA;CNSHA;DEHAM;4500;x;5260;IMD;40;0337;1.4;;;;;;no;no;;;;;x;FIREWORKS;;;SW1;x;1;;ASIA
CMAU4737808;CMA;CNSHA;DEHAM;4500;x;10490.40;IMD;40;0337;1.4;;;;;;no;no;;;;;x;FIREWORKS;;;SW1;x;1;;ASIA
CMAU7111356;CMA;CNSHA;DEHAM;4500;x;3185;IMD;40;0337;1.4;;;;;;no;no;;;;;x;FIREWORKS;;;SW1;x;1;;ASIA
FFAU5059365;CMA;CNSHA;DEHAM;4500;x;96;IMD;40;0336;1.4;;;;;;no;no;;;;;x;FIREWORKS;;;SW1;x;2;x;ASIA
