Subbay;Overstowing
0200;0
0201;1
0210;0
0211;1
0220;0
0221;1
0231;0
0241;0
0610;0
0611;1
0620;0
0621;1
0630;0
0631;1
0640;0
0641;0
0651;0
0661;0
1010;0
1011;1
1020;0
1021;1
1030;0
1031;0
1040;0
1041;1
1410;0
1411;1
1420;0
1421;1
1430;0
1431;0
1440;0
1441;1
1810;0
1811;1
1820;0
1821;0
1830;0
1831;0
1840;0
1841;0
2210;0
2211;0
2220;0
2221;0
2230;0
2231;0
2240;0
2241;1
2610;0
2611;0
2620;0
2621;1
2630;0
2631;0
2640;0
2641;0
3010;0
3011;1
3020;0
3021;1
3030;0
3031;0
3040;0
3041;0
3410;0
3411;1
3420;0
3421;1
3430;0
3431;1
3440;0
3441;0
3810;0
3811;0
3820;0
3821;1
3830;0
3831;0
3840;0
3841;0
4210;0
4211;1
4220;0
4221;1
4230;0
4231;1
4240;0
4241;1
4610;0
4611;0
4620;0
4621;0
4630;0
4631;0
4640;0
4641;0
5010;0
5011;1
5020;0
5021;1
5030;0
5031;0
5040;0
5041;0
5410;0
5411;1
5420;0
5421;1
5430;0
5431;1
5440;0
5441;1
5810;0
5811;0
5820;0
5821;1
5830;0
5831;0
5840;0
5841;1
6210;0
6211;1
6220;0
6221;1
6230;0
6231;1
6240;0
6241;1
6610;0
6611;0
6620;0
6621;0
6630;0
6631;1
6640;0
6641;1
7010;0
7011;1
7020;0
7021;1
7030;0
7031;1
7040;0
7041;1
7401;0
7411;0
7421;0
7431;0
7441;0
7810;0
7811;0
7820;0
7821;1
7830;0
7831;0
7840;0
7841;0
8210;0
8211;1
8220;0
8221;0
8230;0
8231;0
8240;0
8241;1
8610;0
8611;0
8620;0
8621;0
8630;0
8631;0
8640;0
8641;0
9010;0
9011;1
9020;0
9021;1
9030;0
9031;1
9040;0
9041;1
9401;0
9411;0
9421;0
9431;0
9441;0
