PortName;StName;TankName;BlockId;StWeight;xCG;yCG;zCG
CNYTN;F.W.TK(P)_6;F.W.TK(P);6;145.0;58.45;25.503;17.411
CNYTN;F.W.TK(S)_6;F.W.TK(S);6;121.0;58.45;-25.503;17.038
CNYTN;NO.1 H.F.O.TK(CS)_18;NO.1 H.F.O.TK(CS);18;70.444;220.8;-3.672;3.615
CNYTN;NO.1 H.F.O.TK(CS)_19;NO.1 H.F.O.TK(CS);19;70.444;224.8;-3.672;3.615
CNYTN;NO.1 H.F.O.TK(CS)_20;NO.1 H.F.O.TK(CS);20;117.113;230.125;-3.672;3.615
CNYTN;NO.2 H.F.O.TK(CP)_18;NO.2 H.F.O.TK(CP);18;404.969;220.8;3.673;9.276
CNYTN;NO.2 H.F.O.TK(CP)_19;NO.2 H.F.O.TK(CP);19;404.969;224.8;3.673;9.276
CNYTN;NO.2 H.F.O.TK(CP)_20;NO.2 H.F.O.TK(CP);20;673.261;230.125;3.673;9.276
CNYTN;NO.3 H.F.O.TK(MS)_18;NO.3 H.F.O.TK(MS);18;276.997;220.8;-11.125;6.902
CNYTN;NO.3 H.F.O.TK(MS)_19;NO.3 H.F.O.TK(MS);19;276.997;224.8;-11.125;6.902
CNYTN;NO.3 H.F.O.TK(MS)_20;NO.3 H.F.O.TK(MS);20;460.507;230.125;-11.125;6.902
CNYTN;NO.4 H.F.O.TK(MP)_18;NO.4 H.F.O.TK(MP);18;2.701;220.8;11.126;2.246
CNYTN;NO.4 H.F.O.TK(MP)_19;NO.4 H.F.O.TK(MP);19;2.703;224.8;11.126;2.246
CNYTN;NO.4 H.F.O.TK(MP)_20;NO.4 H.F.O.TK(MP);20;4.496;230.125;11.126;2.246
CNYTN;NO.5 H.F.O.TK(S)_18;NO.5 H.F.O.TK(S);18;4.357;220.766;-16.936;2.325
CNYTN;NO.5 H.F.O.TK(S)_19;NO.5 H.F.O.TK(S);19;3.914;224.762;-16.936;2.325
CNYTN;NO.5 H.F.O.TK(S)_20;NO.5 H.F.O.TK(S);20;5.529;230.002;-16.936;2.325
CNYTN;NO.6 H.F.O.TK(P)_18;NO.6 H.F.O.TK(P);18;3.126;220.766;16.936;2.29
CNYTN;NO.6 H.F.O.TK(P)_19;NO.6 H.F.O.TK(P);19;2.808;224.762;16.936;2.29
CNYTN;NO.6 H.F.O.TK(P)_20;NO.6 H.F.O.TK(P);20;3.966;230.002;16.936;2.29
CNYTN;NO.7 H.F.O.TK(S)_18;NO.7 H.F.O.TK(S);18;280.956;220.8;-21.655;11.79
CNYTN;NO.7 H.F.O.TK(S)_19;NO.7 H.F.O.TK(S);19;280.956;224.8;-21.655;11.79
CNYTN;NO.7 H.F.O.TK(S)_20;NO.7 H.F.O.TK(S);20;467.089;230.125;-21.655;11.79
CNYTN;NO.8 H.F.O.TK(P)_18;NO.8 H.F.O.TK(P);18;193.666;220.8;21.655;9.616
CNYTN;NO.8 H.F.O.TK(P)_19;NO.8 H.F.O.TK(P);19;193.666;224.8;21.655;9.616
CNYTN;NO.8 H.F.O.TK(P)_20;NO.8 H.F.O.TK(P);20;321.969;230.125;21.655;9.616
CNYTN;H.F.O SETT.TK(P)_8;H.F.O SETT.TK(P);8;250.2;85.084;22.247;14.15
CNYTN;H.F.O SERV.TK(P)_7;H.F.O SERV.TK(P);7;206.214;72.75;22.915;15.106
CNYTN;H.F.O SERV.TK(P)_8;H.F.O SERV.TK(P);8;82.486;78.35;22.915;15.106
CNYTN;L.S.H.F.O SETT.TK(P)_8;L.S.H.F.O SETT.TK(P);8;0.9;87.15;11.545;10.008
CNYTN;L.S.H.F.O SERV.TK(P)_8;L.S.H.F.O SERV.TK(P);8;47.3;87.15;16.585;11.623
CNYTN;M.D.O. SERV.TK(P)_6;M.D.O. SERV.TK(P);6;180.2;58.45;13.882;10.794
CNYTN;M.D.O. STOR.TK(S)_6;M.D.O. STOR.TK(S);6;74.0;58.45;-14.065;10.324
CNYTN;NO.1 M/E CYL.O STOR.TK(S)_8;NO.1 M/E CYL.O STOR.TK(S);8;7.0;81.15;-24.212;15.478
CNYTN;NO.2 M/E CYL.O STOR.TK(S)_7;NO.2 M/E CYL.O STOR.TK(S);7;5.6;75.956;-24.212;15.56
CNYTN;M/E SYS.O STOR.TK(S)_7;M/E SYS.O STOR.TK(S);7;30.7;73.55;-24.212;16.206
CNYTN;M/E SYS.O SETT.TK(S)_8;M/E SYS.O SETT.TK(S);8;1.4;78.356;-24.212;15.206
CNYTN;M/E CYL.O SERV.TK(P)_8;M/E CYL.O SERV.TK(P);8;2.9;81.15;13.645;23.741
CNYTN;NO.1 G/E L.O.STOR.TK(P)_7;NO.1 G/E L.O.STOR.TK(P);7;4.5;65.55;10.102;23.486
CNYTN;NO.2 G/E L.O.STOR.TK(P)_7;NO.2 G/E L.O.STOR.TK(P);7;8.6;65.55;12.805;24.145
