Container;LoadPort_x;POL_nb;DischPort;POD_nb;Size;cType;cWeight;Height;cDG;Empty;Revenue;Type;Setting;Weight;Slot;priorityID;priorityLevel;overstowPort;NonReeferAtReefer;Subport;Stowage;DGheated;Exclusion;OOG_FORWARD;OOG_AFTWARDS;OOG_RIGHT;OOG_RIGHT_MEASURE;OOG_LEFT;OOG_LEFT_MEASURE;OOG_TOP;OOG_TOP_MEASURE;LoadPort_y;Garbage Cause
FFAU4995945;CNNGB;-14;SGSIN;1;40;GP;L;HC;;;136.15;4510;;6.259;100472;-1;-1;;X;;;0;;0;0;0;0;0;0;0;0.0;;
TXGU7420301;CNNGB;-14;SGSIN;1;40;GP;H;HC;;;136.15;4510;;18.728;100872;-1;-1;;X;;;0;;0;0;0;0;0;0;0;0.0;;
TCKU4370093;CNNGB;-14;SGSIN;1;40;GP;H;;;;136.15;4310;;12.049;100976;-1;-1;;X;;;0;;0;0;0;0;0;0;0;0.0;;
CMAU7645500;CNNGB;-14;SGSIN;1;40;GP;H;HC;;;136.15;4510;;17.702;101272;-1;-1;;X;;;0;;0;0;0;0;0;0;0;0.0;;
BEAU4775884;CNNGB;-14;SGSIN;1;40;GP;H;HC;;;136.15;4510;;23.24;820118;-1;-1;;;;;0;;0;0;0;0;0;0;0;0.0;;
BMOU5654855;CNNGB;-14;SGSIN;1;40;GP;H;HC;;;136.15;4510;;9.795;101176;-1;-1;;X;;;0;;0;0;0;0;0;0;0;0.0;;
CMAU3468258;CNNGB;-14;SGSIN;1;40;GP;H;HC;;;136.15;4510;;22.14;820018;-1;-1;;;;;0;;0;0;0;0;0;0;0;0.0;;
SEKU4520766;CNNGB;-14;SGSIN;1;40;GP;H;HC;;;136.15;4510;;19.77;100672;-1;-1;;X;;;0;;0;0;0;0;0;0;0;0.0;;
SEGU6253983;CNNGB;-14;SGSIN;1;40;GP;H;HC;;;136.15;4510;;12.07;100678;-1;-1;;;;;0;;0;0;0;0;0;0;0;0.0;;
TCKU7904422;CNNGB;-14;SGSIN;1;40;GP;H;HC;;;136.15;4510;;16.25;100674;-1;-1;;X;;;0;;0;0;0;0;0;0;0;0.0;;
TCNU3456366;CNNGB;-14;SGSIN;1;40;GP;H;HC;;;136.15;4510;;21.44;100972;-1;-1;;X;;;0;;0;0;0;0;0;0;0;0.0;;
FFAU4501488;CNNGB;-14;SGSIN;1;40;GP;H;HC;;;136.15;4510;;19.1;101072;-1;-1;;X;;;0;;0;0;0;0;0;0;0;0.0;;
CMAU4202067;CNNGB;-14;SGSIN;1;40;GP;H;HC;;;136.15;4510;;17.81;100974;-1;-1;;X;;;0;;0;0;0;0;0;0;0;0.0;;
FCIU8236250;CNNGB;-14;SGSIN;1;40;GP;H;HC;;;136.15;4510;;16.718;100874;-1;-1;;X;;;0;;0;0;0;0;0;0;0;0.0;;
TCNU5459045;CNNGB;-14;SGSIN;1;40;GP;H;HC;;;136.15;4510;;8.674;101078;-1;-1;;;;;0;;0;0;0;0;0;0;0;0.0;;
TGBU5832884;CNNGB;-14;SGSIN;1;40;GP;H;HC;;;136.15;4510;;20.96;101172;-1;-1;;X;;;0;;0;0;0;0;0;0;0;0.0;;
SEGU4107824;CNNGB;-14;SGSIN;1;40;GP;H;HC;;;136.15;4510;;12.91;100876;-1;-1;;X;;;0;;0;0;0;0;0;0;0;0.0;;
BEAU4147173;CNNGB;-14;SGSIN;1;40;GP;H;HC;;;136.15;4510;;14.97;101074;-1;-1;;X;;;0;;0;0;0;0;0;0;0;0.0;;
TCNU5855350;CNYTN;-14;MAPTM;2;40;GP;H;HC;;;10000;45G1;;32.3;140916;-1;-1;;;;;0;;0;0;0;0;0;0;0;0.0;;
TCNU1640219;CNYTN;-14;DEHAM;4;40;GP;H;HC;;;816.9;45G1;;9.03;621484;-1;-1;;;;;0;;0;0;0;0;0;0;0;0.0;;
CMAU0625055;CNYTN;-14;FRLEH;3;20;GP;L;;;;10000;22G1;;4.06;310384;-1;-1;2;;;;0;;0;0;0;0;0;0;0;0.0;;
CMAU9508487;CNYTN;-14;DEHAM;4;40;GP;H;HC;;;816.9;45G1;;13.163;220118;-1;-1;;;;;0;;0;0;0;0;0;0;0;0.0;;
CMAU4572930;CNYTN;-14;MAPTM;2;40;GP;H;HC;;;10000;45G1;;20.18;141578;-1;-1;;;;;0;;0;0;0;0;0;0;0;0.0;;
ECMU4903223;CNYTN;-14;PLGDN;5;40;GP;H;HC;;;10000;45G1;;16.0;140076;-1;-1;;X;;;0;;0;0;0;0;0;0;0;0.0;;
CMAU8549183;CNYTN;-14;FRLEH;3;40;GP;H;HC;;;10000;45G1;;10.903;540082;-1;-1;;;;;0;;0;0;0;0;0;0;0;0.0;;
DRYU4507465;CNSHA;-14;MAPTM;2;45;GP;H;HC;;;10000;9500;;31.58;901880;-1;-1;1;;;;0;;0;0;0;0;0;0;0;0.0;;
SEGU4065740;CNYTN;-14;NLRTM;6;40;GP;H;HC;;;816.9;45G1;;13.31;660976;-1;-1;;X;;;0;;0;0;0;0;0;0;0;0.0;;
TCNU7316850;CNYTN;-14;SGSIN;1;40;GP;H;HC;;;218.75;45G1;;8.218;101876;-1;-1;;;;;0;;0;0;0;0;0;0;0;0.0;;
TGHU6160549;CNYTN;-14;NLRTM;6;40;GP;H;HC;;;816.9;45G1;;26.7;661012;-1;-1;;;;;0;;0;0;0;0;0;0;0;0.0;;
ECMU4900517;CNYTN;-14;NLRTM;6;40;GP;H;HC;;;816.9;45G1;;9.985;661518;-1;-1;;;;;0;;0;0;0;0;0;0;0;0.0;;
SEKU5492946;CNYTN;-14;PLGDN;5;40;GP;H;HC;;;10000;45G1;;15.352;540702;-1;-1;;;;;0;;0;0;0;0;0;0;0;0.0;;
TLLU8540470;CNYTN;-14;FRLEH;3;40;GP;H;HC;;;10000;45G1;;14.741;380014;-1;-1;;;;;0;;0;0;0;0;0;0;0;0.0;;
HWLU2007762;CNYTN;-14;SGSIN;1;20;GP;H;HC;9;;140;25SG;;24.265;170772;-1;-1;;;;DECK;0;8210,8220,8230,8240,4610,4620,4630,4640,2210,2220,2230,2240,7810,7820,7830,7840,1010,1020,1030,1040,0610,0620,0630,0640,2610,2620,2630,2640,4610,4620,4630,4640,6210,6220,6230,6240,3010,3020,3030,3040,3810,3820,3830,3840,3010,3020,3030,3040,5010,5020,5030,5040,5010,5020,5030,5040,3010,3020,3030,3040,5810,5820,5830,5840,1410,1420,1430,1440,9010,9020,9030,9040,2610,2620,2630,2640,6610,6620,6630,6640,4210,4220,4230,4240,7010,7020,7030,7040,4210,4220,4230,4240,1410,1420,1430,1440,1410,1420,1430,1440,8210,8220,8230,8240,3810,3820,3830,3840,4610,4620,4630,4640,5810,5820,5830,5840,7810,7820,7830,7840,4210,4220,4230,4240,8610,8620,8630,8640,7010,7020,7030,7040,8210,8220,8230,8240,1010,1020,1030,1040,3810,3820,3830,3840,1010,1020,1030,1040,3410,3420,3430,3440,0200,0210,0220,8610,8620,8630,8640,0200,0210,0220,6210,6220,6230,6240,2610,2620,2630,2640,3410,3420,3430,3440,7010,7020,7030,7040,6210,6220,6230,6240,7810,7820,7830,7840,2210,2220,2230,2240,5410,5420,5430,5440,0610,0620,0630,0640,1810,1820,1830,1840,0200,0210,0220,6610,6620,6630,6640,2210,2220,2230,2240,3410,3420,3430,3440,5810,5820,5830,5840,5410,5420,5430,5440,0610,0620,0630,0640,8610,8620,8630,8640,9010,9020,9030,9040,1810,1820,1830,1840,5010,5020,5030,5040,5410,5420,5430,5440,9010,9020,9030,9040,6610,6620,6630,6640,1810,1820,1830,1840;0;0;0;0;0;0;0;0.0;;
ECMU4915420;CNYTN;-14;NLRTM;6;40;GP;H;HC;;;816.9;45G1;;27.952;661810;-1;-1;;;;;0;;0;0;0;0;0;0;0;0.0;;
TLLU4649714;CNYTN;-14;DEHAM;4;40;GP;H;HC;;;816.9;45G1;;14.088;460612;-1;-1;;;;;0;;0;0;0;0;0;0;0;0.0;;
CERU5002852;CNYTN;-14;PLGDN;5;20;GP;L;;;E;10000;20UD;E;4.2;150380;-1;-1;;;;;0;;0;0;0;0;0;0;0;0.0;;
TCLU6315600;CNYTN;-14;NLRTM;6;40;GP;H;HC;;;816.9;45G1;;9.08;661380;-1;-1;;;;;0;;0;0;0;0;0;0;0;0.0;;
TRHU2265271;CNYTN;-14;MAPTM;2;20;GP;H;;;;10000;22G1;;25.18;151518;-1;-1;;;;;0;;0;0;0;0;0;0;0;0.0;;
CMAU4968427;CNYTN;-14;DEHAM;4;40;GP;H;HC;;;816.9;45G1;;8.91;460312;-1;-1;;;;;0;;0;0;0;0;0;0;0;0.0;;
GESU6870682;CNYTN;-14;NLRTM;6;40;GP;H;HC;;;816.9;45G1;;14.128;662074;-1;-1;;;;;0;;0;0;0;0;0;0;0;0.0;;
ECMU4921422;CNYTN;-14;DEHAM;4;40;GP;H;HC;;;816.9;45G1;;24.43;581174;-1;-1;;X;;;0;;0;0;0;0;0;0;0;0.0;;
