LOC_ZZZ_FUNCTION_CODE_QUALIFIER;LOC_ZZZ_ID;LOC_ZZZ_CODE_LIST_ID_CODE;LOC_ZZZ_CODE_LIST_RESPONSIBLE_AGENCY_CODE;LOC_ZZZ_NAME;MEA_WT_MEASUREMENT_PURPOSE_CODE_QUALIFIER;MEA_WT_MEASURED_ATTRIBUTE_CODE;MEA_WT_MEASUREMENT_UNIT_CODE;MEA_WT_MEASURE;MEA_DEN_MEASUREMENT_PURPOSE_CODE_QUALIFIER;MEA_DEN_MEASURED_ATTRIBUTE_CODE;MEA_DEN_MEASUREMENT_UNIT_CODE;MEA_DEN_MEASURE;MEA_VOL_MEASUREMENT_PURPOSE_CODE_QUALIFIER;MEA_VOL_MEASURED_ATTRIBUTE_CODE;MEA_VOL_MEASUREMENT_UNIT_CODE;MEA_VOL_MEASURE;MEA_ACA_MEASUREMENT_PURPOSE_CODE_QUALIFIER;MEA_ACA_MEASURED_ATTRIBUTE_CODE;MEA_ACA_MEASUREMENT_UNIT_CODE;MEA_ACA_MEASURE;DIM_DIMENSION_TYPE_CODE_QUALIFIER;DIM_MEASUREMENT_UNIT_CODE;DIM_LENGTH_MEASURE;DIM_WIDTH_MEASURE;DIM_HEIGHT_MEASURE;FTX_TEXT_SUBJECT_CODE_QUALIFIER;FTX_FREE_TEXT_DESCRIPTION_CODE;FTX_CODE_LIST_ID_CODE;FTX_CODE_LIST_RESPONSIBLE_AGENCY_CODE;FTX_FREE_TEXT
ZZZ;2WWP;;;NO.2 W.W.B.TK(P);WT;;TNE;1025.0;DEN;;D41;1.025;VOL;;MTQ;1000.000;ACA;;P1;33.3;1;MTR;295.690;-16.677;7.116;AAI;;;;WATERBALLAST.
ZZZ;2WWS;;;NO.2 W.W.B.TK(S);WT;;TNE;51.2;DEN;;D41;1.025;VOL;;MTQ;50.000;ACA;;P1;1.7;1;MTR;295.692;14.586;4.938;AAI;;;;WATERBALLAST.
ZZZ;3WWP;;;NO.3 W.W.B.TK(P);WT;;TNE;102.5;DEN;;D41;1.025;VOL;;MTQ;100.000;ACA;;P1;4.8;1;MTR;256.637;-22.698;5.195;AAI;;;;WATERBALLAST.
ZZZ;3WWS;;;NO.3 W.W.B.TK(S);WT;;TNE;102.5;DEN;;D41;1.025;VOL;;MTQ;100.000;ACA;;P1;4.8;1;MTR;256.637;22.698;5.195;AAI;;;;WATERBALLAST.
ZZZ;4FWWP;;;NO.4F W.W.B.TK(P);WT;;TNE;215.2;DEN;;D41;1.025;VOL;;MTQ;210.000;ACA;;P1;39.8;1;MTR;226.900;-25.486;8.024;AAI;;;;WATERBALLAST.
ZZZ;4FWWS;;;NO.4F W.W.B.TK(S);WT;;TNE;153.7;DEN;;D41;1.025;VOL;;MTQ;150.000;ACA;;P1;28.4;1;MTR;226.889;25.478;7.123;AAI;;;;WATERBALLAST.
ZZZ;4AWWP;;;NO.4A W.W.B.TK(P);WT;;TNE;993.4;DEN;;D41;1.025;VOL;;MTQ;969.213;ACA;;P1;50.4;1;MTR;197.121;-25.501;9.173;AAI;;;;WATERBALLAST.
ZZZ;4AWWS;;;NO.4A W.W.B.TK(S);WT;;TNE;1056.6;DEN;;D41;1.025;VOL;;MTQ;1030.787;ACA;;P1;53.6;1;MTR;197.121;25.501;9.451;AAI;;;;WATERBALLAST.
ZZZ;5WWP;;;NO.5 W.W.B.TK(P);WT;;TNE;973.7;DEN;;D41;1.025;VOL;;MTQ;950.000;ACA;;P1;47.3;1;MTR;153.775;-25.502;9.079;AAI;;;;WATERBALLAST.
ZZZ;5WWS;;;NO.5 W.W.B.TK(S);WT;;TNE;973.7;DEN;;D41;1.025;VOL;;MTQ;950.000;ACA;;P1;47.3;1;MTR;153.775;25.502;9.079;AAI;;;;WATERBALLAST.
ZZZ;6WWP;;;NO.6 W.W.B.TK(P);WT;;TNE;1691.2;DEN;;D41;1.025;VOL;;MTQ;1650.000;ACA;;P1;96.1;1;MTR;110.485;-25.498;14.883;AAI;;;;WATERBALLAST.
ZZZ;6WWS;;;NO.6 W.W.B.TK(S);WT;;TNE;1076.2;DEN;;D41;1.025;VOL;;MTQ;1050.000;ACA;;P1;61.1;1;MTR;110.520;25.496;12.174;AAI;;;;WATERBALLAST.
ZZZ;7WP;;;NO.7 W.B.TK(P);WT;;TNE;718.5;DEN;;D41;1.025;VOL;;MTQ;701.000;ACA;;P1;30.8;1;MTR;42.103;-14.072;9.807;AAI;;;;WATERBALLAST.
ZZZ;7WS;;;NO.7 W.B.TK(S);WT;;TNE;718.5;DEN;;D41;1.025;VOL;;MTQ;701.000;ACA;;P1;30.8;1;MTR;42.103;14.072;9.807;AAI;;;;WATERBALLAST.
