BAY;ROW;Racking Forces Absolute Max(<150 KN);Racking Pitch Forces Absolute Max(<100 KN);Internal lashing force Absolute Max;Twistlock shear forces Absolute Max(<210 KN);Pressure Absolute Max(<848 KN);Lifting Absolute Max(<250 KN)
90;20;122.26;19.74;0.0;37.51;308.98;70.44
86;20;91.69;33.12;148.8;240.77;916.86;288.14
82;20;66.29;31.58;112.53;193.19;792.01;194.08
78;20;68.67;43.02;132.95;227.68;822.68;130.97
70;20;85.36;40.08;139.59;219.95;866.23;208.97
66;20;42.46;32.74;75.15;129.06;509.22;103.13
62;20;78.16;35.84;124.25;200.98;826.14;194.76
58;20;36.78;29.59;69.41;102.81;369.36;106.7
54;20;70.54;41.25;117.36;198.49;908.85;206.51
50;20;75.21;38.21;122.26;198.3;832.87;174.94
46;20;74.95;42.99;123.55;201.18;858.57;162.11
42;20;53.55;8.24;0.0;17.28;134.4;33.82
38;20;76.58;48.96;127.47;209.32;916.39;162.84
34;20;60.21;26.18;103.1;125.52;443.64;62.19
30;20;95.93;43.34;170.41;279.71;992.07;289.95
26;20;68.67;43.44;137.61;228.92;861.54;178.19
22;20;69.86;42.67;132.62;222.02;853.27;171.96
18;20;60.94;32.67;101.54;164.07;592.6;76.11
14;20;82.17;45.12;137.61;204.23;810.02;99.1
6;20;167.53;56.66;407.09;430.26;1090.35;141.2
3;20;52.34;8.27;29.6;31.13;135.03;15.14
94;20;81.56;18.09;189.1;356.04;469.29;87.54
94;18;84.24;30.87;171.27;191.58;754.53;387.27
90;18;86.63;18.9;0.0;28.78;245.57;28.52
86;18;76.6;37.34;225.66;198.11;653.32;195.44
82;18;59.01;39.32;204.73;165.46;557.74;72.85
78;18;102.3;46.94;297.98;262.74;855.79;293.88
70;18;85.8;56.42;226.0;207.49;859.31;212.34
66;18;27.94;30.46;108.07;86.13;325.34;77.65
62;18;56.93;59.95;202.37;165.9;676.94;78.19
54;18;78.68;63.36;238.74;207.22;876.38;185.77
50;18;61.86;57.28;192.73;165.64;686.81;84.8
46;18;70.51;53.75;194.95;175.48;703.02;104.78
42;18;21.74;8.23;0.0;6.67;83.97;16.48
38;18;83.97;51.89;213.56;198.96;816.02;213.33
34;18;66.85;37.34;218.69;168.5;501.91;72.97
30;18;102.91;44.75;279.4;253.35;786.71;300.86
27;18;63.63;35.14;151.06;152.78;622.81;215.38
25;18;78.16;39.38;158.9;197.92;716.75;172.76
22;18;93.81;45.08;279.02;244.05;811.25;282.38
18;18;94.38;46.27;290.47;250.79;769.94;201.5
14;18;96.03;62.28;363.86;290.91;939.02;169.31
7;18;86.17;23.95;315.25;174.06;588.21;281.71
5;18;74.18;32.03;239.89;170.23;656.74;177.16
94;16;82.06;37.81;176.12;192.43;849.72;428.47
90;16;61.12;27.24;183.67;127.31;399.49;70.89
86;16;65.88;36.97;205.92;176.76;595.26;154.93
82;16;57.28;36.56;187.31;149.41;502.38;51.57
78;16;74.81;49.84;260.37;215.0;714.08;151.64
70;16;64.35;57.37;189.08;166.16;707.22;107.88
66;16;50.1;35.53;147.89;129.73;471.58;54.43
62;16;80.39;60.47;227.99;203.14;838.71;169.6
54;16;64.88;65.99;220.0;183.34;751.23;60.28
50;16;49.84;53.86;166.46;139.47;583.58;95.05
46;16;82.85;56.43;218.33;200.41;828.75;186.2
38;16;62.47;56.39;184.17;161.63;686.93;95.41
34;16;90.18;45.7;278.38;240.07;724.16;211.11
30;16;97.24;47.34;274.66;245.13;760.69;263.53
27;16;61.91;34.95;140.36;141.25;584.43;186.81
25;16;63.88;35.32;136.04;169.91;588.27;109.29
22;16;70.18;48.26;252.42;203.08;679.71;146.64
18;16;64.04;40.13;215.61;180.13;577.94;95.55
14;16;87.33;58.57;305.42;237.35;788.85;83.39
11;16;15.86;2.39;0.0;0.0;38.45;4.73
7;16;59.66;21.54;213.2;131.75;467.58;187.51
5;16;52.17;27.29;159.82;136.85;508.43;91.88
