hatch_section;hold_subbay;deck_subbay;nb_containers_on_deck;nb_containers_on_hold;nb_heavy_containers_on_hold;teus_heavy_containers_on_hold;nb_light_containers_on_hold;teus_light_containers_on_hold;teus_empty_on_hold;total_weight_heavy_on_hold;total_weight_loadable_on_hold;extra_weight_loadable_on_hold;deck_subbay_is_restowable;hold_subbay_is_restowable;subbay_contains_cDG_1_7;subbay_contains_oog_left;subbay_contains_oog_right;ratio_restow_heavy_hold;is_restowable
020;0200;0201;15;23;14;15;9;9;10;194.26;1080.0;885.74;1;1;0;0;0;1.263157894736842;1
021;0210;0211;25;16;12;13;4;5;8;218.40000000000003;900.0;681.5999999999999;1;1;0;0;0;2.230769230769231;1
022;0220;0221;32;19;19;20;0;0;6;384.88;900.0;515.12;1;0;0;0;0;5.333333333333333;0
061;0610;0611;63;57;54;57;3;3;21;1061.7899999999997;2520.0;1458.2100000000003;1;0;0;0;0;2.75;0
062;0620;0621;54;28;26;51;2;2;8;417.16700000000003;1920.0;1502.833;1;1;0;0;0;5.6;1
063;0630;0631;70;12;12;12;0;0;15;297.98;900.0;602.02;1;0;0;0;0;4.666666666666667;0
064;0640;0641;68;13;13;15;0;0;12;269.88;900.0;630.12;1;0;0;0;0;5.666666666666667;0
101;1010;1011;25;44;44;86;0;0;10;1102.4520000000002;2940.0;1837.5479999999998;1;1;0;0;0;2.5;1
102;1020;1021;16;23;14;24;9;18;32;351.554;2280.0;1928.446;1;1;0;0;0;0.5;1
103;1030;1031;33;24;22;25;2;2;20;503.06;1500.0;996.94;1;0;0;0;0;1.5909090909090908;0
104;1040;1041;18;23;22;28;1;1;18;515.8599999999999;1500.0;984.1400000000001;1;0;0;0;0;1.0;0
141;1410;1411;59;64;60;93;4;4;6;1062.897;3120.0;2057.103;1;0;0;0;0;6.3;0
142;1420;1421;59;51;50;76;1;1;4;1071.94;2460.0;1388.06;1;0;0;0;0;12.0;0
143;1430;1431;34;39;39;57;0;0;8;1045.372;2100.0;1054.628;1;0;0;0;0;4.25;0
144;1440;1441;34;35;33;49;2;4;12;773.264;2100.0;1326.7359999999999;1;0;0;0;0;2.25;0
181;1810;1811;15;39;39;77;0;0;30;951.063;3240.0;2288.937;1;1;0;0;0;0.5;1
182;1820;1821;5;9;9;18;0;0;67;170.976;2580.0;2409.024;1;1;0;0;0;0.07462686567164178;1
183;1830;1831;40;34;33;66;1;1;12;604.7029999999999;2400.0;1795.297;1;1;0;0;0;3.1538461538461537;1
184;1840;1841;56;36;35;70;1;1;8;674.6169999999998;2400.0;1725.3830000000003;1;1;0;0;0;6.333333333333333;1
221;2210;2211;31;70;61;93;9;10;6;953.9070000000002;3300.0;2346.093;1;0;0;0;0;2.5;0
222;2220;2221;27;49;47;77;2;4;6;768.21;2640.0;1871.79;1;0;0;0;0;2.9;0
223;2230;2231;41;60;60;69;0;0;18;1542.4400000000003;2640.0;1097.5599999999997;1;0;0;0;0;2.2777777777777777;0
224;2240;2241;41;60;60;69;0;0;18;1500.1499999999999;2640.0;1139.8500000000001;1;0;0;0;0;2.2777777777777777;0
261;2610;2611;1;50;50;100;0;0;10;1295.9770000000003;3300.0;2004.0229999999997;1;1;0;0;0;0.1;1
262;2620;2621;24;66;61;71;5;5;12;1520.31;2640.0;1119.69;1;0;0;0;0;1.7058823529411764;0
263;2630;2631;41;75;73;92;2;2;2;1533.9830000000002;2880.0;1346.0169999999998;1;0;0;0;0;10.75;0
264;2640;2641;62;73;72;93;1;1;2;1513.3349999999998;2880.0;1366.6650000000002;1;0;0;0;0;21.0;0
301;3010;3011;57;77;77;106;0;0;4;1890.3270000000002;3300.0;1409.6729999999998;1;0;0;0;0;14.25;0
302;3020;3021;45;79;79;88;0;0;0;1734.1100000000001;2640.0;905.8899999999999;1;0;0;0;0;inf;0
303;3030;3031;42;47;47;93;0;0;10;921.5699999999999;3120.0;2198.4300000000003;1;1;0;0;0;4.2;1
304;3040;3041;42;47;47;93;0;0;10;1056.0;3120.0;2064.0;1;1;0;0;0;4.2;1
341;3410;3411;31;50;50;100;0;0;10;1450.1899999999998;3300.0;1849.8100000000002;1;1;0;0;0;3.1;1
342;3420;3421;24;40;40;80;0;0;8;1142.5529999999999;2640.0;1497.4470000000001;1;1;0;0;0;3.0;1
343;3430;3431;40;86;86;106;0;0;0;1862.23;3180.0;1317.77;1;0;0;0;0;inf;0
344;3440;3441;33;77;77;106;0;0;0;1655.75;3180.0;1524.25;1;0;0;0;0;inf;0
381;3810;3811;40;70;65;98;5;6;6;1121.8850000000002;3300.0;2178.115;1;0;0;0;0;3.75;0
382;3820;3821;32;61;53;68;8;8;12;1105.84;2640.0;1534.16;1;0;0;0;0;2.0;0
383;3830;3831;47;49;49;98;0;0;10;1106.8259999999998;3240.0;2133.174;1;1;0;0;0;4.7;1
384;3840;3841;47;49;49;98;0;0;10;1081.85;3240.0;2158.15;1;1;0;0;0;4.7;1
421;4210;4211;34;72;72;94;0;0;16;1771.79;3300.0;1528.21;1;0;0;0;0;2.125;0
422;4220;4221;28;76;74;86;2;2;0;1527.1499999999999;2640.0;1112.8500000000001;1;0;0;0;0;15.0;0
423;4230;4231;29;54;54;94;0;0;14;1191.5550000000003;3240.0;2048.4449999999997;1;0;0;0;0;2.0714285714285716;0
424;4240;4241;27;66;66;102;0;0;6;1455.937;3240.0;1784.063;1;0;0;0;0;4.5;0
461;4610;4611;40;50;50;100;0;0;10;766.7779999999998;3300.0;2533.222;1;1;0;0;0;4.0;1
462;4620;4621;32;41;40;80;1;2;6;647.051;2640.0;1992.949;1;1;0;0;0;4.125;1
463;4630;4631;73;78;77;105;1;1;2;1651.004;3240.0;1588.996;1;0;0;0;0;24.666666666666668;0
464;4640;4641;46;77;76;105;1;1;2;1630.0910000000001;3240.0;1609.9089999999999;1;0;0;0;0;15.666666666666666;0
501;5010;5011;16;50;50;100;0;0;10;1266.6399999999999;3300.0;2033.3600000000001;1;1;0;0;0;1.6;1
502;5020;5021;21;40;40;80;0;0;8;1106.054;2640.0;1533.946;1;1;0;0;0;2.625;1
503;5030;5031;41;88;81;101;7;7;0;1777.45;3240.0;1462.55;1;0;0;0;0;6.857142857142857;0
504;5040;5041;42;78;69;97;9;9;2;1492.3600000000001;3240.0;1747.6399999999999;1;0;0;0;0;4.636363636363637;0
541;5410;5411;39;59;47;90;12;14;6;807.848;3300.0;2492.152;1;1;0;0;0;2.55;1
542;5420;5421;32;49;47;74;2;2;12;804.8000000000001;2640.0;1835.1999999999998;1;1;0;0;0;2.4285714285714284;1
543;5430;5431;41;72;72;102;0;0;6;1856.2240000000002;3240.0;1383.7759999999998;1;0;0;0;0;6.833333333333333;0
